{'短评内容': '交通方便，环境卫生', '短评打分': 5}
{'短评内容': '交通方', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '干净卫生地点方便干净卫生地点方便干净卫生地点方便干净卫生地点方便干净卫生地点方便干净卫生地点方便', '短评打分': 5}
{'短评内容': '好评。', '短评打分': 5}
{'短评内容': '我为什么喜欢在京东买东西，因为今天买明天就可以送到。我为什么每个商品的评价都一样，因为在京东买的东西太多太多了，导致积累了很多未评价的订单，所以我统一用段话作为评价内容。京东购物这么久，有买到很好的产品，也有买到比较坑的产品，如果我用这段话来评价，说明这款产品没问题，至少85分以上，而不好的产品，我绝对不会偷懒到复制粘贴评价，我绝对会用心的差评，这样其他消费者在购买的时候会作为参考，会影响该商品销量，而商家也会因此改进商品质量', '短评打分': 5}
{'短评内容': '不错，住的舒服', '短评打分': 5}
{'短评内容': '离拧溪商业中心和长途汽车站商业中心步行都很近。离南坑市场也很近。购物很方便。要是房间用品齐全特别是有免费瓶装水就好了。', '短评打分': 3}
{'短评内容': '酒店位置很好，门口就是公交车站。离长途汽车站也近，走路就能到。周围吃饭很方便。楼下饭店菜就不错。房间如有免费瓶装水就更好了。', '短评打分': 3}
{'短评内容': '价格便宜，可房间太小，住了点压抑', '短评打分': 3}
{'短评内容': '房间太小，价格还算便宜', '短评打分': 3}
{'短评内容': '不错的房间，推荐', '短评打分': 5}
{'短评内容': '本來定的是大床房，結果最後變成雙床。這個也算了，最讓人鬱悶的是預留的房子外面裝了三四臺空調，一整晚都是空調聲啊 _ ', '短评打分': 4}
{'短评内容': '挺不错的，下次还可以去，是出差或约会的好地方', '短评打分': 3}
{'短评内容': '性价比高', '短评打分': 4}
{'短评内容': '不错，比较宽敞，也安静。离海边不远。', '短评打分': 3}
{'短评内容': '性价比高', '短评打分': 4}
{'短评内容': '不错，下回还会考虑入住的。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房間設施比較陳舊，酒店附近又没有什麼吃的.唯一好處是浴室比較寬闊, 及門口有公車站, 交通還可以. 總括來說是性價比不高, 這價格應該有更好选擇!', '短评打分': 1}
{'短评内容': '房间小，家私旧，不舒服。相同价钱可以订到更好的酒店。', '短评打分': 1}
{'短评内容': '这个时间，性价比可以！可以作为选择之一。', '短评打分': 5}
{'短评内容': '设施怎么说……就是对得起那个价吧。相对的工作人员的态度不错。总体感觉良好。', '短评打分': 5}
