{'短评内容': '和之前几次入住一样的价格，这次酒店给的房间比较遭，收不到无线网，潮湿，偏僻，闷味大', '短评打分': 2}
{'短评内容': '酒店干净卫生，性价比超高，位置离火车站近，前台服务也好，旁边吃饭也方便，每次出差都住那里，特别习惯了。', '短评打分': 5}
{'短评内容': '离车站很近，出行方便', '短评打分': 5}
{'短评内容': '酒店没早餐，离火车站很近。', '短评打分': 3}
{'短评内容': '设施非常好，周边环境也优美，服务比较到位，房间宽敞明亮很干净，设计的也挺有意思。总体来说，性价比挺高的,下次我还会选择这家酒店,很有度假的感觉。 ', '短评打分': 5}
{'短评内容': '好，干净，服务好', '短评打分': 5}
{'短评内容': '好，不错，住几次了', '短评打分': 5}
{'短评内容': '卫生打扫不彻底', '短评打分': 3}
{'短评内容': '环境不错， 设施有点不全', '短评打分': 3}
{'短评内容': '价钱不高，干净', '短评打分': 3}
{'短评内容': '窗明几净，好评', '短评打分': 5}
{'短评内容': '好，价格合适', '短评打分': 5}
{'短评内容': '挺好的地方?', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '还行还行还行还行还行还行还行还行', '短评打分': 3}
{'短评内容': '空调还可以，不推荐去住，环境很差，早饭更差', '短评打分': 3}
{'短评内容': '我预定的豪华大床房，结果空调坏的，想换房间又说其他大床房住满了，太坑了', '短评打分': 3}
{'短评内容': '还行吧，装修设施设备各个方面都还行，价格也适中。', '短评打分': 4}
{'短评内容': '房间隔音比较差，网速不是很快，但总的来说还是不错的', '短评打分': 5}
{'短评内容': '很好啊，离火车站、万达广场几百米而已；服务也不错，有免费宽带、iptv；就是不含早餐', '短评打分': 5}
{'短评内容': ' 环境设施都是不错的', '短评打分': 3}
{'短评内容': '内部设施还好,外部环境一般,电梯很小', '短评打分': 3}
{'短评内容': '订的大标间房间很大，适合接待客人，只是卫生间门是玻璃的，而且是透明的，不方便，最好换成磨砂不透明的。', '短评打分': 5}
{'短评内容': '整体挺好的，就是空调有点漏水！', '短评打分': 3}
{'短评内容': '很不错，服务和卫生都很到位，交通非常便利。。。。。支持一下', '短评打分': 5}
{'短评内容': '酒店环境还行毕竟新开的、就是要个吹风机还要客人自己下去拿', '短评打分': 3}
