{'短评内容': '老板待人很和善，很好', '短评打分': 4}
{'短评内容': '一家人去平遥古城旅行，选了这家客栈，那天晚上比较晚到，十一点多才到，老板人很好，人热情服务周到，年纪轻轻很能干，看到我们人多，帮我们换成升级大房床，价格按我们预定的房形！推荐十分！', '短评打分': 5}
{'短评内容': '属于经济型的条件，床很大，卫生间排水口小，洗澡时水最好开小一点，排面有个露台可以晒衣服，可以问店主要衣架', '短评打分': 5}
{'短评内容': '环境不错，服务态度也非常的好，下次还要来', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '古香古色的大院子 虽然是客栈 但是房间内饰也挺别致 干净 整洁 老板很热情 帮我们搬行李上二楼 送了地图 还为我们讲解该怎么玩 还在他家买了醋 包邮寄回北京 挺便宜的', '短评打分': 5}
{'短评内容': '环境不错，交通方便，老板人好！', '短评打分': 5}
{'短评内容': '非常棒，老板很热情。大炕也不错。非常棒，老板很热情。大炕也不错。非常棒，老板很热情。大炕也不错。非常棒，老板很热情。大炕也不错。', '短评打分': 5}
{'短评内容': '老板很热心。旅店设施齐全，但是住在一楼有点潮湿…而且下午睡觉起来去古城逛街，被商店营业员从头发里拿出来一只很长很长的虫子，睡醒的时候听到耳边有虫子声但是没有发现…哎现在想想都有心理阴影了…', '短评打分': 5}
{'短评内容': '老板很热情，地理位置也好，小院收拾的很温馨，炕也舒服', '短评打分': 5}
{'短评内容': '在淡季去了平遥 该酒店的老板还挺热情的 就是房间通风不太好', '短评打分': 4}
{'短评内容': 'The location is near the North Gate of Pingyao Ancient. Walking distance to all the attractions area. The young boss is very helpful. He give us a map of the area and advice us not to be fool by the m', '短评打分': 5}
{'短评内容': '出入方便，服务耐心，帮助客人联系拼车很尽力，推荐！', '短评打分': 3}
{'短评内容': '老板很贴心很好，还借自行车给我去买了《又见平遥》的票，挺赞的！ 喜欢里边的刀剑，古朴。', '短评打分': 5}
{'短评内容': '房间整体还不错，整个院落和房间古香古色，出行也非常方便，而且老板很热情，路途中一直和我们联系，给我们说路线和堵车情况。赞一个', '短评打分': 3}
