{'短评内容': '环境很好地方好找', '短评打分': 5}
{'短评内容': '酒店位置好 交通方便 干净卫生 前台服务特别贴心', '短评打分': 5}
{'短评内容': '服务太满意', '短评打分': 5}
{'短评内容': '今天临时来这边有事，果断又选择这家酒店。位置好，停车方便，早餐很丰富，最主要的是前台服务好。。。。。', '短评打分': 5}
{'短评内容': '房间干净卫生䖟大的。', '短评打分': 5}
{'短评内容': '性价比非常合算，就在步行街里面，吃购物都很方便。设施、房间都不错，下次出差会继续考虑。前台服务还有所改善', '短评打分': 4}
{'短评内容': '性价比高，位置不错。就是前台开发票等速度能提高点就更好', '短评打分': 4}
{'短评内容': '房间还是比较大的，，，', '短评打分': 4}
{'短评内容': '步行街还不错', '短评打分': 4}
{'短评内容': '整体还是不错的    酒店干净舒服    就是拖鞋收费没有明示    还会再来', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '前台服务巨差，退房问她事，用吼的做回答！', '短评打分': 3}
