{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '去泰安玻纤面试，住的挺舒服', '短评打分': 5}
{'短评内容': '入住感觉还行', '短评打分': 4}
{'短评内容': '还是一样好', '短评打分': 5}
{'短评内容': '帮别人定的，携程预订成功，但是人家到了以后前台却告知未预订，闹了点不愉快，影响了心情。', '短评打分': 3}
{'短评内容': '隔音真不好，房间真对不起价格，油漆味道重，设施陈旧，能接受的就是服务态度了', '短评打分': 3}
{'短评内容': '前台服务很好，性价比比较高', '短评打分': 5}
{'短评内容': '酒店前台很好，多次入住非常不错，对的起这个价格', '短评打分': 5}
{'短评内容': '帮朋友订的，说是不错。送孩子去泰山医学院上学住的。', '短评打分': 5}
{'短评内容': '住宿环境不错，但隔音差了点，总体还是很满意的。', '短评打分': 3}
{'短评内容': '挺好的酒店，环境很好，就是附近不是特别繁华', '短评打分': 3}
