{'短评内容': '比门市价便宜很多！！！！', '短评打分': 5}
{'短评内容': '歺厅服务态度一般', '短评打分': 4}
{'短评内容': '有停车场，早餐一般', '短评打分': 4}
{'短评内容': '早餐一般般', '短评打分': 4}
{'短评内容': '蛮好的的一次入住', '短评打分': 5}
{'短评内容': '还可以，就是床小了点', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错不错！物美价廉，值得购买！', '短评打分': 5}
{'短评内容': '挺好的、下次还是会再来预订的。', '短评打分': 5}
{'短评内容': '是商旅的较好选择，基本上还OK。', '短评打分': 5}
{'短评内容': '酒店就是有点偏，其他看上去还不错！', '短评打分': 5}
{'短评内容': '感觉还是可以的虽然房间有点小', '短评打分': 5}
{'短评内容': '很不错的酒店，环境优美，价格合适，非常宜人。', '短评打分': 5}
{'短评内容': '不错，很干净，', '短评打分': 5}
{'短评内容': '房间设施还是不错,早餐品种丰富,免费停车,好评!', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还可以啊', '短评打分': 5}
{'短评内容': '比较传统酒店', '短评打分': 4}
{'短评内容': '交通方便，酒店停车方便。房间整洁，唯一的不好就是隔音效果比较一般，隔壁屋早上的看电视声听得一清二楚。', '短评打分': 5}
{'短评内容': '上次就没订到，这次提前定了，终于订到了', '短评打分': 5}
{'短评内容': '上次就没订到，这次提前定了，终于订到了', '短评打分': 5}
{'短评内容': '房间比较中规中矩 没太大特色 看出去风景倒是不错…地理位置在大学附近…', '短评打分': 4}
{'短评内容': '酒店位置不错，正处于南京国际会展中心对面，对于参展活动企业非常便利，距离南京火车站也非常近，酒店卫生也非常好。', '短评打分': 5}
{'短评内容': '酒店位置不错，正处于南京国际会展中心对面，对于参展活动企业非常便利，距离南京火车站也非常近，酒店卫生也非常好。', '短评打分': 5}
{'短评内容': '酒店服务很好，酒店服务很好，酒店服务很好，', '短评打分': 5}
{'短评内容': '办事地近所以一再选择它', '短评打分': 4}
{'短评内容': '  酒店的服务不错，环境也很好，住的非常舒服', '短评打分': 5}
