{'短评内容': '一般的酒店高昂房价', '短评打分': 3}
{'短评内容': '一般的酒店，高昂收费', '短评打分': 3}
{'短评内容': '房间很好 下次还来住。', '短评打分': 5}
{'短评内容': '早攴一般，品种少，品质一般。', '短评打分': 5}
{'短评内容': '停车方便', '短评打分': 5}
{'短评内容': '环境很赞 很喜欢', '短评打分': 5}
{'短评内容': '酒店环境，卫生都很好', '短评打分': 5}
{'短评内容': '周围吃饭不方便，酒店服务态度没以前好了，入住携城确认短信都来2小时了还告诉我没看到单子，入住了，发票水单都开好了，结果携城短信说没入住，啥情况？', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '当地比较可以的酒店', '短评打分': 5}
{'短评内容': '没次回铜梁首选，不错！', '短评打分': 4}
{'短评内容': '出差入住，交通便利，地方很好找。房间很大，感觉舒适。环境也安静，休息得好。价格也不贵，性价比高，推荐入住！', '短评打分': 5}
{'短评内容': '设施不错，交通不太方便', '短评打分': 4}
{'短评内容': '出差一直住的这个酒店，就是打车不是很方便。', '短评打分': 5}
{'短评内容': '房间卫生与设施都不错，早餐很不错', '短评打分': 5}
{'短评内容': '良好', '短评打分': 4}
{'短评内容': '应该是铜梁最好的酒店了。', '短评打分': 5}
{'短评内容': '很新的酒店，所以有点装修的味道，房间比较简洁、大气，但我们住的房间，不知道什么原因，每隔几分钟管道里就会有“噗嗤”的声音，一晚没有睡好；退房时反应给前台，后来经理还打电话来解释，态度还不错； 房间面对丁字路口，有点点噪声。', '短评打分': 5}
{'短评内容': '酒店环境不错，交通不是特别方便，前台服务热情。价格便宜点就更好了', '短评打分': 5}
{'短评内容': '不错，价格能便宜一点就好了房间给人感觉舒服服务也可以', '短评打分': 5}
{'短评内容': '酒店比较新，也比较安静，位置就相对偏了一点，不好打车。房间设施还不错，就是装修味道比较浓。', '短评打分': 3}
{'短评内容': '酒店环境还不错', '短评打分': 3}
