{'短评内容': '酒店环境还不错，金光闪闪巨浮夸…', '短评打分': 5}
{'短评内容': '酒店还不错', '短评打分': 5}
{'短评内容': '酒店很好，每次都住这里', '短评打分': 5}
{'短评内容': '没想到在19楼，哈哈，还有一个阳台。', '短评打分': 5}
{'短评内容': '很好，适合带小孩子玩，还有免费停车场', '短评打分': 5}
{'短评内容': '酒店干净整洁，服务很好的，赠送水果、果冻！', '短评打分': 5}
{'短评内容': '房间很大的，干净整洁，有个露台坐着蛮舒服的！', '短评打分': 5}
{'短评内容': '服务很好，早餐丰盛！', '短评打分': 5}
{'短评内容': '酒店房间大，干净整洁，服务超好！', '短评打分': 5}
{'短评内容': '..............', '短评打分': 5}
{'短评内容': '还可以了，就是感觉有点旧', '短评打分': 5}
{'短评内容': '还可以了，就是感觉有点旧', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '大气很好很好很好很好很好', '短评打分': 5}
{'短评内容': '环境好，安静，性价比较高！', '短评打分': 5}
{'短评内容': '总体情况一般。', '短评打分': 4}
{'短评内容': '酒店位于市中心', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '好的。', '短评打分': 4}
{'短评内容': '已经住过还几天才来评价的，很好', '短评打分': 5}
{'短评内容': '不止一次的入住了，非常不错……以后再来也是这家....', '短评打分': 5}
{'短评内容': '这家酒店真心不错，以后开也会住这个', '短评打分': 4}
{'短评内容': 'Very nice.Very nice.Very nice.', '短评打分': 5}
{'短评内容': '室内外装修很豪华的一家酒店，室内外装修很豪华的一家酒店，', '短评打分': 5}
{'短评内容': '很好，环境不错，值得推荐，性价比较高，下次还会再来，', '短评打分': 5}
{'短评内容': '舒适干净。就是隔音太差。第一天住的那个房间隔壁好像是个什么印度的，半夜2点还在看印度片，声音超大，害我睡不着郁闷死了！', '短评打分': 3}
{'短评内容': '酒店还不错，卫生设施条件都挺好的，环境也不错。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '总体感觉非常不错，很欧式，比较满意，下次有机会还是会入住。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '非常宽敞明亮干净的酒店，下次还会住。\n---------------------------------', '短评打分': 5}
{'短评内容': '不错的酒店，服务态度和管理都不错，下次还会住\n', '短评打分': 5}
{'短评内容': '酒店风格很喜欢，大唐很惊艳。服务也很好。就是如果有欢迎水果或花，给人感觉更像五星级服务。', '短评打分': 5}
{'短评内容': '预订的时候订的是豪华大床，一过去，居然是个没窗户的，闷的要是！要换个嘛，说是最后间了！后来只能换成豪华双人床了！感觉不是很周到', '短评打分': 5}
{'短评内容': '还不错，就是第一天在7层，下面卡拉挺吵，换了以后好了', '短评打分': 5}
{'短评内容': '大堂装修很美，服务态度很好，可是没有5星级水准。像乡镇5星。', '短评打分': 3}
{'短评内容': '服务质量好', '短评打分': 3}
{'短评内容': '第一次来   还算理想~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '酒店地理位置好，位于大溪出口。是性价比好的商务酒店，早餐丰盛，推荐。', '短评打分': 5}
{'短评内容': '不错的酒店，服务态度和管理都不错，下次还会住', '短评打分': 5}
{'短评内容': '设施不错，交通便捷离机场较近，但房间感觉有些味道', '短评打分': 5}
{'短评内容': '酒店设施还可以，交通非常便利，就是房间还有些味道，', '短评打分': 5}
