{'短评内容': '环境一般！', '短评打分': 3}
{'短评内容': '装修有点陈旧，周边青蛙整夜的叫。整体一般般。', '短评打分': 5}
{'短评内容': '很干净，服务很好…', '短评打分': 3}
{'短评内容': '设施还行。就是离海滩景区或者其他的都有距离~', '短评打分': 5}
{'短评内容': '宾馆总体感觉不错，交通也比较方便。就是晚上比较冷清，可能去的时间也有关系', '短评打分': 5}
{'短评内容': '干净卫生，硬件设施也还行，局部设施有点问题，如门，空调，整体还可以', '短评打分': 5}
{'短评内容': '交通方便，房间还不错，但没有免费网络，国庆价格太高', '短评打分': 3}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '很好！', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '酒店干净，在桃花岛镇上，交通十分方便，门口就是公交可以到所有地方。餐厅也不错，就是中午关得比较早。', '短评打分': 3}
{'短评内容': '平常160的宾馆花了500块钱住，真的挺不爽的，虽然是国庆假期吧！', '短评打分': 1}
{'短评内容': '酒店挺新的，房间布置整洁干净，有地毯；\n位置在镇中心，到各个景点都挺方便的；\n服务员不多，但态度挺好；\n另外，10块钱的早饭还不错。', '短评打分': 5}
{'短评内容': '酒店的餐饮服务很不错，种类多，口味也不错，价格也蛮实惠的', '短评打分': 5}
{'短评内容': '房间很大很宽敞，周围蛮空旷的，附近有个沙滩可以休闲娱乐一下，总的来说住宿环境还是不错的，空气蛮清新的', '短评打分': 5}
{'短评内容': '还不错的宾馆，吃饭也比较实在，交通非常便利。', '短评打分': 5}
{'短评内容': '不错的酒店，性价比较高！在这样的岛上有这样的酒店还是不错了的。。。\r\n还有一点，餐饮也不错，早餐每人10元，共吃了五餐，哈哈', '短评打分': 5}
{'短评内容': '酒店空无一人，入住登记时，我的心都有点慌~', '短评打分': 1}
{'短评内容': '不错~', '短评打分': 5}
{'短评内容': '酒店环境一般，位置还不错，而且价格适中，值得推荐 ', '短评打分': 5}
{'短评内容': '酒店的设施条件一般，这个条件这个价格，还算可以', '短评打分': 5}
{'短评内容': '酒店挺好的，房间特别干净，上次去的时候正在装修，餐厅，娱乐设施都不能用', '短评打分': 5}
