{'短评内容': '干净。没有地巾。只好拿一块毛巾丢地上踩', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '位置不错 卫生干净', '短评打分': 4}
{'短评内容': '只要在杭州出差，住宿的首选就是易融，经济实惠，环境也好！', '短评打分': 5}
{'短评内容': '服务态度好，酒店环境不错，干净舒适，交通方便。', '短评打分': 4}
{'短评内容': '其他都不错，就那晚没空调挺郁闷的，冻得慌', '短评打分': 5}
{'短评内容': '第一次在京东定酒店哈哈哈哈，还不错搞活动。', '短评打分': 5}
{'短评内容': '房间比较大，设施还可以，性价比较高。', '短评打分': 3}
{'短评内容': '就是被单不够干爽，感觉有些潮湿的样子。', '短评打分': 4}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '干净卫生 舒适', '短评打分': 5}
{'短评内容': '一般很一般，房间太暗，灯不亮，不舒服', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '朋友觉得很舒适，很不错，服务很贴心很到位很棒，距离城院很近，如果有朋友来是个很好的酒店选择，很实惠吧，五星好评', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '室内装饰配得上他的价格，睡的很舒服！', '短评打分': 5}
{'短评内容': '过得去而已，客房服务是弱点，打扫卫生中午喊了好几遍，出门时承诺两点多会打扫，结果傍晚回来，还是原来的房间，还是原来的垃圾，压根儿没打扫。其他方面还好，设施和价格比较一下，性价比也不太低。', '短评打分': 4}
{'短评内容': '空调坏的，水龙头坏的 ，地毯破了洞还要非说是我们的责任要赔钱，美其名曰每个客人住过了地毯都会修？那水龙头厕所门都不修？烂地方', '短评打分': 1}
{'短评内容': '房间不错，确实很值，自己车去湖州街更方便。。。。。为啥返的51块大洋没有呢？', '短评打分': 5}
{'短评内容': ' 酒店不错，有一点不好不能刷卡！', '短评打分': 3}
{'短评内容': '房间比较大，现在返现51，比旁边的伯爵性价比高。', '短评打分': 5}
{'短评内容': '就在学校旁边，很方便。房间挺大的，电吹风什么的都齐全。', '短评打分': 5}
{'短评内容': '都还不错，挺新的，比较干净，房间也比较宽敞。', '短评打分': 5}
{'短评内容': '服务态度挺好的 这个价格不算贵 开房间时候有些误会 不过及时解决了', '短评打分': 5}
{'短评内容': '性价比非常高，而且房间比较干净，装修也过得去', '短评打分': 5}
{'短评内容': '好，干净，我是常客，以后会经常光顾的，建议办贵宾卡，180就好了', '短评打分': 5}
{'短评内容': '从硬件角度上讲性价比很高的酒店 美中不足的是服务不够好', '短评打分': 3}
{'短评内容': '非常好，性价比很高，四星的感觉', '短评打分': 3}
{'短评内容': '房间很干净 布置非常好 就是价格偏贵 学校边上的 也方便', '短评打分': 5}
{'短评内容': '不错~感觉还可以的  价格也适中。推荐入住。\n', '短评打分': 5}
{'短评内容': '酒店很干净，真心不错', '短评打分': 3}
{'短评内容': '挺不错的 房间不小  也很干净 就是我住的那天空调好像坏了  太累了也就无所谓了  就在浙大城市学院附近  推荐', '短评打分': 5}
{'短评内容': '虽然房间还比较大也比较干净但位置太偏了，附近连吃饭的地方都很少，相对而言228的房价偏贵了，个人认为168元比较合理！', '短评打分': 3}
{'短评内容': '性价比比较高，比边上伯爵性价比高多了，是新酒店所以都比较干净。伯爵现在价格又上去了，原来168还可以接受，但是现在都上250了', '短评打分': 5}
{'短评内容': '很干净东西很齐全,就是卫生间少条脚巾,窗户不隔音', '短评打分': 5}
{'短评内容': '环境不错，价廉物美，性价比高，以后有机会还会选择这家酒店。', '短评打分': 3}
{'短评内容': '很干净，很地道，很实惠，很不错。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间很大很干净，各方面都很不错，就是浴室少条地毯望改进', '短评打分': 5}
{'短评内容': '酒店性价比高，环境不错设施齐全。感觉还是非常不错的。', '短评打分': 5}
{'短评内容': '绝对超值的酒店，很好，房间很干净，很新，各种设备齐全，服务人员也很热情，除了位置偏僻了点，别的都不错的', '短评打分': 5}
