{'descr': '质量挺好的，价格也比较实惠，挺便宜的，房间也挺好的。', 'star': 5}
{'descr': '房间很宽敞，比较实惠', 'star': 5}
{'descr': '离地铁和磁悬浮得走10分钟，周边应该都是居民区，有一些吃饭的小店但是不多，房间还可以设施比较全，洗漱都是一次性包装，感觉上比较干净', 'star': 5}
{'descr': '房间很舒服，床很软，稍微不太习惯，网络的话不是很稳定，但是总体很棒，床铺很干净，好评', 'star': 5}
{'descr': '不错，挺舒服的', 'star': 5}
{'descr': '早餐不错25元一个人。不能加床，适合带孩子.位置近。没停车场。蛮干净。价格不便宜。不推荐', 'star': 4}
{'descr': '离地铁和磁悬浮得走10分钟，周边应该都是居民区，有一些吃饭的小店但是不多，房间还可以设施比较全，洗漱都是一次性包装，感觉上比较干净', 'star': 5}
{'descr': '酒店还算干净，可是隔音效果太差太差了一直等到旁边屋子的人看电视看到凌晨两点才能睡……说话电视什么的听的很清楚打电话给前台，也不知道前台有没有通知唉，如果是重要的考试面试什么的就不要住这家酒店了', 'star': 4}
{'descr': '地段还可以，交通方便，房间内设施一般', 'star': 5}
{'descr': '房间挺干净服务也周到虽然在马路边也不吵离会展中心也近', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '还不错，出行方便', 'star': 4}
{'descr': '总体还不错，设施感觉有点旧', 'star': 4}
{'descr': '整天还不错。老会员了。', 'star': 5}
{'descr': '旁边就是地铁，旁边就有一个综合体，各种方便。没有星巴克，很不爽！房间在同等价位里面算是不错的。很干净，房间太小了就这一点很不爽，很赞！', 'star': 5}
{'descr': '旁边就是地铁，旁边就有一个综合体，各种方便。没有星巴克，很不爽！房间在同等价位里面算是不错的。很干净，房间太小了就这一点很不爽，很赞！', 'star': 5}
{'descr': '旁边就是地铁，旁边就有一个综合体，各种方便。没有星巴克，很不爽！房间在同等价位里面算是不错的。很干净，房间太小了就这一点很不爽，很赞！', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '还行，不错！', 'star': 4}
{'descr': '位置比较好，距离磁悬浮站步行大概10分钟，酒店设施一般，c房型的房间确实小，不过这个地理位置这个价位应该算是不错了。', 'star': 4}
{'descr': '一般般。。下次不会再去了', 'star': 3}
{'descr': '房间有股味道 临街有点吵 服务员态度还不错 不过有一保安的服务态度极差 其他还可以 给个中评', 'star': 2}
{'descr': '环境挺好的，服务也很热情，不错的。', 'star': 3}
{'descr': '  离地铁和磁悬浮很近，去浦东机场很方便的，不错', 'star': 3}
