{'短评内容': '厦门海豚湾客栈!@#$[%]^*&amp;amp;[%][%][%][%][%][%][%][%][%][%][%][%][%][%][%](*)#^&amp;amp;*$^&amp;amp;*()_(*&amp;amp;&amp;amp;[%]$$^&amp;amp;^(', '短评打分': 5}
{'短评内容': '厦门海豚湾客栈!@#$[%]^*&amp;amp;[%][%][%][%][%][%][%][%][%][%][%][%][%][%][%](*)#^&amp;amp;*$^&amp;amp;*()_(*&amp;amp;&amp;amp;[%]$$^&amp;amp;^(', '短评打分': 5}
{'短评内容': '第一次来厦门玩，感觉真的很好，厦门的天气比我们那暖和多了，还有很多好玩好吃的，我住的酒店还不错，离海边很近，曾厝垵可热闹了，卫生挺满意的，客服很耐心，告诉我们怎么去旅游区游玩，真的很幸运，第一次来就能住这么舒服的酒店，还有碰到这么好的人！下次我带我父母也一起来旅游下！老板，下次记得给我优惠哈，谢谢！', '短评打分': 5}
{'短评内容': '好评！！！', '短评打分': 5}
{'短评内容': '好评。  ', '短评打分': 5}
{'短评内容': '服务态度好...............', '短评打分': 5}
{'短评内容': '环境不错 性价比高 隔音好 房间不错 与大海特别进 想去哪里去哪里 都特别方便 老板也很好哦！', '短评打分': 5}
{'短评内容': '一般般对于舒适性来说，不过离海边非常近，出门五分钟，这是优势了啦～', '短评打分': 4}
{'短评内容': '总得来说，家人感觉很一般，就这些了', '短评打分': 3}
{'短评内容': '总体感觉来说一般，离沙滩近，但是感觉有点贵', '短评打分': 3}
{'短评内容': '老板热情，房间卫生，但周边吃饭的地方很一般，价格308一晚，贵了点', '短评打分': 5}
{'短评内容': '这家环境很好，服务也周到，下次还会入住。', '短评打分': 3}
