{'短评内容': '早餐菜样少', '短评打分': 5}
{'短评内容': '非常不错的酒店，经常去住的', '短评打分': 5}
{'短评内容': '房间挺好，干净卫生，就是房间味道需要改善，', '短评打分': 5}
{'短评内容': '。。。。。。？？？？', '短评打分': 5}
{'短评内容': '酒店非常不错，经常来这酒店住', '短评打分': 5}
{'短评内容': '还行吧.....。。。', '短评打分': 5}
{'短评内容': '还行吧.....。。。', '短评打分': 5}
{'短评内容': '很不错，很开心的晒单', '短评打分': 5}
{'短评内容': '酒店房间超赞，物美廉价，赞', '短评打分': 5}
{'短评内容': '酒店不好还很贵', '短评打分': 5}
{'短评内容': '洗澡用的热水太不给力了，环境还行吧。', '短评打分': 4}
{'短评内容': '酒店非常不错，装修也很不错，真正的物美价廉！', '短评打分': 5}
{'短评内容': '还不错。常住的一家，性价比高。', '短评打分': 5}
{'短评内容': '还不错。常住的一家，性价比高。', '短评打分': 5}
{'短评内容': '不错。。。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '不敢恭维！', '短评打分': 3}
{'短评内容': '喜欢，很好', '短评打分': 5}
{'短评内容': '喜欢', '短评打分': 5}
{'短评内容': '30平，房间感觉很宽敞。不临大马路，安静，设施整洁有序，洗浴干湿分离，有小桶纯净水，出门北边吃喝玩乐也很齐全。200不到，设施比同类要好很多，已经很超值啦。很满意，推荐', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '可以！', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '服务态度很好，位置距离车站挺近', '短评打分': 5}
{'短评内容': '还可以，发小广告的太多！', '短评打分': 4}
{'短评内容': '房间宽敞干净,空气和采光都很好\n以前住过,酒店是新装修的,很干净', '短评打分': 5}
{'短评内容': '，舒服，就是网络不给力，赶紧无限吧，那样会吸引很多人', '短评打分': 3}
{'短评内容': '酒店房间挺大，设施还算新，早餐挺简单！', '短评打分': 3}
{'短评内容': '，性价比很高', '短评打分': 3}
{'短评内容': '酒店布置得很温馨\n如果有下次机会的话，我还会入住这家酒店的。。。', '短评打分': 5}
{'短评内容': '环境优良，服务好，性价比高', '短评打分': 3}
{'短评内容': '真是、、、带了四位顾客，我走过后只让住了两位、只因为另外两位没带身份证（外地客户），让我情何以堪', '短评打分': 3}
{'短评内容': '感觉干净，服务到位，交通方便。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '根本不是所写的4星级标准，房间的卫生间设置非常简陋。并且房间里有股怪味道。服务员的服务也很差', '短评打分': 1}
{'短评内容': '晚上很安静，可以睡个好觉，出行也很方便。早餐也很丰富，挺满意的。就是房间里灯光太暗了，还有电吹风少的话一定要调配好，不然让客人怎么办啊？就是这两点了，总体还是不错的。', '短评打分': 5}
{'短评内容': '很是一般，不过这个价钱，可以了~酒店对过的那家鱼馆不错~', '短评打分': 5}
{'短评内容': '还不错，卫生间的设计不太好。', '短评打分': 3}
{'短评内容': '不错，房间干净整洁，早餐还行，不错，不错，不错', '短评打分': 5}
{'短评内容': '还可以  离CBD近，比较时尚、干净！下次来还住', '短评打分': 5}
{'短评内容': '地方比较安静 打车非常方便 房间较大 没有骚扰', '短评打分': 3}
{'短评内容': '还可以，房间够大，就是灯光暗，卫生间设计不合理，其他还可以', '短评打分': 5}
{'短评内容': '各设备完善，环境优良，值得回头。', '短评打分': 3}
{'短评内容': '房间设施相当温馨，沐浴用品的档次和便捷性有待提升，门口打的很是方便，基本上不需要等待的时间，因为隔壁就是加气站，希望酒店二楼的餐厅可以尽快开业，餐饮可以得到较好的改善。', '短评打分': 5}
{'短评内容': '这家酒店我已经住过好几次了，里面还不错，不过都是在特价的时候住的，呵呵。258的定位觉得偏高了，还有房间里面的灯光希望能搞亮一点', '短评打分': 5}
{'短评内容': '干净、卫生，硬件条件尚可，但有一点点偏，晚上入住的宾客找起来不是很方便。', '短评打分': 5}
{'短评内容': '酒店无餐厅，也无其他相关服务，实际比图片要要小 特别是大厅', '短评打分': 1}
{'短评内容': '不错，比想像的好。', '短评打分': 3}
{'短评内容': '很好！不错的酒店！我住过N次了！强烈推荐！', '短评打分': 5}
{'短评内容': '入住非常开心。价格合理。专修称心如意。以后还会入住！', '短评打分': 5}
{'短评内容': '不错呢 ,价钱合理 早餐也挺好吃的  .如果下次去还会选择住这', '短评打分': 5}
{'短评内容': '不错，住着挺舒服的。就是灯光不够亮 ....', '短评打分': 5}
{'短评内容': '帮朋友订的房，朋友住后反映可以，以后到郑州会去体验。', '短评打分': 5}
{'短评内容': '服务态度。酒店设施都不错。门口确实很多的士。', '短评打分': 5}
{'短评内容': '去哪都还算方便吧 一般就去二七区，但是去大学路那边就远了', '短评打分': 5}
{'短评内容': '来玩的、住了好多天。设施什么都不错呢。住的也满意', '短评打分': 5}
{'短评内容': '  帮朋友定的悦莱时尚酒店，朋友住后告诉我酒店设施可以、服务到位、价位合理，感谢我的推荐。', '短评打分': 3}
{'短评内容': '唯一，也是最重要的一点，不管什么时候都有出租车', '短评打分': 5}
{'短评内容': '第二次入住了。酒店很安静，干净，位于出租车加气站旁，拦车很方便。走个10分钟就有麦德龙了。', '短评打分': 5}
{'短评内容': '酒店新，干净，安静。服务员的态度很好，早餐也很不错。物超所值。', '短评打分': 5}
{'短评内容': '很好的酒店。早餐也不错。停车方便。干净明亮。值得推荐。', '短评打分': 5}
{'短评内容': '酒店还不错,在郑州这个价位和配套还算可以，下次还会去', '短评打分': 5}
{'短评内容': '房间很安静，环境也不错，就是灯光不亮,早餐还可以.', '短评打分': 5}
{'短评内容': '应该算是附近比较干净的酒店，打车的确像其他人说的，很方便。\n\n附近小吃餐馆很少，需要走上一点路。', '短评打分': 5}
{'短评内容': '服务和硬件设施还不错。', '短评打分': 3}
{'短评内容': '房间时不错，但是就是灯光太暗，看不见，看书还得爬上去看。', '短评打分': 5}
{'短评内容': '真的很一般。没什么好说的。只能说有一张床', '短评打分': 5}
{'短评内容': '酒店服务挺好，只是不喜欢洗手间和淋浴的装修风格！相对，还是对中州商务满意。', '短评打分': 3}
{'短评内容': '帮朋友定的，听说不错哦，比较新而且挺干净', '短评打分': 5}
{'短评内容': '很好的，就是灯光有点暗，服务不错的', '短评打分': 3}
{'短评内容': '这里房间很好，就是对于我来说少有点远！不过在东区办事很方便的！我住过两次了，强烈推荐！', '短评打分': 5}
{'短评内容': '酒店确实不错', '短评打分': 3}
{'短评内容': ' 服务态度很好。住房内电视尺寸不理想，每个房间都配上吹风机就好了。', '短评打分': 3}
{'短评内容': '总体来说还不错。屋子挺宽敞。', '短评打分': 3}
{'短评内容': '酒店设施还可以，入住增了水果还行。但是挨着加气站可能会有燃气的味道，早餐一般，电视频道非常不清楚，调了也不行，网络慢的要死，我入住期间就没能上去过。另外前台有个女服务员态度很不好，下次应该不会来这里。', '短评打分': 1}
{'短评内容': '不错的酒店，性价比高，郑州打的很难打，酒店靠近加气站，出门打的不愁了。', '短评打分': 5}
