{'短评内容': '哦', '短评打分': 5}
{'短评内容': '很不错，真的不错', '短评打分': 5}
{'短评内容': '还可以，下次还来', '短评打分': 3}
{'短评内容': '还不错还不错还不错还不错还不错', '短评打分': 5}
{'短评内容': '卫生很差，被子潮潮的，房间一股发霉的味道', '短评打分': 1}
{'短评内容': '真好，还会在来的', '短评打分': 5}
{'短评内容': '在阜阳来了第二次选的这家房也是出于无奈。只是上次住的另一家房不满意才退而求其次选的这家。开始打酒店酒店电话的时候感觉酒店接线生素质不错，入住后发现房间性价比高！房间舒适宽敞干净，周围吃吃买买交通也方便！', '短评打分': 5}
{'短评内容': '挺好的，服务态度好，价格实惠', '短评打分': 4}
{'短评内容': '前台服务差 电视机没电 没有wifi 总之前台太垃圾 再也不会来 除了淋浴水大点 没有优点了 ', '短评打分': 2}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '今天给安排的房间，外面有3个空调外机，吵得人实在无法睡觉。跟前台沟通了很长时间才给换了一个房间，换完了这个房间以后电视也不能看，而且外面空调外机的声音依然很大。', '短评打分': 3}
{'短评内容': '热水壶坏了，换了一个还是坏的，服务员说建议老板购买，老板总是推脱，卫生状况也不是太好……', '短评打分': 3}
{'短评内容': '环境很好，周边交通方便，离公交站很近！离商场也很近，购物很方便！', '短评打分': 5}
{'短评内容': '还可以吧，已经住了很多次了！', '短评打分': 3}
{'短评内容': '还不错。，。，，，，，，，，，，', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
