{'短评内容': '性价比比较高', '短评打分': 5}
{'短评内容': '性价比还行，比较高', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '好久不见回复姐姐考核官发发发一分一毫发货好吧v故居才吃饭规律不合格出成绩看看哈方法干哈规律北京高考九号公馆', '短评打分': 5}
{'短评内容': '路过，遇上节日，到处客满，临时住一次，只能说将就。', '短评打分': 3}
{'短评内容': '一般。。', '短评打分': 4}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '一个字，差', '短评打分': 2}
{'短评内容': '性价比很高，房间蛮干净，交通方便！', '短评打分': 5}
{'短评内容': '酒店在街边，我们是15年10月2号去的，订不到其他宾馆了，临时找的这个，条件我觉得不行，有股味道，灯光昏暗，隔音效果也不行，不推荐大家住', '短评打分': 3}
{'短评内容': '怎么这么慢怎么没有入住信息？我觉得酒店很垃圾啊', '短评打分': 3}
{'短评内容': '还不错吧。这个价位还是满意的', '短评打分': 3}
{'短评内容': '订单1.8米订实际1.5米床。房内设施简单，厕所有异味，被子盖上感觉痒，将就住。', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '还行吧', '短评打分': 5}
