{'短评内容': '睡的很舒服', '短评打分': 5}
{'短评内容': '酒店基本只能算农家乐类型的，旅游景点附近的的酒店就这样', '短评打分': 3}
{'短评内容': '无早餐，但店家很热情。服务好。因国庆周边修路，路不好走，但旅馆位置好找。', '短评打分': 4}
{'短评内容': '哪哪都不好', '短评打分': 1}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '还不错，商家很热情呢', '短评打分': 5}
{'短评内容': '在一个简陋的小镇上，简陋的家庭旅馆的硬件水平吧。周围的旅馆看起来也都差不多。周围也没什么很正式的饭店，早饭晚饭在门口的街上解决即可。因为来仙居玩的一般般，吃的一般般，所以对这里也什么特别深的印象。', '短评打分': 4}
{'短评内容': '很满意，房间还不错，老板人也很好', '短评打分': 5}
{'短评内容': '房间布置还不错，距离神仙居挺近', '短评打分': 4}
{'短评内容': '非常实惠的酒店，对于陶醉在仙居美景中的人已经足够，酒店挺干净，性价比挺好', '短评打分': 4}
{'短评内容': '在繁华的镇上，离景区都很近的。老板很热情，问他问题，他都热情地提供建议和方法。房间很安静。晚上也很热闹', '短评打分': 4}
{'短评内容': '农家乐还是不错了，就是隔音不是很好', '短评打分': 4}
{'短评内容': '贵了点', '短评打分': 4}
{'短评内容': '首先位置挺好，离景区只有5分钟，设施对于一家小镇上的酒店也是不错的了，新装修的，服务还行，卫生不错，挺干净！而且床单也挺干净的！', '短评打分': 4}
{'短评内容': '国庆期间住得相对条件最好的旅馆，位置好，很安静', '短评打分': 5}
