{'短评内容': '环境优雅，安静舒适，值得信赖', '短评打分': 5}
{'短评内容': '环境优雅，居住舒心，值得信赖', '短评打分': 5}
{'短评内容': '酒店位置不错，早餐正常水准，有停车场，服务比较好，毛巾比较老了，可以更换了', '短评打分': 4}
{'短评内容': '没有浴袍，浴巾只有一条，中央空调噪音太大了', '短评打分': 4}
{'短评内容': '房间太冷！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '非常好。很满意。活动不给力', '短评打分': 5}
{'短评内容': '比较可以对得起这个价位了', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '辰光酒店不像我想象的那么好！', '短评打分': 4}
{'短评内容': '一如既往的不错，价格虽然有点高但是比邢台其他同价位的强多了，酒店也是新的，强烈推荐晨光北楼，停车也方便', '短评打分': 5}
{'短评内容': '一如既往的不错，价格虽然有点高但是比邢台其他同价位的强多了，酒店也是新的，强烈推荐晨光北楼，停车也方便', '短评打分': 5}
{'短评内容': '总体还不错。', '短评打分': 4}
{'短评内容': '感觉不错，比较满意，因为是路过，全家出行，需在邢台住一晚，所以在携程预定，各方面还是比较符合我们要求的。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '代客户订，每次都住这里', '短评打分': 4}
{'短评内容': '交通方便，环境不错，干净卫生，设备齐全！', '短评打分': 5}
{'短评内容': '交通方便，干净卫生，很舒适，设备齐全，服务周到！', '短评打分': 5}
{'短评内容': '中规中矩，没什么亮点，住的楼跟大堂不是一个楼，房间的格局偏小，出差的话可以选择。', '短评打分': 5}
{'短评内容': '早餐晚餐有点单一，每天都是那些东西。其它都不错。', '短评打分': 5}
{'短评内容': '酒店服务不错，就有装修有点味道。', '短评打分': 3}
{'短评内容': '住的很舒服早餐也可以', '短评打分': 3}
{'短评内容': '说是4星级的，但是酒店有点老了，95年开业的。', '短评打分': 5}
{'短评内容': '性价比超高，服务很好，房间也不错，交通便利 \n', '短评打分': 5}
{'短评内容': '早餐真的很差，量供不上又难吃，餐厅狼藉。', '短评打分': 3}
{'短评内容': '早餐差。', '短评打分': 3}
{'短评内容': '经常住，性价比挺髙', '短评打分': 3}
{'短评内容': '早餐不错', '短评打分': 3}
{'短评内容': '服务可以就是有点陈旧', '短评打分': 3}
{'短评内容': '环境还可以', '短评打分': 3}
{'短评内容': '环境不错!', '短评打分': 3}
{'短评内容': '第三次入住此酒店。也许是将近年末，酒店入住的客人太多（据观察可能都是参加会议的2个人一间），早餐时餐厅里人挤来挤去，感觉似职工食堂。另外最近酒店好像在修理房间门窗，白天总有电钻的噪音。', '短评打分': 5}
{'短评内容': '第二次入住此酒店。\n\n房间里配有电脑，提供免费上网，比较方便。', '短评打分': 5}
{'短评内容': '算是邢台市比较好的酒店了，在这里住了一周多，整体感觉还算满意', '短评打分': 5}
{'短评内容': '不错,离要去的地方很近,过一十字路口就到了,服务也很好.', '短评打分': 5}
{'短评内容': '酒店设备比较老，一般卫生条件还行。\n\n早餐种类不少，可以符合各种类型人员的需求。', '短评打分': 1}
{'短评内容': '设施陈旧，老宾馆了', '短评打分': 3}
{'短评内容': '太脏了，不够星，来邢台选快捷新装修的可能好一些，下次来在说吧！', '短评打分': 3}
{'短评内容': '酒店整体不错，装修有点旧，在邢台算是不错的酒店了', '短评打分': 5}
{'短评内容': '非常一般的酒店，早餐还好，交通方便，房间内装饰差。', '短评打分': 3}
{'短评内容': '房间不错', '短评打分': 3}
{'短评内容': '服务很好！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '酒店设施有些沉旧，早餐还可以', '短评打分': 3}
{'短评内容': '该酒店对于住店要求不高的人士来说还可以。房间条件一般，估计是时间长的关系!交通方便，服务员态度好，大堂不错!', '短评打分': 3}
{'短评内容': '酒店设施不好，不同价格的房间设施卫生等都差不多，房间有电脑，速度非常慢。所以不要上当。', '短评打分': 1}
{'短评内容': '早餐只是当地食谱，对于国外和南方客人吃起来不是很好，品种不多，只有将就将就。', '短评打分': 1}
{'短评内容': '设施陈旧，服务质量有待改进，总之，感觉不是很好！外国友人强烈要求换酒店。', '短评打分': 1}
{'短评内容': '整体感觉不错，环境舒适，性价比不错。\n早餐不错，并且环境优雅。\n推荐下榻！ \n', '短评打分': 5}
{'短评内容': '服务较好，房间略陈旧', '短评打分': 3}
{'短评内容': '酒店服务很好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '环境对得起价钱，设施虽然陈旧点，但是物有所值\n', '短评打分': 5}
{'短评内容': '服务满意', '短评打分': 3}
{'短评内容': '\r挺好的', '短评打分': 3}
{'短评内容': '酒店条件有点陈旧，性价比不错，早餐质量有待提高。', '短评打分': 5}
{'短评内容': '算是邢台很不错的酒店，环境还可以。交通也算便利。', '短评打分': 5}
{'短评内容': ' 灯光太暗', '短评打分': 3}
{'短评内容': '酒店设施老化，服务一般，希望改进！！！！！！', '短评打分': 5}
{'短评内容': '房间的设施很陈旧，尽管在当地的名气很大，但对于外地游客而言，不是最佳选择', '短评打分': 1}
{'短评内容': '是邢台比较好的酒店，价格比较实惠，位置也不错！', '短评打分': 5}
{'短评内容': '酒店也在市中心，价格还是挺合理。因为也是经常住感觉还行，住着也都还好。', '短评打分': 5}
{'短评内容': '酒店设施比较陈旧，离火车站比较近，住店没有高要求的话，可以选择该酒店。', '短评打分': 1}
{'短评内容': '服务不错；设备比较陈旧，水龙头一开弄了一身水，淋浴水一大到处漏。', '短评打分': 5}
{'短评内容': '酒店设备太老！一个四星酒店电视居然不是液晶的', '短评打分': 3}
{'短评内容': ' 辰光大酒店还不错.早餐丰盛服务周到.最近的退房时间还延长到下午二点', '短评打分': 3}
{'短评内容': '.酒店服务还是不错的,只是冬天空调有点冷.早餐不错很丰富.', '短评打分': 3}
{'短评内容': '还可以                   在邢台算是比较不错的酒店了', '短评打分': 5}
{'短评内容': '酒店门口正在施工，而且施工的时间到很晚，而且非常脏，住店停车还收费。', '短评打分': 1}
{'短评内容': '酒店在当地算是不错的，但是比较老旧，设施环境比较差', '短评打分': 5}
{'短评内容': '挺不错的一家酒店，在邢台来说算高档的了，就是吃饭有点贵', '短评打分': 5}
{'短评内容': '有点旧', '短评打分': 3}
{'短评内容': '在邢台就算比较不错的酒店了，就是设施相对老旧。会议比较多', '短评打分': 5}
{'短评内容': 'the hotel is dirty & normal', '短评打分': 1}
{'短评内容': '餐厅的菜比较贵、量也太少，不实惠，商品部的核桃千万别买，是过期食品、有很多都坏了，恨那个巧舌如簧的售货员；酒店房间设施比较老，不推荐；', '短评打分': 1}
{'短评内容': '服务环境都不错，位置也还可以，价格稍贵了一些', '短评打分': 5}
{'短评内容': '邢台本来可选的酒店就少，该酒店离工作的地点近，就选择入住，总体还可以，装修有些陈旧，价格不高，早餐一般。', '短评打分': 5}
{'短评内容': '住着还行。基本上干净，舒服。可是硬件真的已经很陈旧了！', '短评打分': 5}
{'短评内容': '酒店还可以，商务中心不是一般的差劲，太令人失望了，早餐一般·', '短评打分': 3}
{'短评内容': '酒店设施陈旧,房间里的床那叫一个硬,和睡在板上没什么区别.', '短评打分': 1}
{'短评内容': '很旧、很破、床单都用黄了、浴巾也用烂了，桌子上漆面都掉了/。。。。根本不配200多的房费。', '短评打分': 1}
{'短评内容': '还可以，211的普通标间，房间比较宽敞，价格在优惠的就好了', '短评打分': 3}
{'短评内容': '酒店是邢台时间比较长的了，有些名气，还不错。', '短评打分': 3}
{'短评内容': '房间，楼道味道都很难闻。床单很脏很旧。浴巾也都破了。地毯很脏，很臭。院子里居然还在施工，有巨大的挖地噪音，居然说晚上不会停，因为接上面的通知要赶工期。说不好意思。哈哈，我都觉得可笑。。。不过这破地方估计也就这档次了。。。', '短评打分': 1}
{'短评内容': '还可以，是邢台比较好的酒店，就是价格稍微有点高。', '短评打分': 3}
{'短评内容': '还可以，是邢台比较好的酒店，就是价格稍微有点高。', '短评打分': 5}
{'短评内容': '在邢台这地方花这钱，对不起4星级标志。居然，住宿停车还另外高价收费！！', '短评打分': 1}
{'短评内容': '酒店位置环境不错，就是设施有点旧，可能时间比较长了', '短评打分': 5}
