{'短评内容': '位置还可以。服务有待提高。设备老化损坏多。', '短评打分': 1}
{'短评内容': '很不错的酒店，有家里的感觉，前台服务员也很好！', '短评打分': 5}
{'短评内容': '公寓式酒店，房间挺大，浴室较小。网络很差，有线没信号，用无线信号很差，除非开着房门', '短评打分': 1}
{'短评内容': '地理位置比较不错，但是周边没有特别好的购物中心。服务态度不错，楼下有永和豆浆，吃东西方便，交通也很发达！总体不错！', '短评打分': 5}
{'短评内容': '房间挺大', '短评打分': 3}
{'短评内容': '运气不好住的房间电视机顶盒基本是坏的过一会儿就会黑屏 \n枕头上居然有半只脚印 有点影响心情 --\n\n', '短评打分': 5}
{'短评内容': '很不错的酒店，房间够大，一家三口在里边一点也觉得不拥挤。位置也还可以，吃东东很方便，附近有家永和，叫外卖很快的说。', '短评打分': 5}
{'短评内容': '建议阳台安装晒衣挂钩，并维修空调，这个季节不开空调还可以，但是冬天的时候那空调会冻死人的。房间的电脑也是，哇哈，好慢，好多病毒，我的硬盘插上去用拷了点资料出来，再插我自己电脑上一查，狂杀病毒。', '短评打分': 5}
{'短评内容': '酒店很不错哦，很温馨也很安静，还是比较干净的。就是洗澡的稍微小了一点，洗澡的时候会感觉不舒服。其他都不错，还有个小阳台！酒店的人都很热情哦！！\n\n.\n\n.', '短评打分': 5}
{'短评内容': '性价比高的公寓型酒店，因为不是整栋楼是酒店，不能要求太多，只要房间舒服就行。\n房间还可以的，带电脑。床比较硬，不过我就喜欢硬些的。但是窗外汽车噪音比较大，而且房间好些灯坏了没有修。', '短评打分': 5}
{'短评内容': '一所舒适的公寓型酒店，拥有独有的特色，房间面积大，设施也很好，交通还算得上比较便利，唯有的不足可能就是临近街道，晚上会有车鸣声。不过总体上还是比较推荐入住的，如果首次去的话，还比较难找。', '短评打分': 5}
{'短评内容': '总体来说还不错啊!就是空调效果不太好!其他都满好的!', '短评打分': 5}
{'短评内容': '房间很大，整体环境不错，有厨房，装修材质不佳，性价比可以', '短评打分': 3}
{'短评内容': '很不错的酒店。住着很舒服很温馨@！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '蛮好的，就是一进去的时候房间有点味道，但开下窗户就好了，床很大很舒服，网速也很快~', '短评打分': 5}
{'短评内容': '不错的酒店 不错的想法 里面设施也不错  感觉比一般酒店要更温馨', '短评打分': 5}
{'短评内容': '房间不错，不会像别的旅馆那样冷冰冰的！但就是有点难找！', '短评打分': 3}
{'短评内容': '公寓式酒店给人感觉很温馨，但确实不好找，外部没有任何指示牌', '短评打分': 5}
{'短评内容': '房间确实蛮不错的，就是位置太难找了，而且外面没有，广告牌。由其是晚上，如果不给客服打电话，找到，一个字难！不过环境确实不错，进去之后，很值！', '短评打分': 5}
{'短评内容': '经济大床房间很大，套间布置的跟普通住家一样，很喜欢这样的风格，\r\n缺点：1 建议做个大的广告牌立在街面上，方便找寻；\r\n      2 卫生间有点小2个人有些转不开，干湿分区不是太合理；\r\n      3 网络下载速度很快，就是半夜有时候会断网，服务器有待改善', '短评打分': 3}
{'短评内容': '10.1期间订了一个套间一个经济大床房，都很不错，套间适合一家三口出游居住。套间之前已评价了，经济大床房也是很不错的，缺点是，卫生间小了点，2人又点转不开，干湿分区不是太好，但是喷头水很冲，很好。半夜网就断了，但是网连上后下载东西还是噌噌的。下次来还是会首选的。', '短评打分': 3}
{'短评内容': '房间很大，干净没有之前网上说的卫生间异味。套间布置的跟普通住家一样，很喜欢这样的风格，有个小厨房很方便。\r\n缺点：1 建议做个大的广告牌立在街面上，方便找寻；\r\n      2 临街的一面晚上会有些吵（不明白为什么武汉的司机喜欢在半夜的时候按喇叭，太没素质了）不临街的那面还不错很安静\r\n下次来武汉还会来住，也会推荐给朋友。', '短评打分': 5}
{'短评内容': '酒店的房间配置还行,不过卫生间空间太小,干湿分隔不好,下水道的味道很重.我们只住了一晚就离店了.', '短评打分': 1}
{'短评内容': '酒店位于居民区楼内，档次较低，没有娱乐，没有餐厅。住了两天竟然发现没有搞卫生。卫生间没有挡水槽，160元来看价位偏高。', '短评打分': 3}
{'短评内容': '公寓酒店性价比高，象家一样，周边小区较方便，娱乐项目几乎没有。', '短评打分': 5}
{'短评内容': '性价比很高的酒店,但酒店没有门面,很难找.不过主要应该是回头客多.', '短评打分': 3}
{'短评内容': '该酒店位置挺好,就是没有门面,找了很久才找到.出行方便,房间性价比高.唯一不足是下水道反串上来的味道充斥房间', '短评打分': 5}
{'短评内容': '楼下没牌子不太好找~！其他的都不错```就是设施不是很新', '短评打分': 5}
{'短评内容': '服务人员态度很热情，都是面带微笑的为你服务，让人感觉很亲切。', '短评打分': 5}
{'短评内容': '很不错，靠后的房间，很安静。可以免费洗衣。免费的咖啡包与矿泉水。淋浴水流够足。160元挺划算的。', '短评打分': 5}
{'短评内容': '房间很干净，每天都有服务员来打扫，价格上也很合适，感觉还不错。', '短评打分': 5}
{'短评内容': '房间不是很大，但是很干净，设施也比较齐全，感觉挺舒适的。', '短评打分': 5}
{'短评内容': '有的房间里还配备了电脑，上网很方便，这点挺好的。', '短评打分': 5}
{'短评内容': '酒店的各方面都挺不错的，位置非常好，周边的交通特别方便.而且室内的硬件设施也不错.', '短评打分': 5}
