{'短评内容': '房间很漂亮，住的很舒适，还会再来', '短评打分': 5}
{'短评内容': '没有电梯，房间感觉有点小，根本不存在隔音，夜晚好吵。', '短评打分': 4}
{'短评内容': '嗯', '短评打分': 5}
{'短评内容': '环境很好！！', '短评打分': 5}
{'短评内容': '出差住这里，非常满意，可以延迟13点退房，前台服务很好，房间透气，下次还会回来住', '短评打分': 5}
{'短评内容': '不错，挺实惠的', '短评打分': 4}
{'短评内容': '&hellip;&hellip;', '短评打分': 5}
{'短评内容': '很不错哦，内设挺不错的。可以的', '短评打分': 5}
{'短评内容': '房間隔音差', '短评打分': 5}
{'短评内容': '格局可以', '短评打分': 5}
{'短评内容': '多次入住 好评', '短评打分': 5}
{'短评内容': '房间格调不错', '短评打分': 5}
{'短评内容': '性价比高，前台服务态度好，交通也方便', '短评打分': 5}
{'短评内容': '整体感觉一般，光线不好，设备陈旧', '短评打分': 3}
{'短评内容': '环境不错服务很好！！！', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '整体还可以，有点闷，没有窗子，光线太暗', '短评打分': 3}
{'短评内容': '总体还是不错的 服务态度好 房间空间比较小', '短评打分': 3}
