{'descr': '卫生很差。。房间陈旧空气不好 狭窄 。。', 'star': 3}
{'descr': '还可以。在城区，周边都是旅游景点。比前台便宜10块钱。很划算', 'star': 5}
{'descr': '总体感觉可以的', 'star': 5}
{'descr': '还不错．下了地铁站顺着左手边走不远就到了．', 'star': 5}
{'descr': '本旅店离拙政园，狮子林，观前街很近，而且价格合理，经济实惠，整洁卫生。是出行居住的好地方!', 'star': 5}
{'descr': '离观前街近，含半扇窗户，卫生和周边环境都对得起这个价位。', 'star': 4}
{'descr': '位置很好，就在观前街边上，走过去五十米，可以晚上过去逛一逛。距离平江路步行街也很近，步行过去也就十分钟的样子。就是房间有一点小。', 'star': 4}
{'descr': '设备有点旧，还有白天在古镇买的零食，放在屋里，三个小时不到，一屋子都是蚂蚁。最难忍受的，一大早还吵死了。弄得一整天心情都不好', 'star': 4}
{'descr': '旅店服务态度好', 'star': 5}
{'descr': '旅店服务态度好', 'star': 5}
{'descr': '方方面面都不错啊，不错不错啊好', 'star': 5}
{'descr': '如实说：位置好，前台小哥态度很热情，旅店条件差，国庆期间价格高。艺龙预订的酒店成功，之后说客满，艺龙客服推荐这一家，当时在路上，不方便上网订房间就同意了。返现也没有，打客服电话客服非常不耐烦才勉强同意申请补偿返现。之后查询根本没这个记录，不承认补偿返现。最终用4星酒店价格住了旅店，对艺龙这次处理方式很不满意。', 'star': 3}
{'descr': '房间很干净，位置也很好，服务态度也很好，值得入住', 'star': 5}
{'descr': '就是房间有点小，上网比较差，其它的还可以，人也比较热情！', 'star': 3}
{'descr': '还行', 'star': 5}
{'descr': '交通很便利，房间很干净…就是稍微有点小。不过出去旅游已经足够啦！', 'star': 3}
{'descr': '早早就来了，一开始因为来的太早分了101的房间，担心晚上会比较吵闹，后店家帮忙换到了2楼，很好。定的电脑大床房，原以为会比较小，现在感觉还可以的', 'star': 3}
{'descr': '酒店氛围不错。但房间非常小，不提供牙刷等。拖鞋不是一次性的。大床房的浴巾也只提供一条。适合背包游入住。离观前街非常近，苏博，拙政园，狮子林都挺近的。交通便利。推荐入住', 'star': 5}
{'descr': '非常不错。唯一的就是房间有点小', 'star': 3}
{'descr': '环境不错 设施齐全 交通方便 附近也蛮热闹的', 'star': 5}
{'descr': '房间不大卫生还好，就是有点潮！格音差点，离步行街好近，无洗漱用品。洗澡的有', 'star': 3}
{'descr': '交通很方便，房间很干净，价格也实惠，值得推荐。', 'star': 3}
{'descr': ' 房间很小，淋浴设备较旧，没有牙刷拖鞋之类需自带，但位置交通方便，出门就是观前街，醋坊桥公车站有车到火车站，园林，虎丘，汽车南站等', 'star': 3}
{'descr': '前台小妹妹脾气暴躁，向其索要酒店书面规定时惹毛她，在帮我们拿被纸的时候踢凳摔门那叫一个帅气。房间小，床倒是挺舒服。地处观前街，吃饭购物都很方便，考虑到这点倒是值得推荐。', 'star': 5}
{'descr': '价格很划算，就是空调声音太吵了，有点不适应', 'star': 5}
{'descr': '距离拙政园狮子林2站地，步行也可。紧邻观前街。距离著名的哑巴生煎很近，不到一站地吧。门前交通也很方便。地理位置很优越。\n前台的服务很好。\n只是房间真的很小。如果住1-2晚还可以。住长一些，有点儿不舒服。', 'star': 5}
{'descr': '房间太小，有点压抑，而且在旅馆的过道里面还发现老鼠，性价比不是很高，不过价格在观前街周围还可以，离观前街也近，不推荐', 'star': 1}
{'descr': '不错，就在观前街傍边，去观前街玩或者吃东西都和方便。往前走点还有哑巴生煎的临顿店。（虽然我去的时候人家要初八才开，没机会吃的说）周围的交通业很方便，去各个地方都有车。入住的是电脑大床房，房间里面有一体机，方便查东西。房间里面有提供洗发水、沐浴露，但是要自己带牙刷毛巾。', 'star': 5}
{'descr': '房间干净整洁，离繁华街道近，就是空调不太好地漏反味', 'star': 3}
{'descr': '典型的客栈，如果只求住一晚，还是可以的，属于经济型客栈，请自带牙膏牙刷。', 'star': 5}
{'descr': '很不错，还挺干净，下次去苏州一定还住这里', 'star': 5}
{'descr': '离观前街，狮子林，苏州博物馆和拙政园都很近，房间小点，但是还好够用，建议自带洗漱用品。交通非常之方便，到哪都有公交车路过，最主要是门口就有一家苏州名小吃“哑巴生煎”，味道好极了。', 'star': 5}
{'descr': '酒店居住环境不错，性价比很高。。。酒店的服务员热情周到。。。真的是太好了。。。', 'star': 5}
{'descr': '还行吧，一分钱一分货，房间小了点！', 'star': 3}
{'descr': '卫生还可以，推荐入住。离观前街商业区很近，配套OK', 'star': 5}
{'descr': '交通方便 卫生还行 .......................................', 'star': 5}
{'descr': '住的3天 感觉还不错 卫生最重要是交通方便', 'star': 5}
{'descr': '酒店挺干净，离观前街近，就是房间偏小。要是门前那条河不臭就好多了。', 'star': 5}
{'descr': '太不給力了，環境也不好，就是服務態度還好，一分價錢一份消費把', 'star': 1}
{'descr': '太不給力了，環境也不好，就是服務態度還好，一分價錢一份消費把', 'star': 1}
{'descr': '位置蛮方便的。也很干净。服务员姐姐也很好。', 'star': 3}
{'descr': '位置蛮方便的。也很干净。服务员姐姐也很好。', 'star': 3}
{'descr': '比较便宜，环境好，观前街吃喝都不错，还是值得推荐的', 'star': 5}
{'descr': '比较便宜，环境好，观前街吃喝都不错，还是值得推荐的', 'star': 5}
{'descr': '旅店地址不错，离观前街很近，不过房间设施一般，不如格林豪泰和汉庭干净，没有纱窗，服务还好', 'star': 3}
{'descr': '旅店地址不错，离观前街很近，不过房间设施一般，不如格林豪泰和汉庭干净，没有纱窗，服务还好', 'star': 3}
{'descr': '地理位置比较好，出门2分钟可以到达观前街，5分钟可以到博物馆和拙政园，从拙政园到平江路也很近的哦，都是走了，不需要打的，也不需要公交，咨询前台的美眉很热心的解答哦，前台还有苏州地图的，如果怕走失可以买张地图随身，地图质量超好的，不是火车站那种2块钱1张的。服务质量很不错，房间很干净，貌似是新装修的，有点像如家的风格，而且还比较安静，很超值的说。', 'star': 5}
{'descr': '地理位置比较好，出门2分钟可以到达观前街，5分钟可以到博物馆和拙政园，从拙政园到平江路也很近的哦，都是走了，不需要打的，也不需要公交，咨询前台的美眉很热心的解答哦，前台还有苏州地图的，如果怕走失可以买张地图随身，地图质量超好的，不是火车站那种2块钱1张的。服务质量很不错，房间很干净，貌似是新装修的，有点像如家的风格，而且还比较安静，很超值的说。', 'star': 5}
{'descr': '离拙政园等景点近，亦是在观前街步行街边，旅游、购物均很方便。\n房间干净，配有多个插座，只是房间略显狭仄。', 'star': 5}
{'descr': '离拙政园等景点近，亦是在观前街步行街边，旅游、购物均很方便。\n房间干净，配有多个插座，只是房间略显狭仄。', 'star': 5}
{'descr': '地理位置十分优越，价钱还算合适，晚上周围的小吃不错~', 'star': 5}
{'descr': '地理位置十分优越，价钱还算合适，晚上周围的小吃不错~', 'star': 5}
{'descr': '房间虽小但各方面都不错。很舒就是这点评需要我五十字才能点评。有点让我无语。。。适………………………………………………………………介意入住', 'star': 5}
{'descr': '房间虽小但各方面都不错。很舒就是这点评需要我五十字才能点评。有点让我无语。。。适………………………………………………………………介意入住', 'star': 5}
{'descr': '地理置挺好的，离平江路只隔一条街，而且还是连锁经营的，服务态度较好，不提供洗漱用品，而且房间只有一块浴巾，房间隔音效果不好', 'star': 5}
{'descr': '地理置挺好的，离平江路只隔一条街，而且还是连锁经营的，服务态度较好，不提供洗漱用品，而且房间只有一块浴巾，房间隔音效果不好', 'star': 5}
{'descr': '房间不大，但是很整洁~\n感觉大床房睡两个人完全没问题\n东西很干净\n服务态度很好~~\n还能够借用洗衣机来甩干衣服~\n价格实惠，地段也非常好，就在观前街、拙政园、平江路等的旁边\n不过网络到了夜里似乎就不能用了，白天还可以\n', 'star': 5}
{'descr': '房间不大，但是很整洁~\n感觉大床房睡两个人完全没问题\n东西很干净\n服务态度很好~~\n还能够借用洗衣机来甩干衣服~\n价格实惠，地段也非常好，就在观前街、拙政园、平江路等的旁边\n不过网络到了夜里似乎就不能用了，白天还可以\n', 'star': 5}
{'descr': '不能刷卡，房间比较小，很潮湿，                                                但价格很便宜', 'star': 1}
{'descr': '不能刷卡，房间比较小，很潮湿，                                                但价格很便宜', 'star': 1}
{'descr': '服务非常差，欺骗消费者。电脑房无窗，没洗漱用品，不提前告知。工作人员讲话前后自相矛盾，态度极其恶劣。', 'star': 1}
{'descr': '服务非常差，欺骗消费者。电脑房无窗，没洗漱用品，不提前告知。工作人员讲话前后自相矛盾，态度极其恶劣。', 'star': 1}
{'descr': '网速还可以，如果能有个凳子就好了，另外加几个衣架', 'star': 5}
{'descr': '网速还可以，如果能有个凳子就好了，另外加几个衣架', 'star': 5}
{'descr': '环境不错，就是房间感觉有点小，态度也很好\n', 'star': 5}
{'descr': '环境不错，就是房间感觉有点小，态度也很好\n', 'star': 5}
{'descr': '我只住了一晚就赶紧搬走了，我是在网上看见以为还好，来了以后有种上当受骗的感觉，非要我们加30元才能住3人，但是早知道要花这个钱我就到别的旅馆去，到这受这份罪干嘛，房子很小，蚊子又多，', 'star': 1}
{'descr': '我只住了一晚就赶紧搬走了，我是在网上看见以为还好，来了以后有种上当受骗的感觉，非要我们加30元才能住3人，但是早知道要花这个钱我就到别的旅馆去，到这受这份罪干嘛，房子很小，蚊子又多，', 'star': 1}
{'descr': '服务还行,房间很干净,环境不错,就是房间太小,\n里面桌子,一些常用家居几乎都么有', 'star': 5}
{'descr': '服务还行,房间很干净,环境不错,就是房间太小,\n里面桌子,一些常用家居几乎都么有', 'star': 5}
{'descr': '房间比较小，无一次性用品，不支持刷卡，开发票等待时间较长。', 'star': 1}
{'descr': '房间比较小，无一次性用品，不支持刷卡，开发票等待时间较长。', 'star': 1}
{'descr': '房间桌子很小，空调漏水。大床房很小很窄。', 'star': 1}
{'descr': '房间桌子很小，空调漏水。大床房很小很窄。', 'star': 1}
{'descr': '其实各个方面都挺不错的，值得一住，不管怎么说，价格就在那里，不高不低。', 'star': 5}
{'descr': '其实各个方面都挺不错的，值得一住，不管怎么说，价格就在那里，不高不低。', 'star': 5}
