{'短评内容': '设施一般', '短评打分': 3}
{'短评内容': '在大石虎胡同附近，靠近后海，离地铁站很远，门口有55路公交。四合院特色，感觉还好，服务也不错。卫生间没门 ，还是不太方便呵呵 ，最好拉个帘子。', '短评打分': 5}
{'短评内容': '很喜欢酒店风格，很有家的感觉，前台小妹和阿姨都很和善，以后还会再来', '短评打分': 5}
{'短评内容': ' 很好非常好.交通方便吃喝方便.离新街口.什刹海.恭王府.919车站都近.步行即可到.小缺点是洗澡水不够足,秋冬不适合住.下次来北京还住这I', '短评打分': 3}
{'短评内容': '五一期间住的，蜜月房，很有特色，前台两位美女态度很好。就是对于卫生间没有门，没有任何遮挡，非常不习惯。', '短评打分': 5}
{'短评内容': '值得推荐的酒店。好。就是没有停车位。。。。。。', '短评打分': 5}
{'短评内容': '不错，就是太不隔音了。隔壁的老外说什么我都能听到', '短评打分': 5}
{'短评内容': '北京胡同很地道，也很干净！享受了一把老北京人生活！', '短评打分': 3}
{'短评内容': '不错的酒店.房间设施够4星,卫生状况很好.有机会会再住. \n', '短评打分': 5}
{'短评内容': '酒店很特别，给人一惊喜，最喜欢进门的院子，感觉夏天住还好。', '短评打分': 3}
{'短评内容': '很不错的酒店，前台丹丹人超好！！！我们聊得很开心~~ 装修之后热水暖气都解决了。蜜月间贵宾间都不错，还给升级！大力推荐！', '短评打分': 5}
{'短评内容': '熱水不熱，有很多傢俱也不可以用。\n\n只可看，不可以用。\n\n服務員很友善', '短评打分': 1}
{'短评内容': '什么都很好 就是卫生间加个门帘很有必要', '短评打分': 3}
{'短评内容': '挺安静的一个院子,房间不大,但是还可以', '短评打分': 3}
{'短评内容': '满意如住', '短评打分': 3}
{'短评内容': '我定了2晚中式豪华房，四合院的整体氛围值得肯定。但是房间偏小，有一面是直接对着内院的，我不太清楚北京四合院是不是都是这样的房间布置，就个人而言，在私密性上有所欠缺，最主要房间的隔音做的太差，晚上几乎可以听到隔壁人的谈话。服务人员的态度很热情，值得在此肯定。还有就是地理位置不错，距离后海步行10分钟左右，门口有5路公交，打车也比较方便。如果你不是高峰时节出游的话，无论从价格还是地理位置上都是值得推荐', '短评打分': 5}
{'短评内容': '酒店整体还不错，交通方便！洗手间也挺干净的！', '短评打分': 5}
{'短评内容': '酒店整体还不错，交通方便！洗手间也挺干净的！下次有机会还会选择！--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '客栈就在大马路上，进门后有种两个世界的感觉。服务挺好，但房间的床比较小。个人感觉性价比不算高。', '短评打分': 3}
{'短评内容': '超好的酒店，其实没装修以前，更有味道，希望下次装修时卫生间有个们会更好！', '短评打分': 5}
{'短评内容': '很不错的酒店，已经住过几次了，但是还是怀念没有装修前的感觉！', '短评打分': 5}
{'短评内容': '不错，服务很好，还给升级了房间，下次再来！', '短评打分': 3}
{'短评内容': '酒店整体还不错，交通方便！下次还住！提意见！：没有衣架，不知道是什么原因！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '位置很好，但酒店正装修，房间暖气没有，空调很差，冻了一晚上，性价比很差', '短评打分': 1}
{'短评内容': '  酒店私人性很强  态度良好  房间很干净  建议天井里阳伞要打开  ', '短评打分': 3}
{'短评内容': '这个酒店很不错的，装修的古香古色，很有味道，院子里的摇椅看书，发呆很棒的，值得推荐~！', '短评打分': 3}
{'短评内容': '很不错的酒店，卫生和环境很棒，房间也很人性化！', '短评打分': 3}
{'短评内容': '环境和设施很棒，很有历史感的四合院\r\n早餐很人性化，赞一个~！', '短评打分': 5}
{'短评内容': 'zan', '短评打分': 5}
{'短评内容': 'worse than yuewei hotel, just near Houhai bar street', '短评打分': 1}
{'短评内容': '服务态度还不错，房间里面有网线但是不能网线里面的卫生还行，位置还是算好找，价格还是有些贵了，其他的都还行吧，要是价格再便宜些就更好了。', '短评打分': 1}
{'短评内容': '怀着美好的希望入住四合院，没想到结果太令人失望了。\r\n酒店的卫生情况不感恭维，办入住的时候前面的客人刚走，工作人员在清理房间，让我们稍候用完午餐再来，房间就打扫好了。\r\n餐后入住房间，床单和被子，枕头套都不换的，只是把凌乱的被子叠好而已，让人大跌眼睛。被套的拉链都是无法拉上的，露出里面的被子，干净不干净，每个人的感觉的不同，反正我觉得不舒适。\r\n房间里没有一次性用品，请自行问前台索取。只适合背包族', '短评打分': 1}
{'短评内容': '非常适合老外或者尝试一下四合院的人。但是我真的不喜欢硬床很不舒服。', '短评打分': 5}
{'短评内容': '一般 ', '短评打分': 1}
{'短评内容': '冬天不适合入住！', '短评打分': 1}
{'短评内容': '离地铁站走得快点也要20分钟，好在门口就有辆公交车座1、2站就到一个公交比较多的德内，那有车直接到长城，呵呵，出行相对还是方便的吧，房间也不错，一个小的四合院，挺安静的，推荐想住四合院的人', '短评打分': 5}
{'短评内容': '到地铁要走20分钟。打车还算方便，离后海很近，穿胡同就到了。\r\n房间是地暖，没有暖气片和热空调，有时会觉得冷。\r\n热水是公用锅炉的，每天洗澡时的感觉都不一样，入住3天中第2天的水非常冷。\r\n卫生情况很好，很干净。\r\n', '短评打分': 1}
{'短评内容': '離什剎海近，但離地鐵站稍遠，環境鬧中取靜，是間舒適、溫馨，頗有韻味的四合院酒店', '短评打分': 5}
