{'descr': '不适合带孩子', 'star': 5}
{'descr': '&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', 'star': 5}
{'descr': '酒店地理位置还可以。购物跟出行都挺方便的。前台服务态度特别好。早点，在这个价位中还可以。  只是房间里的设施不是很好。 特别是卫生间里面的洗刷用品几乎没有。', 'star': 4}
{'descr': '这家酒店在三大街接近洞庭路，地理位置不错。交通挺方便的。门前有大型停车场。离乐购超市和体育场挺近的。酒店的早点还可以，只是主食有点太单调。只有肉包没有素的。房间设施一般，衣柜都漏着锯末板子。洗涮用品一般。', 'star': 4}
{'descr': '', 'star': 4}
{'descr': '交通方便，不是很干净，总体感觉一般', 'star': 4}
{'descr': '??????', 'star': 5}
{'descr': '很好很干净，以后还会光顾\n很好很干净，以后还会光顾???????', 'star': 5}
{'descr': '地理位置不错，早餐不好。', 'star': 4}
{'descr': '马桶不好冲水，其他都好！！！', 'star': 5}
{'descr': '环境优美，干净卫生，服务好。', 'star': 5}
{'descr': '环境优美，干净卫生，服务好。', 'star': 5}
{'descr': '环境安静，设施一般，服务还不错', 'star': 5}
{'descr': 'Cheap, clean and good location. Good network. However, noisy room and A/C.', 'star': 3}
{'descr': '环境不错，服务态度良好', 'star': 5}
{'descr': '挺好的，房间挺大。卫生好', 'star': 3}
{'descr': '安静，整洁，床很大。只是房间略挤。', 'star': 3}
{'descr': '酒店服务还行，性价比差，房间卫生条件一般，周边交通便利，去金融街很方便，前台服务很热情，很有耐心，但房间不好，没有窗户，房间比较小。', 'star': 3}
{'descr': '离公司很近，客户住的很方便，就是晚上没有餐提供', 'star': 5}
