{'descr': '房间还挺大的', 'star': 5}
{'descr': '隔音差到爆，旁边的声音和走廊里的声音听得一清二楚，要不是是和朋友走在一起而是和家长的话会尴尬死，热水很充分，房间没有肥皂，收拾也是我们找前台才给收拾卫生，不过交通还蛮方便', 'star': 4}
{'descr': '早餐7元一位，附近吃的也很多。服务态度也很不错', 'star': 5}
{'descr': '可以的可以的', 'star': 5}
{'descr': '空间大，比较安静，卫生条件可以。', 'star': 5}
{'descr': '不错，评论了领豆豆，，，，，，，，，，，，，，，，，，，，，', 'star': 5}
{'descr': '不错，价格有点高。', 'star': 5}
{'descr': '房间空间大，设施完善，交通也很方便，服务很好。', 'star': 5}
{'descr': '一贯的安逸', 'star': 5}
{'descr': '非常不错的酒店，位置好，性价比高', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '只能说性价比还咯我吧', 'star': 3}
{'descr': '前台服务好，卫生干净', 'star': 5}
{'descr': '房间很大。很干净。', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '大床软硬适中，房间也比较干净，总体来说还算满意', 'star': 4}
{'descr': '不错', 'star': 5}
{'descr': '还不错，房间很大', 'star': 5}
