{'短评内容': '酒店一般般，房间临街很吵，前台服务也不咋滴，很冷淡！', '短评打分': 3}
{'短评内容': '酒店大堂及电梯前厅感觉还可以，干净，还可以！\n', '短评打分': 5}
{'短评内容': '位置不错 设施一般有点老!服务什么都还行过的去!', '短评打分': 5}
{'短评内容': '房间够大，装修一般，干净舒适，交通也比较方便，但是周围不好找快餐店。缺点：隔音效果较差，网络时不时地中断一下。', '短评打分': 5}
{'短评内容': '房间一般有点陈旧，服务不太好。入住时跟前台讲过安排间安静点的；结果呢，偏偏安排了电梯出口不远的，一宿没睡好觉。', '短评打分': 1}
{'短评内容': '区位较好，设施较旧，前台服务较冷淡，要了卷纸，等了20多分钟。感觉不到三星的环境', '短评打分': 1}
{'短评内容': '民生下属的这家酒店 有中国慈善企业家 王翔的领导 做的挺好', '短评打分': 5}
{'短评内容': '卫生很不错 设施也很齐全 就是我当晚睡的靠马路 有点吵闹···', '短评打分': 5}
{'短评内容': '居然住到跟上次一个房间..早上没有热水，澡都没洗成，一天都不舒服', '短评打分': 5}
{'短评内容': '我已入住812.', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '设施和服务一般，服务人员态度让人觉得有点小不爽。', '短评打分': 1}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '还行吧。就是不太喜欢前台，不热情就算了，基本素质都不具备。', '短评打分': 3}
{'短评内容': '十已入住', '短评打分': 3}
{'短评内容': '设施一般，有待改善，早餐还行。', '短评打分': 3}
{'短评内容': '位置很好，烟水亭边上。服务员态度很好啊。', '短评打分': 5}
{'短评内容': '酒店还不错，正常，如果服务水平再提高一点将能吸引到更多回头客', '短评打分': 5}
{'短评内容': '经济实惠，半夜从机场大巴下来入住很方便。条件就比较简陋一些。', '短评打分': 5}
{'短评内容': '超值，推荐', '短评打分': 3}
{'短评内容': '酒店的位置相当的好！离甘棠湖只咫尺之遥！步行闹市也相当方便！去浔阳楼打的也就8元左右！打的去火车站也就十分钟左右！除了早餐有点简单之外，其他方面在九江也算是好的了！特备推荐：酒店附属的“鲜来厚道”酒家，菜式不管是色、香、味都俱全！环境也蛮好！大力推荐！', '短评打分': 5}
{'短评内容': '房间挺大的 \n服务挺好的\n早餐品种多\n装修很好  ', '短评打分': 5}
{'短评内容': '房间装修挺好的\n屋里有上网的电脑\n房间挺好的', '短评打分': 5}
{'短评内容': '装修还好，住进去了才发现空调是坏的，想打电话到总台找人修，结果发现——电话居然也是坏的，管理不给力啊！！！', '短评打分': 1}
{'短评内容': '13楼的商务房还可以，下面的房间就不咱的。服务员态度一般，姚经理很好，但网上订房只订了一天的话，如果要续订不要忘记通知经理，否则房费成倍上涨。', '短评打分': 5}
{'短评内容': '  酒店挺干净  住得蛮舒服的。', '短评打分': 5}
{'短评内容': '酒店属于商务形的酒店，硬件设施很齐全，有电脑，房间装修的中规中矩的，比较适合我，酒店地处市中心，很繁华，交通更方便了', '短评打分': 5}
{'短评内容': '酒店服务挺好的，另外酒店地处市中心，出行很方便，酒店有自己的停车场，自驾过来也可以', '短评打分': 5}
{'短评内容': '酒店性价比较高，前台服务好，很快就办好入住手续了，服务员办事效率高，很好，房间住宿情况良好。', '短评打分': 5}
{'短评内容': '卫生条件比较差,厕所味道不好闻,通风有点问题. 地理位置还行.', '短评打分': 1}
{'短评内容': '环境一般,房间内设施有些旧,位置很好,整体住着也还算舒适', '短评打分': 5}
{'短评内容': '整体感觉还不错，性价比可以，服务也周到', '短评打分': 5}
{'短评内容': '酒店没停车场,因为当时到的比较晚走的又比较早,所以没有什么太大的感受,不过酒店住着还是蛮舒适的,价格也很便宜,应该还不错', '短评打分': 5}
{'短评内容': '天翔酒店周边环境很好，下次还要住的。', '短评打分': 5}
{'短评内容': '门口连个停车位都没有，而且周围是个闹市区，感觉噪音太大了', '短评打分': 1}
