{'短评内容': '在这一片属于比较好的酒店，下次还会入住', '短评打分': 5}
{'短评内容': '呵呵呵呵节假日放假就放假放假', '短评打分': 2}
{'短评内容': '大品牌，值得信赖！！！', '短评打分': 5}
{'短评内容': '金陵出品，不错！', '短评打分': 5}
{'短评内容': '环境挺好的', '短评打分': 5}
{'短评内容': '很好的酒店，值得住', '短评打分': 5}
{'短评内容': '预定很快，价格比其他网站便宜', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '朋友住的很满意', '短评打分': 5}
{'短评内容': '还不错！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '出差到化工区，离地铁站很近，交通方便，房间设计还不错。前台接待邱语美女和李阳帅哥服务热情周到。会考虑再次入住。', '短评打分': 5}
{'短评内容': '住过好几次了，硬件和服务很赞，特别前台接待王娟小姐人漂亮服务也很好很耐心，还给升级了房间，给个大好评', '短评打分': 5}
{'短评内容': '位置不错，酒店也很好，下次来还会住。', '短评打分': 5}
{'短评内容': '位置不错，酒店也很好，下次来还会住。', '短评打分': 5}
{'短评内容': '一分钱一分货，是六合地区不错的高级酒店。值得推荐。床和枕头很舒服。', '短评打分': 5}
{'短评内容': '非常值得', '短评打分': 5}
{'短评内容': '一般', '短评打分': 2}
