{'短评内容': '位置有些偏远，湖边酒店，风景秀美，早餐讲究。赞', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '早餐丰盛，服务满意！   自有停车场很方便', '短评打分': 5}
{'短评内容': '早点十分精致，地方特色小吃很不错；酒店服务人员热情，管家式接应；湖景、竹林风景迤逦，静逸安宁；距离池州高铁站仅三分钟车程，九华山机场二十分钟，交通便利！非常棒！', '短评打分': 5}
{'短评内容': '很喜欢的酒店', '短评打分': 5}
{'短评内容': '好的好的。', '短评打分': 4}
{'短评内容': '好的好的。', '短评打分': 4}
{'短评内容': '好的好的。', '短评打分': 4}
{'短评内容': '好的好的。', '短评打分': 4}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '适合于度假，环境比较清爽，空气非常好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '环境非常不错，就是早餐品种略显少了些，服务非常好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '风景很好!安静!适合家庭度假!', '短评打分': 3}
{'短评内容': '酒店环境很不错，这次是带着老人和小孩一起的，时间比较赶，有打算在去玩玩，可惜房间里没有咖啡，房间隔音效果不太好，', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '环境非常好，房间内也干净，非常有特色的酒店。', '短评打分': 5}
{'短评内容': '不错的酒店，环境比较优美，就是游客稀少，广告做的不好，指示牌也不清楚，空调因为人少而没有开！', '短评打分': 5}
