{'短评内容': '在附近中学考试入住，离考点很近，非临街的房间要再加钱', '短评打分': 4}
{'短评内容': '好像是部队的接待中心，挨着公园挺好', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '对面就是公园，走走很舒服。出门左手边有火车代售点，方便。', '短评打分': 4}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '不错 可惜没有早餐 酒店还是蛮干净', '短评打分': 5}
{'短评内容': '服务员不是很热情', '短评打分': 5}
{'短评内容': '酒店装修还是挺新的，环境不错，前台的小姐态度很不错，房间挺大，卫生间相对其它酒店大而舒服，比较干净整洁，设施比较齐全，也很安静，', '短评打分': 5}
{'短评内容': '交通便利，服务尚可。', '短评打分': 4}
{'短评内容': '地点合适，周边环境良好', '短评打分': 4}
{'短评内容': '地点合适，周边环境良好', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
