{'短评内容': '还行吧 空调不好 半夜有人敲门', '短评打分': 2}
{'短评内容': '酒店位置不错，环境也不错，服务还凑合，离火车站和机场大巴都比较近，比较方便，半夜附近也有吃的，下次还来住', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '挺不错，就是无线网不好用，', '短评打分': 5}
{'短评内容': '不错，很方便很实惠，值得拥有！', '短评打分': 5}
{'短评内容': '不错啊，挺方便，给出行带来很多方便！', '短评打分': 5}
{'短评内容': '对于网约导游的前景，携程旅游首席运营官喻晓江十分看好，&ldquo;网约导游实现了导游服务的透明公开、双向自由选择，加上平台提供技术服务保障，有利于满意度提升，未来前景可期。&rdquo;\n\n多企业纷纷试水\n\n网约导游有两种方式。一种叫&ldquo;导游线上自由执业&rdquo;，指游客通过网络平台预约，导游按照预约向游客提供单项讲解或者向导服务，并通过第三方支付平台收取导游服务费的执业方式。另一种叫&ldquo;导游线下自由执业&rdquo;，指游客通过旅游集散中心、旅游咨询中心、A级景区游客服务中心等机构预约，导游按照预约向游客提供单项讲解或向导服务，并通过第三方支付平台收取导游服务费的执业方式。\n\n这种新型服务模式，是为解决导游行业长期存在的宰客、甩团、强制购物等难题而设计的。从2016年5月开始，国家旅游局在江苏、浙江、上海、广东启动线上导游自由执业试点，在吉林长白山、湖南长沙和张家界、广西桂林、海南三亚、四川成都等地启动线上线下导游自由执业试点。', '短评打分': 5}
{'短评内容': '住了好几次了 就是最近放假调了', '短评打分': 5}
{'短评内容': '每次都来住 就是太吵了', '短评打分': 5}
{'短评内容': '性价比挺高的。', '短评打分': 5}
{'短评内容': '卫生很好，就是门口好多拉客的说是速8，差点进别的酒店', '短评打分': 5}
{'短评内容': '房间还挺干净 位子好', '短评打分': 5}
{'短评内容': '太凉了，门离床很近，外面一点动静就能听到，网慢，服务还可以', '短评打分': 5}
{'短评内容': '还行吧，只能说一般', '短评打分': 3}
{'短评内容': '帮朋友定的，酒店就在火车站，很方便', '短评打分': 5}
{'短评内容': '总体可以，就是网络信号太差，不得不关了，用自己的流量', '短评打分': 4}
{'短评内容': '还可以，毕竟是交通枢纽地带，要求不能太高', '短评打分': 4}
{'短评内容': '酒店位置离火车站很近，这个出行很方便。由于前期携程与酒店沟通有误，差点漏掉我们的预定，还好最后给留了两间房，但是两间房间离得太远了，而且都在楼道的拐角处。房间卫生还可以，总体还算不错。', '短评打分': 4}
{'短评内容': '很不错，有误导的人小心别走错，酒店里面没拖鞋什么的', '短评打分': 4}
{'短评内容': '整体还不错，可以接受…挺好湖的', '短评打分': 4}
{'短评内容': '能住，京东定的比直接入住还贵了。很操蛋', '短评打分': 3}
{'短评内容': '位置好交通便利，房间大，卫生还不错，就是火车站附近好饭馆不太好找', '短评打分': 5}
{'短评内容': '    交通方便，清洁卫生，感觉离火车站也就200米左右，但非常清静，楼下肯德基等中西餐饮、水果店、小超市众多。\r\n    不足就是发票，因赶车晨6:30结账，仅一服务员，声明需发票，但随后他先接问询电话，后办别人入住手续，之后继续结账，只将两天押金（押金必须现金，不能刷卡）500元扣除房费后的余款退我，没给发票，我也因为他们打岔加上急于赶路忘了，白白损失三百多报账票据，郁闷！不知能要回来不？', '短评打分': 4}
{'短评内容': '走廊昏暗 房間清潔差  浴室髒 前檯服務態度不是很好', '短评打分': 1}
{'短评内容': '，交通方便，卫生还行l', '短评打分': 3}
{'短评内容': '价格便宜，但是房间很脏，卫生做的不太好，幸好床还很干净。就是在西安玩的时候把4S弄丢了，害我现在很讨厌西安！以后不会主动去西安了', '短评打分': 5}
{'短评内容': '交通非常便利～到景区很方便～车次也多～最关键是离火车站也近～不过酒店环境也一般了～什么价格什么环境咯～～', '短评打分': 5}
{'短评内容': '环境还可以,交通非常便利.特别是对过去旅游的客人,附近乘车去景点很便利.有机会再过去准备还住那里', '短评打分': 5}
{'短评内容': '酒店环境不错', '短评打分': 3}
{'短评内容': '酒店很一般，设施和三星级有较大差距，不过火车站周围交通却是方便，机场大巴、各路公交都有，不太讲究临时凑合住一天还是可以，不推荐入驻超过一天以上。', '短评打分': 5}
{'短评内容': '也许是住宿的人太多吧，房间卫生极差！地面上鞋踩过的水印未干，卫生间所有物品都有水印且很脏，失望！', '短评打分': 3}
{'短评内容': '酒店卫生还不错，出行交通方便，如有时会还是可以再次入住', '短评打分': 5}
{'短评内容': '早上去的有点早，房间都是脏的，没办法只能先入住了 ，不过九点就来收拾房子了，收拾的很干净。结账时，给发票不是很利索，得自己去要，还要登记，打发票的速度好慢哦', '短评打分': 5}
{'短评内容': '好。满意。值得推荐。交通方便。特别是离火车站很近。', '短评打分': 5}
{'短评内容': '前台态度可以，入住后半小时没有人打扫房间，乱！乱！乱！', '短评打分': 3}
{'短评内容': '地理环境便利，环境优美，赞，值得推荐。。。。。', '短评打分': 5}
{'短评内容': '挺好，离火车站近 周围交通方便，环境也不错', '短评打分': 5}
{'短评内容': '环境很好，服务人员态度非常好，交通也很方便。下次还会入住。', '短评打分': 5}
{'短评内容': '酒店不错，交通位置都很好，卫生也不错', '短评打分': 3}
{'短评内容': '该店优点离火车站近，去西安东线景点（兵马俑等）旅游乘车方便。\n如之前驴友所述，门前掮客众多，云龙混杂，周边环境如所有城市火车站附近一样，难以期待。\n客房优点面积较大，但没什么设施，没有温馨的住店感觉。卫生间设施尚可。\nANYWAY，根据需要，再行选择。\n', '短评打分': 1}
{'短评内容': '位置较方便，距离火车站分钟左右，房间整体较干净，服务很热情', '短评打分': 3}
{'短评内容': '房间干净，交通方便，服务员动做也快，不错。', '短评打分': 3}
{'短评内容': '诶哟，不错哟，干净卫生，只是貌似没有洗头', '短评打分': 5}
{'短评内容': '交通很方便，离火车站300米左右，房间也很大，生意也是非常好，感觉很不错！', '短评打分': 3}
{'短评内容': '房间还行,热水水量较小,也许节约用水吧', '短评打分': 3}
{'短评内容': '离火车站走路5-10分钟，速八的标志挺大的，服务，卫生个方面都可以，推荐。', '短评打分': 5}
{'短评内容': '马马虎虎，服务员态度不错，早上太吵。可以接受', '短评打分': 5}
{'短评内容': '可以接受，交通方便，清晨太嘈杂！楼道曲折，有紧急出口上锁的情况。', '短评打分': 5}
{'短评内容': '房间卫生还行，距离火车站挺近，反正最近几次出差从西安火车站倒车的前一晚我都是在这住的，已经习惯了', '短评打分': 5}
{'短评内容': '交通挺方便的，就是厕所不是那么干净！其他的倒是没有什么问题！呵呵', '短评打分': 5}
{'短评内容': '酒店还行，不算很小，但是估计这个速8有些年代了，感觉有些陈旧，离火车站确实很近', '短评打分': 5}
{'短评内容': '距火车站近 公交车方便 附近有餐饮 旅游方便。宾馆房间小，插座多，便于充电。早餐10元，OK', '短评打分': 3}
{'短评内容': '离火车站很近的，而且环境不错喔、方便，很方便。', '短评打分': 3}
{'短评内容': '这个价在火车站附近算不错的了，交通很方便，离火车站走路几百米距离，不会特别乱，下次还会再入住。唯一缺点，房间内有一点卫生间的反味。', '短评打分': 5}
{'短评内容': '隔音好像还不错，晚上送朋友们去住的时候聊天聊到半夜，声音比较大，但是感觉隔音很好。\n酒店卫生感觉不是太好，不过火车站周边就能够理解了。', '短评打分': 5}
{'短评内容': '离火车站很近，屋内设备还可以，但是火车站附近有很多托儿，他们都以速8的名义拉客到同一栋楼里的另几家酒店，（其实自己上那几家酒店要房要便宜的多，那些酒店条件比速8稍差）要小心被骗！', '短评打分': 5}
{'短评内容': '速8服务态度还行，环境也挺好', '短评打分': 3}
{'短评内容': '还行，不脏，火车站附近算不错的经济型酒店了，这是第二次入住', '短评打分': 5}
{'短评内容': '干净卫生 但是空调不够热  交通很方便 出门能坐到各条旅游线路去游览  但是前台的负责人开发票速度太慢 老公前几天特意跟一个服务员说好 我们两次入住 发票等到第二次结帐的时候统一开 而那个负责人貌似故意拖时间 让财务再去查发票是否开过 试问开过的话早就能找出来了 后来我们赶飞机来不及  拿不到发票  旁边的服务员也不敢多说  按道理她是可以作证我们前一次没开过发票的  非常气愤 ', '短评打分': 5}
{'短评内容': '交通很方便，离火车站非常近，适合短暂停留赶火车的人。房间很整洁，也不会显得很拥挤，性价比还比较高。', '短评打分': 5}
{'短评内容': '干净卫生 交通非常方便  出门就是火车站 到景点都很方便 但是结帐的时候 总台开发票的速度太慢 导致我们不能及时拿到发票 ', '短评打分': 5}
{'短评内容': '酒店服務還不錯,人員都很親切,離火車站近,出遊叫車都很方便,唯一的缺點是過年期間的洗澡熱水不夠熱', '短评打分': 5}
{'短评内容': '酒店没有暖气，全靠空调，空调制热效果不佳，被子薄，卫生情况一般', '短评打分': 1}
{'短评内容': '太吵，环境差，设施差，好像就是火车站旁的一个私人小旅社', '短评打分': 1}
{'短评内容': '酒店很不错的，离火车站很近，步行就可到，赶火车最合适', '短评打分': 5}
{'短评内容': '条件还好吧，床单有点小脏，不过在火车站附近还能期望更多吗，还会选择入住', '短评打分': 3}
{'短评内容': '房间干净、暖气充足、洗澡水很烫、就是临近火车站，夜里比较吵。', '短评打分': 5}
{'短评内容': '酒店宽敞干净', '短评打分': 3}
{'短评内容': '除了水冷了点，住着还是不错的，离车站很近，走就行', '短评打分': 5}
{'短评内容': '距离火车站很近，地方也很好找，从火车站出来，往正南方向走几百米就看到了很明显的“速8”标志。酒店门口不远就是好多公交站（前往市中心很方便），距离火车站东边的游5、游2这样的经典旅游公交线路大概10多分钟徒步路程，总体感觉交通便利；房间也干净整洁，只是家具略显简单（除了床，只有一把椅子、一张桌子和一个衣架，没有柜子或抽屉），不过，对于纯旅游的背包客来讲，还是性价比蛮不错的选择。', '短评打分': 5}
{'短评内容': '房间干净整洁,设施良好,交通很方便.', '短评打分': 3}
{'短评内容': '这次是我第一次入住西安火车站速8酒店，未入住之前还担心环境不好，但是入住之后感觉真的很不错，不仅价格适宜，而且环境等都很好。速8值得选择！我以后也会更加支持和选择速8，同时也希望速8越来越好，给顾客带来更多的惊喜！', '短评打分': 5}
{'短评内容': '服务一般，付款结帐查房慢，洗手间的毛巾有的破了！交通比较方便！', '短评打分': 3}
{'短评内容': '服务态度不错！很热情', '短评打分': 3}
{'短评内容': '还不错！\n1、网上提前预订的，早上五点多到，坐了半个多小时，多谢提醒！（因六点前入住登记，房间只能开到当天中午12点）。\n2、两个人住宿需出示两个人身份证，吾未带，前台妹妹通融办理了，谢谢！\n3、游玩时赶不回，中午11点多打电话，申请延时至下午2点，前台妹妹办了，谢谢！\n4、酒店位于东七路。离火车站走路6分钟，经过阳光国际酒店，天顺酒店在他正后面。\n5、房间还挺大，反正出门在外，能有这样就不错了！', '短评打分': 5}
{'短评内容': '除了地点很靠近汽车站及火車站很便利外,性价比及服务都不行,這是住過全國各地速8中衛生最差的一间,需改進.', '短评打分': 1}
{'短评内容': '性价比太低，房间还挺大，地理位置挺不错。房间里方便面等标价太贵了', '短评打分': 5}
{'短评内容': '还好，比较方便。距离火车站很近，交通很方便，卫生也可以.\n', '短评打分': 5}
{'短评内容': '就是酒店门口拉客的太多了，全都是骗子，酒店很不错，门口交通业比较方便！', '短评打分': 5}
{'短评内容': '十一长假去的，价格有点贵，房间条件一般，没有早餐，358太贵了', '短评打分': 1}
{'短评内容': '干净友好', '短评打分': 3}
{'短评内容': '干净但由于国庆长假价格上涨', '短评打分': 3}
{'短评内容': '干净 宽敞 有电吹风 交通方便。淋浴间下水容易堵，无小搁架洗面奶护发素没地放。', '短评打分': 5}
{'短评内容': '服务很好，交通便利，距离火车站、市中心、商业旺地非常方便，去旅游景点也非常方便，只有几分钟的路程，但是酒店内部设施过于简单，卫生间洗澡居然没有地方放衣服，不可想象。', '短评打分': 5}
{'短评内容': '又一次回到西安，这回的房间不错，很满意。', '短评打分': 5}
{'短评内容': '很像锦江之星的风格，但还是有差距的，还好吧，离火车站挺进，去哪都挺方便。', '短评打分': 5}
{'短评内容': '地理位置很好，服务态度不错，房间设施齐备，环境干净卫生。值得推荐！', '短评打分': 5}
{'短评内容': '地理位置、服务态度不错，房间也很大，但是毛巾很旧，沐浴露也不太好。', '短评打分': 5}
{'短评内容': '位置很好，去哪里都方便。服务也很周到，比如增加几个衣架什么的。门口冒牌揽客的不少', '短评打分': 5}
{'短评内容': '地理位置方便，房间设施齐备，环境舒适。适合各种应用！', '短评打分': 5}
{'短评内容': '酒店不错，房间宽畅干净，晚上稍有噪声，尚可接受。', '短评打分': 5}
{'短评内容': '酒店位置好去主要景点旅游交通方便，服务态度不错。如果注意更换一下有磨损较严重的浴巾，毛巾会更好。', '短评打分': 5}
{'短评内容': '感觉不错,离火车站近,交通方便,设施都还齐全,大堂很晚也有人值班,服务也可以.', '短评打分': 3}
{'短评内容': '还好，很方便。距离火车站很近，交通很方便，卫生也可以', '短评打分': 5}
{'短评内容': '地理位置好 房间蛮大的 就是借电吹风借了5次都没有借到', '短评打分': 5}
{'短评内容': '很一般，和价格不匹配。房间虽大，但是空调下方正是办公桌，却提醒说空调滴水不能放电器；如果移开桌子，网线又不够；桌子很小，正前方不能坐人，因为摆着一个大沙发挡住了，还要搬沙发。总之，非常不人性，使用起来不舒服。', '短评打分': 1}
{'短评内容': '楼层太低显得压抑。服务不错，但正如有人说的一样，毛巾等觉得狠脏。', '短评打分': 5}
{'短评内容': '服务友好周到，环境干净卫生，快捷酒店嘛，满分满分，哇哈哈', '短评打分': 3}
{'短评内容': '＋很不错……就是吹风机太少了……', '短评打分': 3}
{'短评内容': '＋还不错！挺大的', '短评打分': 3}
{'短评内容': '挺好的距离火车站很近 很方便 夜晚比较安静，就是楼下那些别的宾馆拉客的很恶心。、\n\n多好心试的。。我花钱多点 就是为了安全，  谁知道他们那地方去 保证我东西人生安全都\n\n其他都满意', '短评打分': 5}
{'短评内容': '房间大，环境好。下次我还住那里。高层住宅不错。', '短评打分': 5}
{'短评内容': ':速8服务还可以。就是早餐太早。', '短评打分': 3}
{'短评内容': '酒店位置很好，价格也适中，几天前遗忘的书后来也找寻到了！服务不错！推荐', '短评打分': 5}
{'短评内容': '房间还可以算干净,不过床有点不平,枕头太高.离火车站非常近,走过去搭去兵马俑的306公交车跟到机场的bus只要5分钟左右,附近公交车很多,交通便利,不过离火车站近出入感觉比较杂就是.', '短评打分': 5}
{'短评内容': '不错，下次去西安还会住！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': ' 酒店还算可以 不是很满意 卫生间简陋 毛巾看着不干净', '短评打分': 3}
{'短评内容': '位置比较靠近火车站，方便，但是管理和安全另人担心，晚上会看到有人在酒店门口甚至大堂叫客，希望酒店方能重视，给客人以安全的保障很重要，其他的就是洗手间门口的拖鞋看着不舒服！', '短评打分': 5}
{'短评内容': '酒店的地理位置恰当好处，房间里整洁干净，采光很好，我当时住的是1102号，租赁服务也不错，第二天下雨借伞，洗完头借吹风机都很速度，洗手间的舒蕾套装和工作台上的置物箱也很贴心，真不愧是SUPER8!!!不错，挺了！', '短评打分': 5}
{'短评内容': '不错，值得推荐，位置好找，环境也不错了，性价比不错哦', '短评打分': 5}
{'短评内容': '酒店服务态度很好', '短评打分': 3}
{'短评内容': ' 不错房间挺理想', '短评打分': 3}
