{'短评内容': '设施老一点，房间也不太大，整体还可以吧，服务人员很热情。', '短评打分': 5}
{'短评内容': '公交车站好，开发票好，插座数量够用', '短评打分': 5}
{'短评内容': '装修好，打扫质量好，床垫舒适度好，服务态度好', '短评打分': 5}
{'短评内容': '房间有点旧了，对面就是东林书院。但附近没有吃饭的和超市购物，不是太方便…', '短评打分': 4}
{'短评内容': '没有早餐很遗憾。', '短评打分': 5}
{'短评内容': '每次无锡出差都住这个酒店，交通方便', '短评打分': 3}
{'短评内容': '每次无锡出差都认准这个酒店，交通方便', '短评打分': 3}
{'短评内容': '就算还可以，Wifi质量很差，信号时有时无，找前台工作人员只是敷衍了事，毫无办法。', '短评打分': 3}
{'短评内容': '房间很干净整洁，也比较大，服务态度也很好。', '短评打分': 3}
{'短评内容': '住得很不错', '短评打分': 3}
{'短评内容': '还不错，装修很好，价钱还不算贵，而且在当地旅游还有优惠，这些是有点啦，缺点是，价格能再低点就好了，呵呵', '短评打分': 5}
{'短评内容': '这家酒店出入相当方便，门口有公交，一站路就到火车站，走5分钟南禅寺就到，且晚上很安静。', '短评打分': 5}
{'短评内容': '离市区比较近，房间挺干净的就是面积太小了。', '短评打分': 5}
{'短评内容': '价钱实惠，房间很舒适。处于市中心，步行十分钟有大型商场，很方便。而且酒店内房间设施比较新，感觉很好。', '短评打分': 5}
{'短评内容': '位置很好，就在市中心。酒店也很新。\n定了套房，房间很大，有沙发。里面有电脑，查东西上网都很方便。\n价格合理，很划算。\n\n下次去无锡，一定再定这家。', '短评打分': 5}
{'短评内容': '房间很干净，漂亮，而且很有情调。就是小了点，不过两个人住还是够的，总体性价比还是不错的！', '短评打分': 5}
{'短评内容': '酒店位置不错 但装修不好 外面看上去还行 但是里面不好 而且 没早餐', '短评打分': 1}
{'短评内容': '就是房间小了点，其它还好', '短评打分': 3}
{'短评内容': '环境很好，出门就可以打到车，内部环境也很干净，只是没有吹风机，洗了头发很难干！', '短评打分': 5}
{'短评内容': '卫生挺不错，设施有些陈旧，位置挺好，出行挺方便的。', '短评打分': 3}
{'短评内容': '环境很不错，安静干净，住的挺舒适的。', '短评打分': 5}
{'短评内容': '房间有点小，卫生打扫还不错，设施简单了点，总体感觉不错。', '短评打分': 3}
{'短评内容': '酒店位于市中心，周边交通还是挺便利的，内部环境相当干净，住的挺舒适。', '短评打分': 5}
{'短评内容': '酒店一半。还不如到快捷酒店', '短评打分': 1}
{'短评内容': '一个自认为犯有洁癖、极端嫌烟、喜欢清静的人在这个旅馆连住了三夜。所以向任何有同样取向、欲在无锡寻夜宿的客人极力推荐。\r\n但请注意，我的推荐是有期限的。一年半载以后，就不能保证了。因为这个开业180多天的酒店没有设置禁烟楼层或禁烟房间，反映出那个酒店的管理层没有吸烟和二手烟危害健康的意识。也暴露出无锡这个着力于吸引外资企业和留学人员创业的城市在健康意识和管理方面落后于世界的不足之处。', '短评打分': 5}
{'短评内容': '酒店整体感觉较好，卫生，舒适。', '短评打分': 3}
{'短评内容': '空调根本就是坏的~冷到我生病了\r\n客房服务员听到我说要毛巾  说啊 你两条全部用完了啊？真是奇怪\r\n', '短评打分': 1}
{'短评内容': '地理位置非常好,位于市中心,出行很方便,但房间的设施上不太好,空调声音太大了,而且网络也不太好用.', '短评打分': 3}
{'短评内容': '房间有点小，总体不错！', '短评打分': 5}
