{'短评内容': '赵雅环境不错！', '短评打分': 5}
{'短评内容': '酒店住的非常不错，办理入住的前台小姑娘任甜甜非常有礼貌。下次还选这个酒店。', '短评打分': 5}
{'短评内容': '酒店环境不错，服务不错，尤其前台任甜甜和许晓香服务很好，出行很舒心', '短评打分': 5}
{'短评内容': '酒店离市中心比较远，但是离花果山等景区不远，自驾的话很方便，性价比高，酒店前台也很热情', '短评打分': 5}
{'短评内容': '酒店离市中心比较远，但是离花果山等景区不远，自驾的话很方便，性价比高，酒店前台也很热情', '短评打分': 5}
{'短评内容': '酒店很好 前台韦佳 刘一霏服务也很热情。很棒的一次入住体验。', '短评打分': 5}
{'短评内容': '韦佳刘一霏服务很好 很专业 ', '短评打分': 5}
{'短评内容': '前台韦佳 刘一霏服务很好。酒店很棒！', '短评打分': 5}
{'短评内容': '房间干净 就是交通不是太方便', '短评打分': 4}
{'短评内容': '交通方便，', '短评打分': 5}
{'短评内容': '酒店很干净，服务非常好', '短评打分': 5}
{'短评内容': '第二次来连云港，都是选择华美达，很方便，前台服务很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '有点偏远', '短评打分': 5}
{'短评内容': '环境很好、酒店员工也很好、这次前台办理入住是一个美女、好像是叫李苗苗、人长得很漂亮、态度也很友好，谢谢哦。', '短评打分': 4}
{'短评内容': '还不错哦。', '短评打分': 5}
{'短评内容': '不错   还给我免费升级为总统套房', '短评打分': 5}
{'短评内容': '酒店周边环境、酒店设备、设施都还不错，价格也比较便宜性价比还蛮高的，好像入住率不高，所以服务略差点。', '短评打分': 4}
{'短评内容': '\u3000酒店位于黄河路，地处经济技术开发区核心地带，距离著名景区花果山和渔湾15分钟左右车程，距离美丽怡人的连岛海滨浴场20分钟左右车程，旅游公交、BRT快速公交均路过酒店。', '短评打分': 5}
{'短评内容': '挺好的酒店，下次还会来', '短评打分': 5}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '没见过如此差的喜来登，都不如一般的快捷酒店：电吹风已经长毛，大冷天不开中央空调，只给个破电暖器，还是少轮子的，很不安全；早餐很多都是以前剩的，反复加热，难以下咽…', '短评打分': 2}
{'短评内容': '酒店门口没有灯光，非常黑暗！我们晚上到的酒店，大厅和走廊非常冷！房间空调暖风还好，但夜里被冻醒了，早上起来发现是吹出来的是冷风。可以延迟到下午两点退房，还好！以后冬天去，就不再选择这家酒店了。', '短评打分': 4}
{'短评内容': '位置不好，环境一般，房间太小了', '短评打分': 5}
{'短评内容': '服务周到，用心经营，价格公道，大大地支持和推广。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '同事订的，到达时候没有找到订单。老大跟他们讲门市价也可以，先开房吧。 前台很配合，也先让我们进房。 后来好像是携程的酒店代理问题，没有把订单送到酒单。 ', '短评打分': 4}
{'短评内容': 'Upon arrival we are told that there was no reservation and at first the front desk staff were not so helpful.  Finally we told them to give us rooms even if it is walkin rate as it was late already.  ', '短评打分': 4}
{'短评内容': '硬件环境还可以，环境卫生和服务有待提高。酒店位于连云港郊区，如果是自驾游交通还是比较方便的，在市区和海边连岛之间，离花果山等主要景点也在10公里左右。酒店硬件环境蛮好，床蛮舒服，房间偏小，卫生间布局不太合理。特别要指出的是，环境卫生情况不容乐观。半夜入住时，发觉10楼的房间中，有一只苍蝇，影响心情。。第二天起来被蚊子咬了一口。。最气氛的是到1楼自助餐餐厅，发觉苍蝇在食物间飞来飞去。。。还是第一次在', '短评打分': 1}
{'短评内容': '服务态度很好，房间安静舒适，早餐种类虽不算丰富，但还比较可口。停车非常方便，而且离连岛、渔湾、云台山等景区都不算太远，挺适合自驾游出行的客人。如果有机会再去连云港，我想还是会选择入住的。', '短评打分': 5}
{'短评内容': '进入酒店大堂无人接待，入住后也无人引领去房间，感觉服务很一般！酒店房间设施还比较新，房间还算大，卫生间较小！', '短评打分': 5}
{'短评内容': '冰箱里居然是空的，这是喜来登还是招待所呀', '短评打分': 3}
{'短评内容': '性价比不高，在four points里面算是价格偏高的了。去港口办事距离还是有点远。', '短评打分': 1}
