{'短评内容': '房间干净卫生，卫生间特别干净，服务员特别热情，停车场在门店门口，有点小，周围交通餐饮购物方便，不愧为品牌店。', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '位置不错有停车', '短评打分': 5}
{'短评内容': '地理位置优越前台态度极好', '短评打分': 5}
{'短评内容': '舒服舒适地理位置优越前台服务态度很好', '短评打分': 5}
{'短评内容': '服务好，干净', '短评打分': 5}
{'短评内容': '住过两次，半夜停电停水，差。', '短评打分': 5}
{'短评内容': '(⊙o⊙)&hellip;额11', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '很方便，京东很强大，酒店很好找，便宜实惠。', '短评打分': 5}
{'短评内容': '挺好的，干净方便。', '短评打分': 5}
{'短评内容': '刚刚好咯么嗯我呢哦了绿卡分完了', '短评打分': 5}
{'短评内容': '位置好找，感觉还不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '非常干净，有回家的感觉', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '酒店环境很好服务态度好卫生条件好就是电视太小', '短评打分': 5}
{'短评内容': '价格合理出行方便卫生条件好电视太小', '短评打分': 5}
{'短评内容': '服务态度好卫生还可以电视太小窗户不好在走廊', '短评打分': 5}
{'短评内容': '酒店环境很好服务态度好就是窗户在走廊不好', '短评打分': 5}
{'短评内容': '卫生条件好服务态度好就是房间窗户太小', '短评打分': 5}
{'短评内容': '位置好，酒店对面就是枣庄的八大批发市场，楼下有肯德基，旁边还有吉品街，就是太乱了，枣庄应该把吉品街改成步行街会好一些。房间的面积太小了，稍微在大一点就很舒服了。', '短评打分': 5}
{'短评内容': '位置好，就是房间的面积太小了，稍微在大一点就很舒服了。', '短评打分': 5}
{'短评内容': '酒店房间内的床上用品比较温馨，女儿还挺喜欢的。', '短评打分': 5}
{'短评内容': '酒店位置很好，门口停车很不方便，因为酒店楼下紧挨着肯德基，经常有去肯德基吃饭的客人把车都停满了，本来就没有几个车位，而且交通管理比较混乱，乱停车警察也不管，经常停进来了就出不去了，出去了就听不进来。酒店服务还是不错，第一天入住时，洗澡的热水还挺热的，第二天就凉了，就是打到最热的开关也不热，洗完了冻得浑身发抖，虽然外面很热，但是房间里面有空调，这个水温太凉了，我的孩子都冻得发烧了，后来给前台说了一下', '短评打分': 5}
{'短评内容': '交通方便，靠近极品街和八大，购物非常方便，地理位置绝佳之选', '短评打分': 5}
{'短评内容': '酒店地理位置绝佳，房间也不错，唯一不足是隔音效果不怎么样', '短评打分': 5}
{'短评内容': '房间不错，就是隔音一般，不过价位还行。房间不错，就是隔音一般，不过价位还行', '短评打分': 5}
{'短评内容': '很干净 很温馨  就是电视有点小  前台也很好', '短评打分': 5}
{'短评内容': '差…跟没门一样。这隔音，伤不起啊……………！', '短评打分': 3}
{'短评内容': '酒店位置相当好。很方便房间很理想就是窗外不怎么好~', '短评打分': 5}
{'短评内容': 'hao111111111111111111111111111111111111111111111111111', '短评打分': 5}
{'短评内容': 'hao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;', '短评打分': 5}
{'短评内容': '还可以。送了优惠券。周围交通便利，就是离火车站真心远。。。', '短评打分': 5}
{'短评内容': '挺好  挺干净  服务态度也好 地理位置优越 ', '短评打分': 5}
{'短评内容': '交通方便。房间环境很好。很温馨。楼下就是肯德基，还有最繁华的吉品街。', '短评打分': 3}
{'短评内容': '设施很好，服务很周到，员工们都很热情，房间很温馨。', '短评打分': 5}
{'短评内容': '如家吉品街店在市中区同等价位范围内条件还是可以的，。可能由于地处商业中心吧，房间面积小一些。到卫生条件，服务态度', '短评打分': 3}
{'短评内容': '此酒店位置好，环境好，特别是位临商业街，方便性好', '短评打分': 5}
{'短评内容': '楼下肯德基有早餐可选择，附近就是步行街，好方便。', '短评打分': 5}
{'短评内容': '酒店位置不错，环境很好，早餐也不错，一定推荐', '短评打分': 5}
{'短评内容': '整体布局感觉有点怪，七拐八拐的，有点别扭~房间还行，就是有点味道，可能是刚装修的原因，卫生不错，一如既往的温馨', '短评打分': 5}
{'短评内容': '遇到节假日涨价，停车不方便，不提供早餐！服务很差!房间卫生很差！', '短评打分': 1}
