{'短评内容': '凑合', '短评打分': 5}
{'短评内容': '服务态度好。', '短评打分': 5}
{'短评内容': '床上有头发，不止一根，天天出差第一次碰到。', '短评打分': 3}
{'短评内容': '不能洗澡 没有热水 好烦 而且我房间的一个灯也是坏的 晚上睡着睡着觉突然亮了 太吓人了感觉 还有蚊子，', '短评打分': 1}
{'短评内容': '挺好的啊，价格挺公道', '短评打分': 5}
{'短评内容': '环境不错，周围饭店也不少，我们住的7楼热水上的比较慢，水流也不大，晚上能听到电梯的声音', '短评打分': 5}
{'短评内容': '不错，环境很好，地理位置也很好', '短评打分': 5}
{'短评内容': '标间房间有点小的了，除了过道就是床，设施稍微老旧。卫生收拾的看起来不错，总体来说位置合适的话，还是不错的。可以再来。', '短评打分': 4}
{'短评内容': '环境很好，服务到位，就是房间偏小，毕竟对得起这个价位。', '短评打分': 5}
{'短评内容': '卫生间味道很大', '短评打分': 3}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '卫生有点差，床上用品未换干净的，有杂物和头发。', '短评打分': 3}
{'短评内容': '还不错，就是旧点', '短评打分': 4}
{'短评内容': '还不错，就是旧点', '短评打分': 4}
{'短评内容': '服务态度很好，周边环境较好，价格偏高！', '短评打分': 5}
{'短评内容': '交通还算方便，到市区或买东西都比较方便！', '短评打分': 3}
{'短评内容': '不错，酒店很干净，性价比很高。值得推荐。', '短评打分': 5}
{'短评内容': '房间还是那样的洁净.唯一不足就是订的大床B房间太小,跟网站描述面积相差较大..', '短评打分': 5}
{'短评内容': '不错不错！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '很干净~酒店设施很新，前台服务很不错，周边环境也不吵闹~', '短评打分': 5}
{'短评内容': '房间安排在转角处，隔壁堆放毛巾！从隔壁可以进到房间！！前台不肯更换！！！…', '短评打分': 3}
{'短评内容': '房间很宽敞，也很安静', '短评打分': 3}
{'短评内容': '不错！全国连锁酒店服务是一流的，只是位置不明显，找起来麻烦一些。', '短评打分': 5}
