{'短评内容': '还不错，很干净。', '短评打分': 5}
{'短评内容': '一個安靜的地方', '短评打分': 5}
{'短评内容': '不想说，订携程这么久第一次心塞，店长人很好，只是标注豪华房让人不敢恭维', '短评打分': 2}
{'短评内容': '酒店不错，服务态度很好', '短评打分': 5}
{'短评内容': '挺好的，不错', '短评打分': 5}
{'短评内容': '还可以，但是早上十点起来洗澡，竟然没热水，这个天，也是醉了。', '短评打分': 4}
{'短评内容': '热水太小！卫生较差！设施简单，一看就是小旅馆加盟进来的。', '短评打分': 2}
{'短评内容': '服务人员缺少，硬件吹风机找半小时也没结果', '短评打分': 3}
{'短评内容': '太差了，酒店跟差，', '短评打分': 1}
{'短评内容': '可以就是贵再便宜点就可以了', '短评打分': 3}
{'短评内容': '还不错，比较宽敞，也干净。', '短评打分': 3}
{'短评内容': '酒店真心很烂，房价也真心很贵299，更气人的事房间的小毛巾真心都没有用，有一种洗衣服掉色染上的感觉，但是真心没有洗衣服呀！还扣了我10块钱。这真是有史以来最烂的酒店。', '短评打分': 1}
{'短评内容': '不错，推荐！', '短评打分': 5}
{'短评内容': '在日照这种三线城市，快捷酒店还300多的价格。', '短评打分': 3}
{'短评内容': '这个季节最便宜的商务酒店了，要了多个房间住了2天，服务还不错，前台一个主管模样的女孩能为客户着想，很不错。', '短评打分': 5}
{'短评内容': '房间还不错，就是隔音不太好，走廊说话听的很清楚睡懒觉都吵醒好几次', '短评打分': 3}
{'短评内容': '交通很便利，房间还可以，服务也不错，总体感觉很好。停车场小点，车位不多。', '短评打分': 5}
{'短评内容': '物美价廉服务周到！很好！！', '短评打分': 3}
{'短评内容': '酒店房间挺大的，就是餐厅不能挂账很麻烦，希望能改正', '短评打分': 5}
{'短评内容': '酒店房间挺大的。环境也不错，就是餐厅不能挂账，挺麻烦的', '短评打分': 5}
{'短评内容': '酒店设施还行，就是地处较偏，比较安静。周围吃饭的地方不多，服务也不错。酒店本身还行。', '短评打分': 5}
{'短评内容': '没有大床房了，不习惯睡小床。', '短评打分': 3}
{'短评内容': '房间大，价格实惠。', '短评打分': 3}
{'短评内容': '保持了格林一惯的温馨风格，服务人员热情礼貌，房间干净卫生，交通便捷，赞一个。\n\n', '短评打分': 5}
{'短评内容': '挺好，开车的话挺方便，直着走就到高速了。', '短评打分': 5}
{'短评内容': '        设施还可以,交通不便,附近找不到好点的饭店,整体还不错.....................', '短评打分': 5}
