{'短评内容': '价格实惠,环境清幽,吃的选择少。环境不错,设施旧了点,但是价格很实惠。早餐也不错。常来的，每次都是住在这里，晚上很安静，有度假的感觉。 ', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '外边修地铁，晚上吵', '短评打分': 4}
{'短评内容': '服务特别好，有什么需要服务员都会很热情地帮忙解决；早餐的话品种比较小的自助餐，炒粉很好吃，豆浆粥馒头菜都有；最近附近正在修地铁，不过打车、吃饭什么不影响，都很方便，高峰期尽量预留时间出行即可～', '短评打分': 5}
{'短评内容': '房间挺好，不错。力荐', '短评打分': 5}
{'短评内容': '房间风格不错，就是太潮湿了，有股霉味', '短评打分': 5}
{'短评内容': '非常不错，一直住这家点，各方面性价价比很高', '短评打分': 5}
{'短评内容': '&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '棒', '短评打分': 5}
{'短评内容': '房间一般，装修一般。只是算是比较安静', '短评打分': 2}
{'短评内容': '门口在修路，有点不方便，但是有免费停车场，早餐很简单，标间很小，窗户纱窗是坏的，感觉有点点不安全，总体来说，离万达近才是重点', '短评打分': 3}
{'短评内容': '房间没写字台，房间内地面有台阶，不方便', '短评打分': 3}
{'短评内容': '酒店一般 价格略贵', '短评打分': 3}
{'短评内容': '很好！！！！', '短评打分': 5}
{'短评内容': '酒店位置还不错，加个实惠！万达边上', '短评打分': 5}
{'短评内容': '空调一点儿都不暖和，热水也不是很好，无线网络信号不稳。其他的设施可以。', '短评打分': 4}
{'短评内容': '不错的选择不错的体验', '短评打分': 4}
{'短评内容': '很一般', '短评打分': 3}
{'短评内容': '安静，舒适服务周到', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
