{'短评内容': '卫生良好，床单比较干净服务态度很好。', '短评打分': 5}
{'短评内容': '交通方便 !', '短评打分': 4}
{'短评内容': '感觉还不错', '短评打分': 5}
{'短评内容': '房间卫生很好', '短评打分': 5}
{'短评内容': '早点很大好', '短评打分': 5}
{'短评内容': '干净、卫生、安静！', '短评打分': 5}
{'短评内容': '感觉还好啊，有早餐挺方便，吃完就赶飞机去了', '短评打分': 5}
{'短评内容': '整体还不错，就是早点太次了', '短评打分': 3}
{'短评内容': '酒店前台很差，认为自己穿着假军装就是部队的了，不推荐入住', '短评打分': 1}
{'短评内容': '酒店前台服务非常差，感觉像是政府部门，太大爷了，不推荐，住的非常不爽', '短评打分': 1}
{'短评内容': '酒店前台非常官僚，感觉像是黑店，不推荐', '短评打分': 1}
{'短评内容': '环境挺好的，房间很干净关键比较安静非常不错。', '短评打分': 5}
{'短评内容': '住房不错', '短评打分': 5}
{'短评内容': '房间隔音效果太差了，半夜4点居然能听到电梯启动的声音，吵得睡不着', '短评打分': 3}
{'短评内容': '酒店还可以', '短评打分': 4}
{'短评内容': '酒店态度不好，房间破旧，望不得已不要去住，价格还贵！', '短评打分': 3}
{'短评内容': '没有特别之处，也没有很差的一面。\n不能刷卡。\n离西客站不远，这是此次订房主要原因。', '短评打分': 5}
{'短评内容': '房价和条件还算匹配，交通不太方便，很难打车。', '短评打分': 1}
{'短评内容': '不是真的四星酒店，只是还对得起这价格？', '短评打分': 3}
{'短评内容': '服务态度一般，象国营单位。', '短评打分': 3}
{'短评内容': '交通不方便，里面环境一般，床品和毛巾感觉不是很干净，楼道里有些吵，最主要的是交通很不方便。房间空间还可以，整体说的话只能是很一般很一般。', '短评打分': 1}
{'短评内容': '＋一般\n', '短评打分': 3}
{'短评内容': '酒店环境一般，后半夜了还很吵！\n早餐很差！\n', '短评打分': 1}
{'短评内容': '价格合适，房间够大，还有早餐和宽带，不错。\n感觉毛巾、浴巾不够洁净。', '短评打分': 5}
{'短评内容': '服务很好，室内整洁，装修简洁但很温馨舒适。下次有机会还会入住。', '短评打分': 5}
{'短评内容': '很干净 但早餐品种少 早晨难打发车 不过可以联系酒店人员帮忙安排私家出租车 ', '短评打分': 3}
{'短评内容': '位置离市区比较远~适合去西边办事的人去住！在黑林铺边上~！', '短评打分': 5}
{'短评内容': '位置离市区比较远~适合去西边办事的人去住！在黑林铺边上~', '短评打分': 5}
{'短评内容': '房间里还是不错，只是位置比较偏，对大部分人来说不方便。', '短评打分': 5}
{'短评内容': '总体来说不错，就是早餐太简单了。去晚了，东西不多了', '短评打分': 5}
