{'短评内容': '送货很快，自用送人都可以了', '短评打分': 5}
{'短评内容': '送货很快，自用送人都可以了', '短评打分': 5}
{'短评内容': '每次来都是住文化，高大上', '短评打分': 5}
{'短评内容': '服务水平有待提高早餐6:30开始没有阳台', '短评打分': 4}
{'短评内容': '来泉州的住宿的不二之选 房价相对泉州这个地方算是偏贵了 进出较为便捷 旁边就是万达广场 吃喝玩乐的地方一应俱全', '短评打分': 4}
{'短评内容': '泉州服务及服务设施最好的酒店，礼宾、前台、客房的服务小弟和小妹都一级棒，房间干湿分离，水压大温度高，卫生间好像还有地热，2米以上的大床。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '恍恍惚惚', '短评打分': 5}
{'短评内容': '一贯万达文华风格酒店，前台服务还不错。早餐比较丰盛。总体还可以吧，泉州的消费水平也不低。', '短评打分': 5}
{'短评内容': '位置非常好，万达广场就在旁边，吃喝玩乐一站式解决。适逢厦门召开金砖会议，酒店的戒备非常严格。\n对了，酒店的房间清洁及室内泳池很不错哦，拖鞋特别好。', '短评打分': 5}
{'短评内容': '我订的是无烟房，但是酒店收到的是吸烟房，还好酒店马上就帮我换了无烟房，其他的都很好。', '短评打分': 5}
{'短评内容': '房间很好，很舒服！每次过去都是住这家！', '短评打分': 5}
{'短评内容': '早餐丰富', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '处理订单太慢，在酒店等半天了，前台还没收到订单', '短评打分': 5}
{'短评内容': '酒店不错 毗邻万达 吃喝玩乐一站搞定 ', '短评打分': 4}
{'短评内容': '挺好的哦！', '短评打分': 5}
{'短评内容': '万达广场金街很多美食，江边风景也不错', '短评打分': 5}
{'短评内容': '酒店属市中心，礼宾以及前台服务都很好，房间也宽敞舒适明亮，出差的首选.', '短评打分': 5}
{'短评内容': '位置很好，交通有点堵塞，商务楼层必较清静，服务到位，物有所值。', '短评打分': 4}
{'短评内容': '出差，好好好好高的万达水平啊！', '短评打分': 5}
{'短评内容': '非常滿意 服務周到', '短评打分': 5}
{'短评内容': '银行预售权到现在还没解限，不知道酒店怎么处理的', '短评打分': 5}
{'短评内容': '酒店不错，经常住，去泉州就住这啦', '短评打分': 5}
