{'短评内容': '酒店还行！', '短评打分': 5}
{'短评内容': '位置好，性价比高。', '短评打分': 5}
{'短评内容': '酒店交通便利，服务员超好', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '多次入住这家酒店了，每次从高铁站出来坐地铁就能到，很方便，酒店配套的设施用品也还可以，使用还比较方便。', '短评打分': 4}
{'短评内容': '设备陈旧了点，价格一般', '短评打分': 3}
{'短评内容': '介绍里面提到的礼包都没有看到，酒店老旧，房间比较大。有蟑螂！！！', '短评打分': 3}
{'短评内容': '住着挺舒服的！不错不错不错！住着挺舒服的！不错不错不错！住着挺舒服的！不错不错不错！住着挺舒服的！不错不错不错！', '短评打分': 5}
{'短评内容': '…………………好', '短评打分': 5}
{'短评内容': '多次入住这家酒店，离公司很近，从高铁站下车，可以坐地铁直接到，比较方便，就是这地方比较偏，周围超市都没有。', '短评打分': 4}
{'短评内容': '多次入住这家酒店，离公司很近，从高铁站下车，可以坐地铁直接到，比较方便，就是这地方比较偏，周围超市都没有。', '短评打分': 5}
{'短评内容': '不错。很不错！非常完美的旅行体验', '短评打分': 5}
{'短评内容': '设施很不错，服务态度也很好，环境也很好。', '短评打分': 5}
{'短评内容': '经常住了，环境不错，下次会再来', '短评打分': 5}
{'短评内容': '酒店服务很好，刚刚进房间服务员就送了水果和酸奶，在这里住的很开心。下次还会来', '短评打分': 5}
{'短评内容': '还不错，下次还会继续住。', '短评打分': 5}
{'短评内容': '服务总体还算不错，楼层中有一间客房被打破成了堆放床上用品的地方，非常煞风景。性价比尚可。', '短评打分': 4}
{'短评内容': '导航、GOOGLE地图里都找不到。服务还有待提高！', '短评打分': 1}
{'短评内容': '房间不大，卫生间挺小，洗澡水也不大，设施一般但较新。离四星差距较大，与快捷酒店基本相同。感觉定价贵了。', '短评打分': 1}
{'短评内容': '条件很好，服务不错，物有所值。', '短评打分': 3}
{'短评内容': '环境还不错', '短评打分': 3}
{'短评内容': '还不错，但标间和大床房是完全不同的两种风格，下次可能入住', '短评打分': 5}
{'短评内容': '房间空间不太大，但落地窗比较大，光线不错，距离CBD及新省政府比较近。', '短评打分': 5}
{'短评内容': '比较干净，卫生间太小，洗浴空间太小，盥洗池在卫生间外，不太方便', '短评打分': 5}
{'短评内容': '环境不错，交通方便，价格小贵，郑东新区不错选择', '短评打分': 5}
{'短评内容': '处于郑东新区核心行政区附近，如果是地方各部门到东区办事，住这里比较方便。', '短评打分': 5}
{'短评内容': '新开业的酒店，设施较新，很干净，环境也不错。', '短评打分': 5}
{'短评内容': '距离新省政府较近，附近有地铁出口，公交站点，毗连熊耳河，景色不错，旁边参参堂价格太贵', '短评打分': 5}
{'短评内容': '服务很好，环境也很宜人，总的来说还是很不错的', '短评打分': 5}
{'短评内容': '酒店挺不错，服务热情，装修的也挺美，床也舒服', '短评打分': 3}
{'短评内容': '新！这可能也是这个酒店唯一能吸引人的一点。我入住的是378的单人间，感觉像极了200元/间夜的快捷酒店，空间狭窄，房间布局也像快捷酒店，洗脸间挨着床，大床房的大床也很难用大来形容。早餐简单到比快捷酒店里的早餐还简单，一水儿的中式炒菜，花卷儿和冷包子，想吃面包或任何与西餐有一点点关系的东西你都难觅其踪，包括咖啡。不过378元/间夜在郑州入住一家星级酒店应该不是太难，比如郑州粤海酒店，各方面要优越的多', '短评打分': 5}
