{'短评内容': '酒店对面是个市场，有免费停车场，房间的卫生不错，有风筒，衣架。不足的是枕头太高，没法睡，直接拿掉枕头睡。另外房间的窗户只能打开20cm左右，被上螺丝钉固定住了（个人偏好大窗户，通风）', '短评打分': 5}
{'短评内容': '还不错了，位置好', '短评打分': 5}
{'短评内容': '，，，不错，，，，', '短评打分': 5}
{'短评内容': '这个价格很优惠~不错', '短评打分': 4}
{'短评内容': '还好还好', '短评打分': 5}
{'短评内容': '恩平算是不错的了', '短评打分': 4}
{'短评内容': '近车站', '短评打分': 4}
{'短评内容': '还行，不错，安静', '短评打分': 5}
{'短评内容': '还可以，不错吧，经常入住', '短评打分': 5}
{'短评内容': '交通方便，酒店内部装修不错！吃住都很便利！', '短评打分': 4}
{'短评内容': '酒店所处位置旺中带静,晚上可看到江边夜景。，美中不足的就是对面就是市场，有点 不是很理想，还有就是浴室排水不顺畅、积水较多，应是装修施工时没有做好排水坡度且监督不到位所致。  这次入住终于有阿姨用吸尘器了。。', '短评打分': 3}
{'短评内容': '住过好几次了，价钱便宜，各项还可以。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '几好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '干净，卫士不错，环境可以，住在这样酒店很开心', '短评打分': 5}
