{'短评内容': '挺好很干净', '短评打分': 5}
{'短评内容': '挺好的，很安静', '短评打分': 5}
{'短评内容': '酒店挺好的', '短评打分': 5}
{'短评内容': '还不错，有咖啡', '短评打分': 5}
{'短评内容': '淋浴设施较差，热水时有时无，下水不太通，卫生还可以', '短评打分': 4}
{'短评内容': '感觉非常一般，和其他汉庭差距非常大！还行吧，还行吧，还行吧，还行吧，还行吧，还行吧，还行吧，还行吧，还行吧，还行吧，还行吧，还行吧，还行吧，还行吧，还行吧，还行吧，还行吧，还行吧，', '短评打分': 3}
{'短评内容': '各方面都很不错，符合快捷酒店的标准。', '短评打分': 5}
{'短评内容': '各方面都很不错，符合快捷酒店的标准。', '短评打分': 5}
{'短评内容': '各方面都很不错，符合快捷酒店的标准。', '短评打分': 5}
{'短评内容': '很不错的说', '短评打分': 5}
{'短评内容': '不错房间挺大，是出差理想的选择！！', '短评打分': 3}
{'短评内容': '靠近鼓楼，交通方便，早餐推荐大市小吃，酒店设施有点陈旧了，电视不是有线的，是网络的，很卡，几乎没法看，遥控器电池盖子没了，用着用着电池就掉出来了，停车倒很方便。', '短评打分': 4}
{'短评内容': '环境不错交通比较方便。洗脸毛巾有一黑点疑是未更换。其它部位的卫生没问题很好。房间不太隔音，好在是人不多。前店服务非常耐心工作认真。', '短评打分': 4}
{'短评内容': '性价比高', '短评打分': 4}
{'短评内容': '因为定的特价房，就给了个比较差的房间，不过也不错，就是地板破损的比较厉害，走路有声音，停车难', '短评打分': 3}
