{'短评内容': '有一般', '短评打分': 4}
{'短评内容': '没有房还挂网上，定了一个小时打电话来说没房', '短评打分': 3}
{'短评内容': '不是在路边的，出租车绕了两圈找到的，酒店设施环境卫生都一般，第一次到拉萨，本来就缺氧难受，住的环境更是会影响些心情的，建议头一次到拉萨的朋友，如果不是差几百块的话，还是选高档一些的。地理位置很好，离布宫步行15分钟吧，每天出门可以看到布宫很美丽！', '短评打分': 4}
{'短评内容': '垃圾酒店，道路破烂不堪，原标明房间设备有普通分体空调的，进店一看毛都没有，0下6度怎么睡，就是个冷，別受骗了', '短评打分': 2}
{'短评内容': '不要提服务，不要提卫生和环境，休息会算了', '短评打分': 2}
{'短评内容': '马桶不好用啊！虽简陋，但房间大，床大，都OK', '短评打分': 4}
{'短评内容': '位置很好，在市中心，但是拉萨的入住要求太严了', '短评打分': 4}
{'短评内容': '交通方便 环境比较安静', '短评打分': 4}
{'短评内容': '酒店其实一般般，不过服务很好，前台美女们和保安大哥人都很好，去布宫也很方便哦。', '短评打分': 4}
{'短评内容': '酒店其实一般般，不过服务很好，前台美女们和保安大哥人都很好，去布宫也很方便哦。', '短评打分': 4}
{'短评内容': '前台大姐大哥可好了，看我拿不动行李还帮我拎到3楼，太感谢了！', '短评打分': 4}
{'短评内容': '还好！去广场散步都近，门店不好找！', '短评打分': 3}
{'短评内容': '位置还行.......................................', '短评打分': 5}
