{'短评内容': '很不错，满意。', '短评打分': 5}
{'短评内容': '住的套房，环境不错，', '短评打分': 5}
{'短评内容': '还可以吧！', '短评打分': 4}
{'短评内容': '干净整洁，第二次出差住地，以后会在来', '短评打分': 5}
{'短评内容': '无线网很差，信号不好，网不好！卫生间毛巾不贴标签还收费！', '短评打分': 3}
{'短评内容': '房间还不错，关键早7点后就能入住，特别方便，到九江太早了。', '短评打分': 5}
{'短评内容': '很满意舒适', '短评打分': 5}
{'短评内容': '无线网上不了，电视全是雪花、噪音，差', '短评打分': 4}
{'短评内容': '离火车站有点近，睡眠不好的人有点受不了，其他还行', '短评打分': 4}
{'短评内容': '有点吵，车辆比较多，但这个价位，还凑合吧。', '短评打分': 4}
{'短评内容': '除了窗外有点吵，其他都可以，性价比很高', '短评打分': 5}
{'短评内容': '还可以，交通方便，干净舒适，就是房间窗户隔音不好，早晨七八点的那个时候特别吵，全是车的声音，服务态度很好！', '短评打分': 3}
{'短评内容': '水压太小，一般', '短评打分': 3}
{'短评内容': '高级大气上档次，牛逼哄哄的', '短评打分': 3}
{'短评内容': 'i干净卫生，服务好。交通方便。', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
