{'短评内容': '宾馆环境还不错', '短评打分': 4}
{'短评内容': '宾馆应该还算可以', '短评打分': 4}
{'短评内容': '#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#u', '短评打分': 4}
{'短评内容': '一般出行所需，热水等都有', '短评打分': 4}
{'短评内容': '设施和服务都差', '短评打分': 3}
{'短评内容': '真的不怎么样', '短评打分': 2}
{'短评内容': '真的不怎么样', '短评打分': 2}
{'短评内容': '因为是老店了设备实施都不怎么样，不建议入住，我那张床上还有血滴呢，整的我都没睡好，其他就这样', '短评打分': 4}
{'短评内容': '环境不错，价格合理，设施齐全，交通便利', '短评打分': 4}
{'短评内容': '环境还不错，下次还来住', '短评打分': 3}
{'短评内容': '房间的床垫睡觉很不舒服，不推荐。', '短评打分': 3}
{'短评内容': '半夜醒来发现有虫子在身上爬，我和闺蜜吓得后半夜一直做噩梦，早上醒来床上一只虫子大腿', '短评打分': 3}
{'短评内容': '位置可以，靠近中心湖区。但设施不行', '短评打分': 3}
{'短评内容': '房间很不错干净，舒适', '短评打分': 3}
