{'短评内容': '酒店挺不错的', '短评打分': 5}
{'短评内容': '呵呵，不错。', '短评打分': 5}
{'短评内容': '出差还可以。', '短评打分': 5}
{'短评内容': '酒店跟踪，奇差无比！！！！超级垃圾，又脏又乱又小！！！严重的人身安全问题！！！！不负责任！！！没入住也不退款！携程必须严肃处理！！！否则酒店，携程后果自负！！！！ 如果没有满意的处理结果，媒体曝光！！！请悉知！！！', '短评打分': 2}
{'短评内容': '携程预付的还没有停车票，还要自己给停车费！什么破酒店，设施也很老旧，性价比很低的一个酒店！', '短评打分': 4}
{'短评内容': '不错，给个赞', '短评打分': 5}
{'短评内容': '酒店非常不错，地段也好，非常满意', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '主要是位置好，周边逛街购物什么的太方便了。交通便利，虽然设施设备不太新，但房间很大，紧临繁华的春熙路', '短评打分': 5}
{'短评内容': '总是有人派发xx服务的低俗卡片 ', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '交通方便，离天府广场近。', '短评打分': 5}
{'短评内容': '第一次安排房间都没有打扫，里面还有上个旅客留下的垃圾', '短评打分': 3}
{'短评内容': '只能说凑合了，其实这个价位也只能这样了', '短评打分': 2}
{'短评内容': '环境陈旧', '短评打分': 4}
{'短评内容': '方便，位置超好。早餐较差。', '短评打分': 4}
{'短评内容': '不错。方便、价格合理。', '短评打分': 4}
{'短评内容': '房间宽大、干净卫生、服务员素质高，热情周到，宾客如归，感觉温暖。', '短评打分': 5}
{'短评内容': '还不错，就是有点味道', '短评打分': 3}
{'短评内容': '床没有那么大，只有一米五\n\n\n', '短评打分': 3}
{'短评内容': '逛街超方便！设施有点旧,住的时间短，不防碍。', '短评打分': 3}
{'短评内容': '還可以吧。', '短评打分': 3}
{'短评内容': '第二次入住这个酒店了,挺不错的,性价比很高的!以后来成都出差的话,应该还会选这家酒店!', '短评打分': 5}
{'短评内容': '这家酒店位置很不错，离春熙路就十分钟左右路程，也比较干净卫生，但是没有自己的停车场吗？我们停了一晚上收了我们42，太贵了吧', '短评打分': 5}
{'短评内容': '酒店地理位置不错。前台态度很好。但是洗手间全露出来，有点儿不好。\n', '短评打分': 5}
{'短评内容': '这里做什么都方便。不错。就在盐市口的十字口旁，银河王朝大酒店对面，环境也行。不过，就是早餐有点寒碜', '短评打分': 5}
{'短评内容': '设施陈旧，环境差，空调制热功能差，第一次入住，差点把我冻死，开了一个小时空调室内才显示15度，服务员说中央空调就这样，晕死！', '短评打分': 1}
{'短评内容': '很好，很方便，环境比较干净整洁， 我喜欢', '短评打分': 5}
{'短评内容': '房间大小及整洁还可以，酒店附近找地方吃东西有难度。', '短评打分': 5}
{'短评内容': '先暂时推荐一下嘛，刚刚才安定下来。预订了两天。楼层还是比较高的，视野不错，可以看夜景。早餐还不知道呢，明天再说吧感觉早餐应该不错。', '短评打分': 5}
{'短评内容': '位置比较好，价格也实惠。 但早餐比较粗糙，当然，对应房间的价格也算可以了，注重早餐的朋友请注意。', '短评打分': 5}
{'短评内容': '，一般般，还行，不过很安静', '短评打分': 3}
{'短评内容': '没什么其他好说的了，不推荐，房间长条形的，可能刚装修味道很重，晚上睡觉头转到床尾味道才小点。。。。。早餐也很一般。。。。而且楼下貌似有一个新的基建工地，晚上也挺吵的。唯一可取的就是位置优势了吧', '短评打分': 1}
{'短评内容': '交通方便，适合商业考察、会议使用，价格合适，便捷环境。', '短评打分': 5}
{'短评内容': '还是不错的，楼层挺好，但是就是有点吵闹，在马路旁边。', '短评打分': 5}
{'短评内容': '我是帮朋友定的，朋友去住说很方便，环境也不错。', '短评打分': 5}
{'短评内容': '酒店位于成都市中心天府广场东北侧，交通非常方便，218元标间采光很好，空间也比较大，这个价位在成都闹市区还是值得的。', '短评打分': 5}
{'短评内容': '酒店一般。', '短评打分': 3}
{'短评内容': '位置很不错，交通很便利，只是房间有点小，早餐需要改进。住过好几次了，大家都说还可以。另外，有点不太好找，大门很偏，门口正在盖房子，有点吵。', '短评打分': 5}
{'短评内容': '位置好，卫生一般，这个价也就这样，房间不隔音，电视信号差，浴巾有怪味。', '短评打分': 5}
{'短评内容': '位置靠近市中心，前台人员不是很热情，早餐环境很糟糕', '短评打分': 5}
{'短评内容': '酒店位置很好，性价比还行，就是早餐位置拥挤', '短评打分': 5}
{'短评内容': '价格合适,早餐位置太少', '短评打分': 3}
{'短评内容': '性价比很好，只是房间有点小，地理位置不错。', '短评打分': 5}
{'短评内容': '设施一般，不如商务酒店！沐浴露和洗发水居然还是袋装的，这个价格的酒店，性价比不高！', '短评打分': 1}
{'短评内容': '价格比较适中，地理位置比较好，在市中心。只是旁边在施工，比较吵，车也很难进去。', '短评打分': 5}
