{'短评内容': '超好，前台服务热情招待，值得拥有', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好，经常过来入住，前台服务超热情，强烈推荐', '短评打分': 5}
{'短评内容': '很好 经常过来入住 值得tuijian', '短评打分': 5}
{'短评内容': '环境好，出去方便', '短评打分': 5}
{'短评内容': '给前台小哥小妹点个赞', '短评打分': 5}
{'短评内容': '商家服务不错，还给我们送了早餐券。', '短评打分': 5}
{'短评内容': '前台服务好', '短评打分': 5}
{'短评内容': '前台服务好', '短评打分': 5}
{'短评内容': '整体装修还好。前台美眉很温和，感觉挺好', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '房间不错，前台服务热情周到', '短评打分': 5}
{'短评内容': '前台很热情周到，有早餐赠送', '短评打分': 5}
{'短评内容': '地点方便', '短评打分': 4}
{'短评内容': '酒店地理位置优越，出行很方便，但是处于路边环境比较吵闹，设施一般，网络信号不太好，要转换好几个账号才有可能联接上。', '短评打分': 4}
{'短评内容': '交通便利，位置好房间卫生够干净，服务也很好。', '短评打分': 5}
{'短评内容': '房间不错，服务热情，下次再来！', '短评打分': 5}
{'短评内容': '每次来广州出差都住这间酒店，跟前台比较熟，服务很好，房间卫生搞的也很干净。', '短评打分': 5}
{'短评内容': '一次不错的选择，来广州旅游住的很愉快，酒店服务人员很热情，值得', '短评打分': 5}
{'短评内容': '酒店位于中山眼科医院正对面，十分方便，服务与卫生也不错，性价比很高。', '短评打分': 5}
{'短评内容': '位置挺不错，其实就是靠近中山大学医院，很多住客都是病人家属，条件一般，但是还能做，缺点就是上网一直上不了', '短评打分': 5}
{'短评内容': '酒店环境一般，感觉很残旧，房间设备老化。不过离眼科中心医院很近，看病方便。', '短评打分': 5}
{'短评内容': '服务态度不错', '短评打分': 3}
{'短评内容': '出入方便。去看眼科，就在对面···环境一般，比较陈旧', '短评打分': 5}
{'短评内容': '挺好，还行，挺大的。每天返的券不同。返的多还值。', '短评打分': 5}
{'短评内容': '还可以，就是有点陈旧返过券的话就能对得起那个价格。', '短评打分': 5}
{'短评内容': '如果按返51的券就觉的可以，如果返10元券就觉得不怎么样了。', '短评打分': 5}
{'短评内容': '优点：\n服务员还不错，很热心。\n房间很大。十分开阔，适合小孩子们嬉闹。\n中央空调不错，环境温度好，比柜机、挂机、窗机纯制冷舒服多了。\n独立一栋大楼，安静安全，处于立交桥侧，公交、地铁、的士都十分方便。\n周围超市、吃饭都十分方便，周围餐馆的团购活动很多，经济美味实惠。\n这个价位，房内都配了小冰箱，是十分超值实惠的了。\n缺点：\n需要装修了，墙纸已经破了，马桶也漏水，需要自己修的了，当然让水流也行。\n\n', '短评打分': 5}
{'短评内容': '酒店实惠，附近生活还算方便，设施稍微简陋。', '短评打分': 1}
{'短评内容': '位置还算可以，但还是较陈旧，装修较简陋，价格算是实惠', '短评打分': 5}
{'短评内容': '还不错，性价比比较高', '短评打分': 3}
{'短评内容': '华粤酒店还不错，针对这个价格而言，这周围医院多，酒店都贵', '短评打分': 3}
{'短评内容': '挺好,设备比较齐全,附近小吃好多,靠路边也不吵', '短评打分': 3}
{'短评内容': '酒店环境一般，感觉很旧。里面的设施老化，价格偏贵。', '短评打分': 1}
{'短评内容': '地理位置非常好，服务也不错，下次来了还住这里。', '短评打分': 5}
{'短评内容': '价格合理，房间挺干净了，在眼科医院对面，出入方便。就是装修太老了。', '短评打分': 5}
{'短评内容': '酒店性价比很好，房间内虽然老旧一些，但是还比较干净，大窗户采光很好，综合比较是哥很好的选择。', '短评打分': 5}
{'短评内容': '不错，酒店的位置很好，房间也干净、给力。', '短评打分': 5}
{'短评内容': '服务挺好的', '短评打分': 3}
{'短评内容': '华粤酒店的客房服务尚可，但是前台女服务员的态度却十分冷淡，笑容欠奉。让我没有再来入住的想法。希望酒店管理层重视这个窗口岗位。', '短评打分': 3}
{'短评内容': '老式装修，服务差。', '短评打分': 3}
{'短评内容': '已入住粤海酒店!', '短评打分': 3}
{'短评内容': '老式酒店，设备陈旧。装修就保留在90年代初的样式。', '短评打分': 5}
