{'短评内容': '干净卫生整洁', '短评打分': 5}
{'短评内容': '还不错这个价位。', '短评打分': 5}
{'短评内容': '旁边吃的方便', '短评打分': 4}
{'短评内容': '相当的不错。定了房间没有订单信息，无语了。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '相对自在安逸，但是淋浴的水管需要修理下了', '短评打分': 4}
{'短评内容': '虽然是在闹市，但封闭很好，有停车场，房间很舒服。', '短评打分': 5}
{'短评内容': '环境好！服务好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '环境不错，安静、卫生', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '离我要去的地方不远，周围环境挺乱的，不过吃饭的地方很多，酒店后面还有一个超市。房间感觉旧，其他设施也不怎么样。', '短评打分': 4}
{'短评内容': '住过很多次了，性价比挺好的， 周围也比较方便。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '不错！房间不大，干净，整体很。好好好好', '短评打分': 5}
{'短评内容': '比较一般比较一般比较一般比较一般', '短评打分': 3}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '服务一般，离市区远。。。距离太湖很近', '短评打分': 5}
