{'短评内容': '挺好的 对得起这个价格！', '短评打分': 5}
{'短评内容': '地毯真的，该换了，哈哈', '短评打分': 4}
{'短评内容': '房间异味重，地毯脏', '短评打分': 4}
{'短评内容': '房间异味大，地毯比较脏', '短评打分': 4}
{'短评内容': '环境好，安静 2晚睡的特别好 下次还来 ', '短评打分': 5}
{'短评内容': '设施太陈旧啦！', '短评打分': 4}
{'短评内容': '酒店很好的，很安静，也很有感觉，门口还有河，里面有好多鱼', '短评打分': 5}
{'短评内容': '环境还不错吧', '短评打分': 5}
{'短评内容': '酒店非常好，环境优雅，庭院式结构，安静而且古典，有特色，前有古筝美女优雅抚曲，后有小桥流水。亭台楼阁，金鱼戏水。也可以与几位好朋好点小茶。还可以与宾客搓搓麻将，品味十足。中式早餐也是非常适合胃口。整个入住非常好。', '短评打分': 5}
{'短评内容': '很特别的一家，旁边有一家农家乐', '短评打分': 4}
{'短评内容': '太远交通不便', '短评打分': 5}
{'短评内容': '房间还不错，环境也还不错。早餐菜色少点，吃饭和出行需要走一段路', '短评打分': 3}
{'短评内容': '酒店内环境很好，但周边是郊区，不大方便。在酒店里面休闲还不错。', '短评打分': 5}
{'短评内容': '去东西湖基本都住这边，性价比还好', '短评打分': 4}
{'短评内容': '环境很好，很安静，房间也很大', '短评打分': 5}
