{'短评内容': '就这个价位来说，有早餐就不错了', '短评打分': 5}
{'短评内容': '早餐比较简单，设施比较旧了，停车方便，床单上还有头发！应该不是一客一换！因凌晨1点过才到酒店就没找酒店换了！', '短评打分': 3}
{'短评内容': '1.服务员态度极差。入住时两个服务员在玩手机，因为前台大厅没有厕所，厕所在门外，同行的同事多问了一句厕所在哪，服务员极其不耐烦2.因为我们住的那间房间只有一个控制开关开灯，床头又有很多开关，所以怀疑是不是我们打开的方式不对就打电话咨询前台。结果前台只说了一句在床头就挂了。经研究，只有酒吧灯带这一个开关打开房间灯3.酒店房间阳台都是连起的。外出睡觉必须把门窗都关起4.酒店被子上到处是破洞', '短评打分': 2}
{'短评内容': '酒店位置很好！停车也方便，早餐属实不敢恭维，不过这个价格含双早，也可以接受', '短评打分': 5}
{'短评内容': '帮朋友订的，还不错', '短评打分': 4}
{'短评内容': '性价比高', '短评打分': 4}
{'短评内容': '今天进入酒店，没有电梯！！！原因是三层不高，进入房间，初看可以，结果，床单脏，被套坏的，花洒堵，水时冷时热，水池的龙头也是坏的，唉，真是不爽！还好就住一晚，', '短评打分': 2}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间大设施好。', '短评打分': 3}
{'短评内容': '推荐豪华标间 很好很强大 窗外景色也很赞 五星', '短评打分': 3}
{'短评内容': '强烈推荐！物超所值！5星设施、农家乐价格！', '短评打分': 5}
{'短评内容': '强烈推荐！绝对物超所值！入住的是套间和豪单，房间很大，设备非常齐全、舒适，绝对是5星的住宿水准，却只用农家乐的价格，真的超值呢。酒店位于风情园内，周围环境也很优雅宁静，散步、休憩两相宜。位置也很好找，自驾的话，进铜仁城区路口就是，也很好找，酒店前也有停车场，真的是铜仁最具性价比的酒店！', '短评打分': 5}
