{'短评内容': '设施还不错，网络也好。', '短评打分': 5}
{'短评内容': '没有早餐供应，房间里许多设施是坏的，床太硬不舒服，偶尔空调还会有杂音，浴室的热水不热，下水口堵塞，不建议订购。', '短评打分': 2}
{'短评内容': '还可以，很好！', '短评打分': 5}
{'短评内容': '很差！', '短评打分': 2}
{'短评内容': '还行吧。只是住一晚，划算', '短评打分': 4}
{'短评内容': '差', '短评打分': 2}
{'短评内容': '算起来应该是快捷酒店类型的 装修比较简单。算起来应该是快捷酒店类型的 装修比较简单。算起来应该是快捷酒店类型的 装修比较简单。算起来应该是快捷酒店类型的 装修比较简单。算起来应该是快捷酒店类型的 装修比较简单。', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '酒店位于繁华的南大街附近，正是这样少了一分喧闹，能给客人有一个安静的休息空间，房间设施都很干净，布置也很温馨。酒店还有免费的停车场，非常的合理。在南大街附近的同价位的酒店中，性价比还是相当高的，下次出差还在这附近，这家肯定首选。', '短评打分': 5}
{'短评内容': '挺安静的，早上还有早餐送到房间。', '短评打分': 5}
{'短评内容': '地理位置较好，交通方便，酒店设施还行，早餐过于简单', '短评打分': 5}
{'短评内容': '算起来应该是快捷酒店类型的 装修比较简单 最郁闷的是不给刷卡~', '短评打分': 5}
{'短评内容': '环境不错。', '短评打分': 3}
