{'短评内容': '很不错，建议入住', '短评打分': 5}
{'短评内容': '酒店位置离市区、高速路口都很近，有很大的停车场，停车很方便，并且给我升级了行政房，超nice的～适合带小朋友一起来玩', '短评打分': 5}
{'短评内容': '服务好', '短评打分': 5}
{'短评内容': '床很舒服的', '短评打分': 5}
{'短评内容': '房间不错！大，干净', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '来江阴很多次了，每次都是来住的江阴喜来登酒店，地理位置很方便。前台一如既往的热情，并且按照我的喜好安排的房间，虽然每次都是住一个晚上，但还是能感觉到酒店的用心，房间很干净值得推荐。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错的酒店，服务号', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '喜来登印象不错，保持一贯的水准。', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店环境不错，服务也很好，应该是江阴最好的酒店！', '短评打分': 3}
{'短评内容': '已入住，不错的酒店，环境很好', '短评打分': 3}
{'短评内容': '设施不错', '短评打分': 3}
{'短评内容': '酒店难以称得上五星级！设施不全！房间内物品破损，摆放零乱！尤其不能接受的是，到7点多了，竟然还没有开夜床！而且解释不一，有的回复根本就没有这个服务！除非客人提出 来。真是佩服这个小店！！！', '短评打分': 1}
{'短评内容': '很不错的酒店，下回去了还住这里，挺方便的交通', '短评打分': 5}
{'短评内容': '交通很方便，下高速就到，但是感觉周围不是很繁华，总体感觉不错。', '短评打分': 5}
{'短评内容': '很不错，好    性价比值得一住。          非常棒的  ', '短评打分': 5}
{'短评内容': '环境很好。', '短评打分': 3}
{'短评内容': ' 很好的酒店。但周边缺少商业和餐饮配套。离江阴北高速出口只有几百米。', '短评打分': 3}
{'短评内容': '算是江阴最好的酒店了，周围环境很好，靠近江阴大桥，就是晚上有点吵。', '短评打分': 5}
{'短评内容': '给客户朋友定的，应该不错吧，毕竟是在林场开的酒店，正宗的5星吧', '短评打分': 5}
{'短评内容': '酒店感觉不错！特别是大堂的蜂蜜绿茶很贴心！自助早餐80元物超所值！', '短评打分': 3}
{'短评内容': '酒店很新，地理位置非常不错，上高速很方便。但作为5星酒店，居然没有做夜床，我3点入住，6点出去吃饭，回到酒店9点，床还是乱的，窗帘也是拉开的。希望以后改进。', '短评打分': 5}
{'短评内容': '不错的房间   很欧式的风格   很大 饭后还可以散步  离江阴大桥超近  饭后 娱乐活动直接打车去靖江 也才百十来块钱   ', '短评打分': 5}
{'短评内容': '超高性价比啊   住的是中秋特价 才3。1折 到哪里都很方便                        ', '短评打分': 5}
{'短评内容': '不错的酒店，环境好，服务好，特价时性价比高，唯一就是早餐差了一点。', '短评打分': 3}
{'短评内容': '不错，服务态度很好！很热情！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！环境也不错', '短评打分': 5}
{'短评内容': '我已入住江阴黄嘉喜来登六房，请速解冻我六个房间的订金！黄兴高', '短评打分': 3}
{'短评内容': '非常好的酒店，下高速右拐马上就到了，酒店硬件还没有完全建设好', '短评打分': 5}
{'短评内容': '第一次来   还算理想~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '没车最好别住，打不到出租，应该是江阴最好的酒店了', '短评打分': 5}
{'短评内容': '典型的五星级高档酒店，喜欢它fashion的外观设计，尤其是晚上灯光的搭配。', '短评打分': 5}
{'短评内容': '非常好的酒店，下高速右拐马上就到了，酒店硬件还没有完全建设好，等建设好价格又要涨了', '短评打分': 5}
{'短评内容': '酒店环境还不错，服务还好，出行也没什么大问题，性价比还不错。', '短评打分': 5}
{'短评内容': '很新的酒店，硬件很不错，服务也很周到，停车方便', '短评打分': 3}
