{'短评内容': '经济实惠，地理位置方便，属于物美价廉的酒店', '短评打分': 5}
{'短评内容': '房间很干净，挺好的', '短评打分': 5}
{'短评内容': '環境好，附近很多吃的，酒店整體非常乾淨，如果是經常出差的人會很適合，酒店裡有自助洗衣，也有備洗衣粉，很方便！', '短评打分': 5}
{'短评内容': '价格不错', '短评打分': 4}
{'短评内容': '房间挺好的，入住舒适', '短评打分': 5}
{'短评内容': '不太干净，陈旧，吵', '短评打分': 2}
{'短评内容': '还不错。。。', '短评打分': 5}
{'短评内容': '房间的气味太重的 太难闻  厕所装修也差 和我之前住的性价差不多的酒店差多了', '短评打分': 4}
{'短评内容': '这是我来深圳这几天住的最棒的一家酒店，服务也很好，就是电梯坏了。', '短评打分': 4}
{'短评内容': '位置很好', '短评打分': 5}
{'短评内容': '还行。性价比好。', '短评打分': 4}
{'短评内容': '酒店卫生超差，有大蜘蛛，本来是订了三天的，但第二天果断退房。', '短评打分': 1}
{'短评内容': '深圳市南航富豪城大酒店酒店价格实惠，工作人员服务态度好，总体感觉让人满意，位置在广东省深圳市南山中心区', '短评打分': 4}
{'短评内容': '旁边一个夜店，晚上吵睡不好', '短评打分': 4}
{'短评内容': '位置还可以', '短评打分': 4}
