{'短评内容': '不错，服务很好', '短评打分': 5}
{'短评内容': '环境好服务态度好', '短评打分': 5}
{'短评内容': '不错，服务态度好，环境好，地理位置方便', '短评打分': 5}
{'短评内容': '非常好前台服务态度好环境非常舒适', '短评打分': 5}
{'短评内容': '挺好？？！！？？？，。！！', '短评打分': 5}
{'短评内容': '挺好！？？！！！！！！', '短评打分': 5}
{'短评内容': '快捷方便', '短评打分': 5}
{'短评内容': '前台服务哈，都是帅哥美女，颜值高', '短评打分': 5}
{'短评内容': '一家三口去北京看演出，住在这里，离国图很近，很方便！', '短评打分': 5}
{'短评内容': '服务热情', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '离地铁站特近，就在楼下，4号线和9号线，离公交车站也非常近，很方便', '短评打分': 5}
{'短评内容': '没有在PC端购买', '短评打分': 5}
{'短评内容': '给免费升级了2.4米窗，应该是两个1.2米拼的。', '短评打分': 5}
{'短评内容': '很好，很干净，下次继续来', '短评打分': 5}
{'短评内容': '酒店很好！！', '短评打分': 5}
{'短评内容': '酒店很好！！！', '短评打分': 5}
{'短评内容': '酒店可以，离地铁站非常近，对门是国家图书馆！！', '短评打分': 5}
{'短评内容': '酒店很好，地理位置也不错', '短评打分': 5}
{'短评内容': '价格实惠，性价比高，值得住宿。', '短评打分': 5}
{'短评内容': '价格实惠，很舒适，性价比高。', '短评打分': 5}
{'短评内容': '呵呵哈哈哈或或或或或', '短评打分': 5}
{'短评内容': '好啊太好了\\^O^/', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '交通方便.酒店出门离地铁不远', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '房间有饭店的味儿', '短评打分': 5}
{'短评内容': '方通挺方便的。出门就是地铁站，吃饭也方便，六点楼内就有饭馆，非常方便', '短评打分': 5}
{'短评内容': '一直住的酒店。床非常软。吃饭也有餐厅。一直住的酒店。床非常软。吃饭也有餐厅。一直住的酒店。床非常软。吃饭也有餐厅。', '短评打分': 5}
{'短评内容': '很好，床很大！', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 4}
{'短评内容': '不错，很满意，下次还来，就是没有早餐提供，有点不方便，希望贵酒店能在这方便做改进，对我们也能方便，谢谢。', '短评打分': 4}
{'短评内容': '还不错，房间比较大，设施稍旧。', '短评打分': 4}
{'短评内容': '地点，设备，服务都不错的，自助早餐还可以，楼下餐厅味道不错。', '短评打分': 5}
{'短评内容': '不錯', '短评打分': 5}
{'短评内容': '还可以！', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '非常方便，地铁口出来即到，前往首体看演出很适合', '短评打分': 5}
{'短评内容': '交通便利紧临地铁口。其他一般。', '短评打分': 4}
{'短评内容': '酒店管理太死板，定的是双早，只给我一张早餐券，第二天早上朋友来接我，非要让朋友拿证件登记才给另一张早餐券，谁天天带着证件啊，搞得心情很不愉快。钱都付了你跟我扯什么登记？经济连锁耍什么五星大牌？', '短评打分': 2}
{'短评内容': '酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  ', '短评打分': 5}
{'短评内容': '位置很方便，出门就是地铁站，其他一般般吧', '短评打分': 5}
{'短评内容': '性價比很高的酒店，物美價廉，房間乾淨整潔，浴室是落地淋浴沒有浴缸，前臺服務態度挺好。不足之處是每到用餐時候整個酒店的油煙味有點重，甚至會污染到房間內，而且夜晚居然有小姐的騷擾電話！這點不能忍受！', '短评打分': 5}
{'短评内容': '好通行方便价格合理房间干净利落，整个酒店很气派', '短评打分': 5}
{'短评内容': '到酒店入住时竟被告知价格要高于预订好的价格，原因是酒店在预订后上调了，什么道理？尽管最终付的是预订价，还是纠结。酒店没无线上网设置，酒店大堂有一台式电脑但只能上维也纳自己的预订网，要查点信息很不方便。既然设了一台电脑，完全可以限时住客使用。第一晚的房间地毯和卫生间很脏，换房后好一点。毛巾很旧发黑，第三天根本没给两条毛巾。房门隔音很差，三天早上8点半左右无一例外被走廊的服务员的大声嚷嚷吵醒。', '短评打分': 1}
{'短评内容': '下面有地鐵，比較方便。房間設施比較簡單，裝修一般，普通商務酒店。入住時候登了半天。', '短评打分': 1}
{'短评内容': '很不错的酒店，和地铁很近，很方便，可惜不包早餐', '短评打分': 5}
{'短评内容': '这家酒店的服务超赞的，无论任何时间打电话到前台所要物品，态度都很好。房间很干净，也比较大，服务态度很好！下次还会入住~', '短评打分': 5}
{'短评内容': '服务还可以，就是房间设置有些旧了，不过交通挺放便', '短评打分': 3}
{'短评内容': '酒店不错。位置好，房间够大，设施老旧了些。', '短评打分': 5}
{'短评内容': '位置很好，交通方面，门口就是地铁。还会安排客户入住。', '短评打分': 5}
{'短评内容': '性价比很高，服务也不错，就是觉得早餐有点贵，品种不多。', '短评打分': 5}
{'短评内容': '房间宽敞舒适、交通方便，服务态度好，周边餐饮、购物略远一点，总的感觉不错，推荐！', '短评打分': 1}
{'短评内容': '三百多体验到五百多的酒店服务，真的很不错哦。', '短评打分': 5}
{'短评内容': ',多次入住维也纳酒店,感觉还是那么亲切,住的舒服,房间好,不过从7月1日起客房涨价了,分别涨了20到30元', '短评打分': 3}
{'短评内容': '优点：位置很好，早餐也可以。\n缺点：酒店临近马路，马路上车流声音很大，比较吵闹。', '短评打分': 5}
{'短评内容': '房间比较大。。三楼的清真菜味道不错。8过都有些小贵。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店确实很方便。靠近人民大学，动物园。环境也不错。就是价格贵了点。房间也不错。就是卫生间的门是木头合起来的。如果改进下就好了。更上一点档次。唯一不好的就是早餐。坑死我了。38一位就吃了点长豆角。没东西吃。建议不如去吃KFC。', '短评打分': 5}
{'短评内容': '地铁就在门口，很方便;房间面积、设施还可以;价位比较适中。', '短评打分': 3}
{'短评内容': '交通非常方便，环境也不错，就是打车比较堵的地方。', '短评打分': 5}
{'短评内容': '很好的酒店，价格实惠，房价低，出行方便，周边设施齐全，下次还来', '短评打分': 5}
{'短评内容': '房间很大很干净，交通方便，出门就是地铁站，很舒服，下次还来。', '短评打分': 5}
{'短评内容': '酒店不错，周边环境还行。', '短评打分': 3}
{'短评内容': '非常好的酒店，房费不是很高，订的大床房，房间舒适宽敞，交通方便，物有所值。', '短评打分': 3}
{'短评内容': '不错的酒店，就是中庭餐厅的羊肉味儿太大。', '短评打分': 5}
