{'短评内容': '酒店柱子型建筑，很有特色，各方面还不错。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '这家酒店的地理位置感觉还是比较不错的，靠近桂林高铁站，交通方便比较容易发现！酒店由于开业时间太久略显陈旧一点，设施不尽完美，但是价位比较亲民！前台服务人员态度比较和蔼，办理入住比较顺利！', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错，价格很低，服务很好', '短评打分': 5}
{'短评内容': 'bhgffcctrsshbbff', '短评打分': 5}
{'短评内容': 'yayagggfdda', '短评打分': 5}
{'短评内容': '环境很好的，交通方便的', '短评打分': 5}
{'短评内容': '房间很漂亮 而且是弧形边缘；略小了一点 但是看看价格 太便宜了 小瑕疵就无所谓啦~ 话说希望增加一些毛巾 可以让洗脸和洗澡用的分开', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '烧水壶是烂的，里面还有污垢！还有小强！地毯也是发霉的烂的！太差！', '短评打分': 1}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '前台服务态度极差，尤其是那个女人', '短评打分': 1}
{'短评内容': '实惠，非常好的酒店，只是目前门口在修路，有小小的不便', '短评打分': 5}
{'短评内容': '我在桂林住过这么多酒店，第一次听说因为是旅游城市就必须12点前退房的……', '短评打分': 3}
{'短评内容': '停车收费，用了毛巾刷包居然还扣款15元！', '短评打分': 1}
{'短评内容': '环境整洁，没有意味，中央空调没有异响，周边很安静，壁纸很新，160元，觉得性价比很高，下次再来住，很赞，周边吃饭很方便，离漓江走过去15分钟可以远观象鼻山', '短评打分': 5}
{'短评内容': '酒店位置很好，只是周边在修路而已', '短评打分': 4}
{'短评内容': '门口好像是在修路有点吵，设施比较陈旧，服务一般！交通比较方便！', '短评打分': 2}
{'短评内容': '周边环境一般，房型和照片有出入', '短评打分': 4}
{'短评内容': '酒店还是不错的，大堂也很气派，楼下餐厅也很好。不过周边环境不好，火车站附近，人员很杂。', '短评打分': 5}
{'短评内容': '酒店还是不错的，房间风景，面积也可以，楼下餐厅值得推荐。不过周边环境不好，晚了吃饭不方便', '短评打分': 5}
{'短评内容': '位置不错！！而且交通方便！！附近有大型的购物商场啊！！', '短评打分': 5}
{'短评内容': '酒店可以，交通便利，安全', '短评打分': 3}
{'短评内容': '饭店服务态度不好，离汽车张有2站路远，说是免费接机的，等到和饭店联系接机时说要订两间房才能免费接机，', '短评打分': 1}
{'短评内容': '这个酒店不推荐住，感觉很脏，设施也很旧，周边酒店很多，选择也很多', '短评打分': 1}
{'短评内容': '服务态度好，环境好，下次还会来这里.服务态度好，环境好，下次还会来这里.服务态度好，环境好，下次还会来这里.服务态度好，环境好，下次还会来这里.服务态度好，环境好，下次还会来这里.', '短评打分': 5}
{'短评内容': '在火车站边上，所以很吵，醒过来就没法再睡着，房间小，设施一般，不推荐', '短评打分': 1}
{'短评内容': '入住后，觉的床不是很舒服，是用两个单人床拼成的，而且被子不是太干净。感觉不到豪华大床房，唯独超大的窗户，看到外面的景色让人觉得还不错。', '短评打分': 3}
{'短评内容': '建筑外表面和大堂过于陈旧，不象网上显示的，豪华标间内还行，如果不是网上预订，可能不会住的。入住后感觉还可以。', '短评打分': 3}
