{'短评内容': '一般吧，房子味道很重', '短评打分': 4}
{'短评内容': '挺好的经常住呢', '短评打分': 5}
{'短评内容': '价格适中，房子还算温馨！毛巾太硬了吧！改更换了吧！', '短评打分': 4}
{'短评内容': '酒店不错，比有些假三星的宾馆还好哪。', '短评打分': 4}
{'短评内容': '西安没酒店了…只能住远一点………如家一如既往地好…还是连锁可靠', '短评打分': 5}
{'短评内容': '不错了，虽然离西安稍远，但是便宜多了，对自驾游来说根本不是事儿！', '短评打分': 5}
{'短评内容': '西安人好少啊', '短评打分': 4}
{'短评内容': '环境不错，感觉整洁，便宜！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！早饭不错', '短评打分': 5}
{'短评内容': '账单出的挺快的  价格略微比会员贵了几块钱 挺好的 美中不足的就是没有早饭', '短评打分': 5}
{'短评内容': '安静舒适', '短评打分': 4}
{'短评内容': '安静舒适', '短评打分': 4}
{'短评内容': '干净整洁', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '房间不大，挺温馨的。', '短评打分': 5}
{'短评内容': '酒店周边环境清雅，房间整洁干净卫生，服务周到体贴，旁边吃饭非常方便。', '短评打分': 4}
{'短评内容': '窗户纱窗有点涩', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '出差住宿，酒店环境还行，方便出行！周边吃饭出门都很方便，每次出差都选择这里，离客户公司也近！', '短评打分': 5}
{'短评内容': '出差住宿，酒店环境还行，方便出行！周边吃饭出门都很方便，每次出差都选择这里，离客户公司也近！', '短评打分': 5}
