{'短评内容': '酒店房间挺好的，非常的值得！', '短评打分': 5}
{'短评内容': '环境很好，服务很好', '短评打分': 5}
{'短评内容': '环境很好值得一住', '短评打分': 5}
{'短评内容': '住在这其他的都好，就是入住后有一点小毛病房间WiFi不能用，但入住了也洗漱了，最后和前台电话沟通，派人来检查网络，没办法只好又给换了一个房间，谢谢酒店前台的用心做事，其他的都好吧。', '短评打分': 4}
{'短评内容': '旧点 破点 干净 其他城市三星赶脚 吃方便 酒店消费没太贵感觉双程玻璃 闷到时安静 可能冬天暖气吧', '短评打分': 4}
{'短评内容': '里面比较老旧，地毯看着有很多污渍，应该是清洗不掉的，然后墙纸也有破损脱落', '短评打分': 5}
{'短评内容': '不含早餐，环境一般。前台工作人员服务差。', '短评打分': 3}
{'短评内容': '很安静，还给升级了房间。非常好周围去北京站和购物中心很近，距离地铁天坛东门大概步行700米左右！！', '短评打分': 5}
{'短评内容': '离地铁站很远，误导顾客，房间暖气坏了，给前台打四个电话只是敷衍，完全没有解决问题的意思，说是四星酒店，连个人小旅馆都不如', '短评打分': 1}
{'短评内容': '环境非常不错，也不堵车', '短评打分': 5}
{'短评内容': '地毯太脏了', '短评打分': 1}
{'短评内容': '挺不错的，地地理位置也还可以，房间大，也很干净，下次住还来', '短评打分': 5}
{'短评内容': '干净，位置好。推荐大家。', '短评打分': 5}
{'短评内容': '很好，就是装修有些时间了，好处是没什么装修的味道。', '短评打分': 5}
{'短评内容': '天坛饭店，不用说，交通十分便利，商务出差最佳选择。', '短评打分': 5}
{'短评内容': '酒店位置很好找，服务也勉强，反正不好也不坏，基本有问必答。说是四星，但是没有门童。房间设施陈旧，卫生也不太好，中央空调一点用都没有，晚上闷热得不行。四星级酒店的标间居然客服也不配盒装的餐巾纸，真够节省的。订了6个晚上送双早的标间，带着妈妈和女儿。原以为女儿不满1.2米早餐应该免费，所有双早正好两个大人用。没想这酒店跟别的酒店都不同，反正1.2以下小孩无论就得收半价。我说连住6天都不能有任何优惠吗？答曰不能。我又要求要不取消我们的早餐，退钱给我们。仍是不能。呵呵结果女儿每天交了半价的早餐就只喝一杯酸奶吃一个鸡蛋或者是肉肠。唯一感到些许安慰的是后来餐厅主动说每天可以给小孩打包一些东西吃。也只能这样解决了。', '短评打分': 5}
{'短评内容': '比门店优惠很多', '短评打分': 5}
{'短评内容': '一直信赖京东', '短评打分': 5}
{'短评内容': '距离天坛公园近，交通方便！', '短评打分': 4}
{'短评内容': '服务态度好', '短评打分': 4}
{'短评内容': '服务态度好', '短评打分': 4}
{'短评内容': '服务态度好', '短评打分': 4}
{'短评内容': '服务态度好', '短评打分': 4}
{'短评内容': '方便舒适，房间旧了些', '短评打分': 4}
{'短评内容': '给朋友订的说不错', '短评打分': 5}
{'短评内容': '環境好服務好，周邊北京小吃多，不錯。去各方向交通便利，這個季節去天壇公園跑兩圈，很爽，可以誰荐來京的朋友一試。', '短评打分': 5}
{'短评内容': '位置不错，安静，服务不错。', '短评打分': 4}
{'短评内容': '服务态度好', '短评打分': 4}
{'短评内容': '服务很周到，很热情，给个赞。下次还要过去', '短评打分': 5}
{'短评内容': '值得推荐', '短评打分': 5}
