{'短评内容': '很好的', '短评打分': 5}
{'短评内容': '不错哒 虽然前面有点小插曲，但是态度很好， 选了好几个房间，最后定了下来玩的很开心', '短评打分': 5}
{'短评内容': '地理位置很好，离回民街钟鼓楼很近，下楼走几十米就到啦 ~态度也很好， 在钟楼附近的酒店这家算是价格实惠的', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '发根本不会', '短评打分': 5}
{'短评内容': '旅途', '短评打分': 5}
{'短评内容': '性价比高。                                               ', '短评打分': 5}
{'短评内容': '公寓很干净，服务好，房间的卫生打扫的很干净的，位置紧邻钟楼，逛街方便，美食也很多，入住到离店都非常的顺利。', '短评打分': 5}
{'短评内容': '酒店很干净，离景区很近很近，非常方便！酒店很干净，离景区很近很近，非常方便！酒店很干净，离景区很近很近，非常方便！', '短评打分': 5}
{'短评内容': '酒店很容易找到，房间整洁干净，价格便宜，下次有机会一定再来', '短评打分': 5}
{'短评内容': '位置很好，老板很热情，房间很宽敞，连续住需要提前一天告知搞卫生', '短评打分': 5}
{'短评内容': '房间比较大，周边环境好', '短评打分': 4}
{'短评内容': '酒店地理位置很好，但是卫生很一般', '短评打分': 4}
{'短评内容': '酒店是在写字楼里边，位置不太好找，打电话咨询了半天，虽然很热情，但是因为对地理位置不熟悉还是找了半天，离钟楼很近，价位便宜，环境还是不错的，是那种很小的房间，总体来说比较实惠，不错的选择。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还行，就是电费要收钱，弄的提心吊胆的。一开始不知道会走多少字，也不敢怎么洗澡烧水什么的。不过三度以内不要钱，结果我们连一度点也没用完。', '短评打分': 4}
{'短评内容': '价格便宜，老板态度挺好的。是个住宿的好地方！下次还订他家。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境太吵，不舒服', '短评打分': 2}
