{'短评内容': '靠近火车站，赶火车可以住，房间还可以，无线不错，服务态度挺好的，性价比还可以，值得入住，下次来了还住这里', '短评打分': 5}
{'短评内容': '一直住如家，赞赞赞', '短评打分': 5}
{'短评内容': '早餐还可以，15元每位！', '短评打分': 5}
{'短评内容': '房间偏小，设施齐全', '短评打分': 4}
{'短评内容': '还不错挺好的', '短评打分': 4}
{'短评内容': '环境，卫生，服务都不错', '短评打分': 4}
{'短评内容': '很棒', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '设备很全，很棒', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '房间有些小，电视老旧，其他还好', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '不错不错', '短评打分': 4}
{'短评内容': '还好都是复活节浩浩荡荡看猴哥饭店的', '短评打分': 5}
{'短评内容': '还行，不错，出去方便', '短评打分': 5}
{'短评内容': '非常好~~.。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '好，很舒服，离火车站近。下次出差还去那住。', '短评打分': 5}
{'短评内容': '前台服务态度很好，，在火车站对面，位置也不错，房间没有风筒。', '短评打分': 5}
{'短评内容': '住了一天，蛮好的，很干净', '短评打分': 3}
{'短评内容': '总体还不错！就是价格有点贵哦！一直比较喜欢如家，每个地方的条件稍有不同！', '短评打分': 5}
{'短评内容': '  挺好的。但是隔音效果确实不怎么样。不过整体比较满意。', '短评打分': 3}
{'短评内容': '晚上有点吵，三点多甚至被吵起来，但服务人员的服务态度非常不错', '短评打分': 1}
{'短评内容': '酒店位置还可以，离火车站比较近，但隔音效果太差，隔壁说话都能听到！', '短评打分': 5}
{'短评内容': '服务态度很好，卫生、干净。就是房间太小、隔音效果不好。', '短评打分': 5}
{'短评内容': '＋服务挺好，很干净，不错…', '短评打分': 3}
