{'短评内容': '房间挺干净的，人员服务态度也很好', '短评打分': 5}
{'短评内容': '跟网上挂的照片相符，一致，颜色很温馨，交通便利，购物、餐饮方便，环境也很安静', '短评打分': 5}
{'短评内容': '位置很好，附近有各种类型的餐馆，很方便，离上海火车站仅两站路，交通很方便，房间卫生也不错 ', '短评打分': 5}
{'短评内容': '酒店价格不错，，，离娱乐，，吃饭的地方很近。。。我女友说下次还来这里。。就是我顶的大床。。。感觉没照片上的大。。。。', '短评打分': 5}
{'短评内容': '环境还可以，就是空间太小。不过在上海这个价位的也只能这样了。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '这家酒店在闸北区算得上是物美价廉的一家了，条件还不错，房间虽然小了点但很干净', '短评打分': 5}
{'短评内容': '这家酒店在闸北区算得上是物美价廉的一家了，条件还不错，房间虽然小了点但很干净，而且在酒店的三楼还有洗衣机，可以免费使用的，另外三楼的阳台晾晒衣物也很方便，出门打的随时都行，坐公交则要走上几步路，总体来说感觉蛮好的！', '短评打分': 5}
{'短评内容': '非常好。这个价格真的是超值！对于年轻人来说，走路到延长路地铁站不算远，十分钟出头，很方便。周围有联华超市，也有几个餐馆之类的，很方便。房间里卫生挺干净的，住的很舒适。在上海内环以内，并且靠近地铁站，还能有这么超值的酒店，真的很难得。', '短评打分': 5}
{'短评内容': '对得起这个价格，前台和清洁人员都很热情，室内设备虽然有些陈旧，但是干净，居住没问题。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '性价比比较高，用了消费卷后，只要九十元一天', '短评打分': 3}
{'短评内容': '酒店还算不错，卫生和服务都算可以，地理位置交通便利。', '短评打分': 3}
{'短评内容': '对得起这个价格，前台和清洁人员都很热情，室内设备虽然有些陈旧，但是干净，居住没问题。', '短评打分': 5}
{'短评内容': '房间小，感觉有些压抑。', '短评打分': 3}
{'短评内容': '就一般的。没有如家好。不过价钱便宜。还行。', '短评打分': 3}
{'短评内容': '还可以把，感觉房子还可以 但是有点潮。价格方面还不错。总之还可以。', '短评打分': 5}
{'短评内容': '房间很破，设施太简陋了，隔音效果差，而且外面车子开过去的时候地面会震动，太恐怖了', '短评打分': 1}
{'短评内容': '地點還是挺好的，旁邊很多吃飯的地方，但是感覺房間有點簡陋了，不過這個價格還可以，如果辦個會員還可以更便宜。', '短评打分': 5}
{'短评内容': '前台小姐的服务态度一般，而且酒店远没有描述的离地铁站这么近，比我想象的要远一些，希望可以改进。房间的隔音效果确实是不太好，希望以后会有改善。', '短评打分': 5}
{'短评内容': '我觉得我四月二十八号入住时的前台接待一点都不好，脾气好大的！而且我问路她也是爱理不理的……哎……要加强员工教育呀！', '短评打分': 3}
{'短评内容': '宾馆环境不是很好.设备不齐全.', '短评打分': 3}
{'短评内容': '离地铁站不远不近，走路要是带着行李的话会比较麻烦', '短评打分': 5}
{'短评内容': '好~就是有点远，而且不近地铁站。。为什么一定要20个字。。。', '短评打分': 5}
{'短评内容': '酒店装修很一般,里面环境也是,地毯很赃,对于这个价位还是加个几十元住环境好的比较好,客服还说评价不错,不知道谁评的', '短评打分': 3}
{'短评内容': '这家酒店真的不好环境一般屋里面的设备老旧空调噪音太大像飞机是的晚上空调的扇叶启动还挺挺吓人的电脑凳子脏死了热水倒是很足最可气的是前台的服务员什么态度啊016号服务员说话板着个脸问她什么不爱搭理还次搭你几句拜托啊我是付钱住店的不是到你这里白住的啊想想就生气这样的服务我是不会再去住的了不怕上当的就去试试看！', '短评打分': 1}
{'短评内容': '性价比很高，交通方便，安静。床很软很舒服。离地铁也进，就是网速慢了点。', '短评打分': 5}
{'短评内容': '隔音差！！！！！！！！！！！！！空调噪音大！', '短评打分': 1}
{'短评内容': '还行吧 交通挺方便的 设施也还不错 对得起这个价格 ', '短评打分': 5}
{'短评内容': '房子干净整洁,价格合理.比想象中的要好。', '短评打分': 5}
{'短评内容': '怎么说呢，这家酒店真让我纠结。在机场打电话询问酒店位置，前台很热情的建议我们坐地铁过去。因为过年在上海打车真的很贵。上海的地铁很方便，但不熟悉的人会有点点晕。出了1号线的出口，要走近三条马路才能到达酒店，这对负重旅行加天气很冷又不熟悉路况的人来说真的很吃力。觉得走了好久才到酒店。酒店比较旧了，房间很小，但对空调制暖有好处，不得不说，酒店的热水系统实在不给力。水温不够热，水量又小，有时候早上起来竟然', '短评打分': 5}
{'短评内容': '环境太差了！！空调响起来声音大到恐怖！\n离地铁站也远的不得了。\n室内陈设极差，临街吵闹的要命！！', '短评打分': 1}
{'短评内容': '除了空调不给力，其它都OK.下次会再来住', '短评打分': 5}
{'短评内容': '交通挺方便  下次还会选择这', '短评打分': 3}
{'短评内容': '还行，就是稍微有点旧。', '短评打分': 3}
{'短评内容': '还可以，就是离地铁站远了点，还有网上说离汽车站0.8公里，不知道贵酒店一公里是多长？ ', '短评打分': 5}
{'短评内容': '一般不怎么样！门给人感觉很不安全，房间里墙面很脏', '短评打分': 3}
{'短评内容': ' 好', '短评打分': 3}
{'短评内容': '没有想象中的好。 感觉比较旧。 对于这个价还过得去', '短评打分': 5}
{'短评内容': '房间不是很大，但是还是挺不错的，十一期间性价比挺不错的房子。', '短评打分': 5}
{'短评内容': '设备陈旧,卫生环境很差!还不如旅馆', '短评打分': 3}
{'短评内容': '房间挺好的，装修旧了点，不过空气污染肯定木有了，赞一个！', '短评打分': 3}
{'短评内容': ' 可以。', '短评打分': 3}
{'短评内容': '住着有点恐怖，尤其是那电梯，灯光暗暗的，还是黄色的，我住的那间房子厕所顶上总是咯吱咯吱响，而且通风盖随时可以打开，要是有什么人从那里面钻进来可真就出事儿了。', '短评打分': 1}
{'短评内容': '里面环境设置都不错。这个价挺值的~就是枕头好像太软了点，第二天起来头不舒服。', '短评打分': 5}
{'短评内容': '感觉挺便宜的，房间也还好，就是我的那个房间窗户就是另一幢房子的隔壁，离得很近，所以和没有窗户差不多', '短评打分': 5}
{'短评内容': '酒店还可以经济实惠，下次还还会考虑，希望能提供早餐', '短评打分': 5}
{'短评内容': '还不错，性价比比较高，工作人员也很客气。', '短评打分': 5}
{'短评内容': '地理位置还可以，就是住宿环境有点差，与我住过的其他万好万家酒店有点差距。', '短评打分': 1}
{'短评内容': '环境不错   屋子里边的设施  建议升级   走廊的设施  地毯之类的   建议更换新的', '短评打分': 5}
{'短评内容': '很不错，就是房间有些小，其他的基本上都没啥说的', '短评打分': 5}
{'短评内容': '什么价位什么享受吧  不要想花很少的钱享受很高的服务  反之亦然', '短评打分': 5}
{'短评内容': '总体来说还可以！就是有些房间位置不是太好，太潮湿！服务态度不错！', '短评打分': 5}
{'短评内容': '服务态度可以，房间装修稍微旧了一些，光线、空调很好，其他都可以。', '短评打分': 5}
{'短评内容': '房间之间用木版做格墙，少量声音也会传过来，去市里不方便的，出租车很多。吃饭不错、购物不方便，整体地方可以！', '短评打分': 1}
{'短评内容': '酒店很好  以后  还会接着光顾  带朋友一起来~~~~~~~~~~', '短评打分': 5}
{'短评内容': '酒店卫生较好，与价格相匹配。', '短评打分': 3}
{'短评内容': '位置还不错，床单比较舒服，网络比较好，装修一般。', '短评打分': 5}
{'短评内容': '总体来说还行，就是热水太小太小了。。。。', '短评打分': 5}
{'短评内容': '房间比较小，环境优雅，总的来说还是比较不错的 ', '短评打分': 5}
{'短评内容': '万好万家快捷店整体性价比很高,离上海火车站非常近,卫生条件及服务都很好,下次去上海还住这里。', '短评打分': 3}
{'短评内容': '不错，就是过道地毯有点脏 总的性价比还不错\n', '短评打分': 5}
{'短评内容': '住的是大床房，整体都很好的，就是洗澡水龙头比较小，说是水压上不来。但是性价比还是很高的，一晚上才119元，在上海怎么也算便宜的了，还离火车那么近，下次来上海还会来的。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '隔音非常不好，也许是我的房间特别不好，反正夜里是被隔壁吵醒的，对话的声音都很清楚。卫生，服务，都很一般。', '短评打分': 5}
{'短评内容': '比较经济 前台服务不错还有饮料和矿泉水赠送 就是走廊和房间地毯很脏', '短评打分': 5}
{'短评内容': '房间还不错…挺实惠的…就是高楼层的水压太小了', '短评打分': 3}
{'短评内容': '9预定的是十六平方的，实际九个平方都不到，悬殊太大了。', '短评打分': 3}
{'短评内容': '很舒服，服务很周到。', '短评打分': 3}
{'短评内容': '我住的那个房间很小,刚好在走廊碰到一个服务员,他告诉我对面的那排房间都会比较大周2肯定没住满.到大厅让服务员换告诉我没有了，但是说我住两天就可以给我换,不知道要表达什么意思?门口停车时,引导员态度冷淡.', '短评打分': 5}
{'短评内容': '隔音不太好~但是总体来说还不错 希望酒店可以重视一下此方面的问题', '短评打分': 5}
{'短评内容': '就是位置偏了点，各方面还不错，129元蛮划算的。', '短评打分': 5}
{'短评内容': '环境不错~', '短评打分': 3}
{'短评内容': '总的来说还不错，环境也挺好的,挺方便的，价格也不贵', '短评打分': 5}
{'短评内容': ' 酒店不错,挺干净的,关键是实惠', '短评打分': 3}
{'短评内容': '环境不好，空间太小，不干净的，电梯超慢，不要去住。\n电脑房没有电脑，我订的，然后等了半天，气死了', '短评打分': 1}
{'短评内容': '感觉还不错\n下次去还去哦。。\n推荐大家去住', '短评打分': 5}
{'短评内容': '房间不错…下次还会住', '短评打分': 3}
{'短评内容': '房间整洁干净，但是洗手间水龙头松动，房门有破损。在上海来说性价比还行', '短评打分': 5}
{'短评内容': '性价比还行，但七楼较高，洗澡时水较小', '短评打分': 3}
{'短评内容': '位置离地铁口步行15分。按照。这个价格。房间也算可以。', '短评打分': 3}
{'短评内容': '酒店比较干净，闹中取静，就是房间电话只能往外面打，不能接电话。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '在上海这样的城市，这家酒店的的价位是相当的合适了，只是有一些不尽如人意的地方，比如说房间的窗户上没有纱窗，地毯的清洁度不高，厕所的浴帘需更换等等，不过总体来说还可以，离火车站不算太远。', '短评打分': 5}
{'短评内容': '环境卫生都还比较舒适 下次会继续考虑的 价格也可以', '短评打分': 3}
{'短评内容': '还好 在上海这个价位算是比较实惠的了 床很舒服 就是可能地毯旧了些 有点小味道 。不过 蛮好了', '短评打分': 5}
{'短评内容': '入住还行，要是有纱窗，电视机没有坏就更好了。', '短评打分': 3}
{'短评内容': '位置将就，环境一般，吃饭比较方便，楼下就有一家东北菜！', '短评打分': 5}
{'短评内容': '整体环境还行，就是服人员在细节方面需要进一步加强，比如在客人入住的时候提醒客人把酒店里容易拆开包装的产品要检查一遍，否者会出现客人没有用这个产品但是如果上一批客人用了服务人员如果忘了检查的话，那这个产品就得算在现在入住的这个客人身上了，那这个客人多冤。', '短评打分': 5}
{'短评内容': '在上海这样价位，还有电脑可以了。其他的也不太重要了。', '短评打分': 5}
{'短评内容': '很一般的酒店，但是地理位置很不错。适合随便住住', '短评打分': 5}
{'短评内容': '房间很好，但能感到潮湿，总体还不错。前台服务不是很好。', '短评打分': 5}
{'短评内容': '还可以，就隔音差了点。路近一号线，8号线要走一点。\n离火车站可以坐95路。', '短评打分': 5}
