{'短评内容': '嘻嘻嘻做嘻嘻嘻嘻嘻嘻哦哦哦嘻嘻嘻嘻嘻嘻嘻', '短评打分': 5}
{'短评内容': '酒店不错，麽滋滋', '短评打分': 5}
{'短评内容': '酒店位置不错边上就是水晶城', '短评打分': 5}
{'短评内容': '就是小宾馆的样子，楼下就是水晶城和钱江市场，位置还是不错的，房间小的可怜，卫生也很一般，价格还算不错的吧', '短评打分': 4}
{'短评内容': '还算不错', '短评打分': 5}
{'短评内容': '环境可以....感觉卫生', '短评打分': 5}
{'短评内容': '还不错，', '短评打分': 5}
{'短评内容': '酒店前台服务吊炸天', '短评打分': 4}
{'短评内容': '太老旧了，一股味道。', '短评打分': 3}
{'短评内容': '房间很不错，性价比超高，就是空调不是很给力', '短评打分': 5}
{'短评内容': '设施齐全，周边环境不错，', '短评打分': 5}
{'短评内容': '房间很大，设施齐全，卫生干净，就是没有早餐', '短评打分': 5}
{'短评内容': '还好…就是被套什么老了一点', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店卫生还不错，不过位置有点吵，在农贸市场旁边', '短评打分': 5}
{'短评内容': '其他都不错  就是水床不会热  完全靠空调', '短评打分': 3}
