{'短评内容': '酒店位置不错啊', '短评打分': 5}
{'短评内容': '退房的时候居然让打扫干净再走，不然不退，以后不再来了', '短评打分': 1}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '位置不错，房间干净。朝南阳光。唯一不足的是靠还马路，太吵', '短评打分': 4}
{'短评内容': '至少五个字', '短评打分': 5}
{'短评内容': '位置很好找 环境不错', '短评打分': 5}
{'短评内容': '还不错比较便宜正好考试去', '短评打分': 5}
{'短评内容': '房间很不错，不止一次在这入住，服务态度很好，主要是落地窗！很有感觉！', '短评打分': 5}
{'短评内容': '住的还可以', '短评打分': 4}
{'短评内容': '酒店环境卫生，房间也不错', '短评打分': 3}
{'短评内容': '酒店位置不错，卫生条件也可以，而且还有免费的早餐，虽然不是特别好，但是很干净，早餐就吃个方便快捷就可以了。', '短评打分': 3}
{'短评内容': '价格合理，还有早饭，听很好的', '短评打分': 3}
{'短评内容': '就在维克附近，出去逛街干什么的挺方便的', '短评打分': 3}
{'短评内容': '很不错，前台接待不错！！！住宿可以，停车也方便！', '短评打分': 3}
{'短评内容': '嗯，挺好的，下次还来', '短评打分': 3}
