{'短评内容': '事情没办妥，继续入住！', '短评打分': 5}
{'短评内容': '为了节约成本，出差出行首选此类经济型的酒店，一直对锦江之星这块招牌比较信赖，经济实惠，卫生环境也还可以。', '短评打分': 5}
{'短评内容': '价格和条件都挺好，就是前台一副爱答不理的样子让人不舒服，房间退了没法拍里面了', '短评打分': 5}
{'短评内容': '1. 我定的商务单人房(180一晚)，房号410  外面的空调挂机太大声，根本睡不着！！影响我办公，没发专心！2. 早上在携程上定，本来想定标间141一晚，点进去就跳出来说不能预定，差找不到，刷新后重新进去定标间又出现同样情况，只好定了商务房！3. 410号房换到409号房后，想关窗户睡觉，没想到窗户又是坏的，怎么关都关不上，还麻烦了保安大哥及电工帮忙。结论：这酒店太差了，410换到409号时前台', '短评打分': 2}
{'短评内容': '前台服务很好！', '短评打分': 5}
{'短评内容': '地段还是比较热闹，出去吃饭很方便的', '短评打分': 5}
{'短评内容': '很好，价格优惠，环境优雅', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '习惯了给好评', '短评打分': 5}
{'短评内容': '挺方便的，就是房客素质不行，半夜关门太响，总体隔音不行！', '短评打分': 4}
{'短评内容': '酒店很新，浴室细节做的很到位，周边环境业很好，吃喝都非常方便，前台服务也很亲切，一定会再次预定这家性价比很好的酒店', '短评打分': 5}
{'短评内容': '离火车站较近，方便出行，周边餐饮较少，其他尚可。', '短评打分': 4}
{'短评内容': '周边的环境不是很好，交通也不是很好，性价比还可以的，便宜嘛，下次还会考虑住的', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还可以，就是两层窗还是有点吵', '短评打分': 5}
{'短评内容': '房间布局不错，简约风格，就是隔音有点差，经常能听到走廊过道有人大声说话，商务房房间偏小，网上订的都不带窗户！', '短评打分': 3}
{'短评内容': '这个酒店环境不错，我出差也已经住这里几次了，主要方便', '短评打分': 5}
{'短评内容': '价格经济实惠，房间干净整洁。距离宁海客运中心非常近，到宁海旅游或者出差，都推荐入住这家酒店。', '短评打分': 5}
{'短评内容': '酒店很舒适，挺干净的，与酒店里的工作人员打交道不多，但每次的服务让人很舒心', '短评打分': 5}
{'短评内容': '经济实惠，环境也不错,交通便利，离车站也挺近的。有直达的102公交车到达火车站。值得推荐', '短评打分': 5}
{'短评内容': '男拖换了新的，没有味道，但女拖还是以前的哦，味道还是比较刺鼻，当然也不提倡浪费，希望下次再入住宾馆，拖鞋不要再有味道了。', '短评打分': 5}
{'短评内容': '酒店很干净，一直很喜欢锦江之星', '短评打分': 3}
{'短评内容': '很温馨', '短评打分': 3}
{'短评内容': '拖鞋塑胶味道太大了，这个要改正下，希望下次如住会好一点。', '短评打分': 5}
{'短评内容': '房间较干净，整体干净不错，服务也很周到，跟客运中心很近。', '短评打分': 5}
{'短评内容': '酒店不错，离车站近，吃东西也方便~~~就是我住的那个房间有点吵', '短评打分': 5}
{'短评内容': ' 一如既往的舒服，价格优惠幅度再该大些···················', '短评打分': 5}
{'短评内容': '干净，精致，环保，让人很舒服。只是价格比同类连锁贵很多', '短评打分': 5}
{'短评内容': '环境很好，但是没想到到店的优惠比网站优惠还多……', '短评打分': 3}
{'短评内容': '酒店比较干净，相对来说服务也还可以，下次去那边还是会选择那里入住', '短评打分': 5}
{'短评内容': '干净整洁敞亮的房间\n位置也很方便，靠近总站\n附近有大排档', '短评打分': 5}
{'短评内容': '很干净，地理位置也好，房间设施都很好，上海的我也住过，但感觉比上海的好很多，性价比很高啊这家', '短评打分': 5}
{'短评内容': '离车站很近，环境不错，服务员也很热情，只是房间有异味，', '短评打分': 5}
