{'短评内容': '房间还可以吧', '短评打分': 5}
{'短评内容': '上网较差，空调设备较破旧且对着床，洗手间较窄。', '短评打分': 4}
{'短评内容': '环境很一般 ', '短评打分': 2}
{'短评内容': '还可以吧 就是条件差了点 ', '短评打分': 5}
{'短评内容': '不错，好好。位置有点偏僻', '短评打分': 5}
{'短评内容': '位置不错，每年都在这家住，硬件设施需要完善一下', '短评打分': 4}
{'短评内容': '位置不错，每年都住这里。只是酒店硬件需要完善了', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '性价比超高', '短评打分': 5}
{'短评内容': '巷子太深了！', '短评打分': 3}
{'短评内容': '被子，床太旧了', '短评打分': 3}
{'短评内容': '床垫凹凸不平，床单很旧了，听说在装修了，下次去就会改进了。司机大伯态度很好。黄埔村也非常好，有吃有喝还可以玩。', '短评打分': 4}
{'短评内容': '就是wifi信号不好，关门房间里没有信号', '短评打分': 4}
{'短评内容': '在广交会期间入住的，标准双人房是298元每晚，距离广交会展馆比较近，房间里面有电脑，但是显示器很差，画面发黄，没敢用，除此之外，衣橱门是坏的，那种古老的电视，床单和枕头泛黄了，路边有点吵，电吹风没什么风，设施陈旧，总之就是非常非常一般的那种县城小宾馆', '短评打分': 1}
