{'短评内容': '早餐可以，电视机太小', '短评打分': 4}
{'短评内容': '最差的汉庭没有之一。', '短评打分': 1}
{'短评内容': '别再携程上订酒店就对了', '短评打分': 1}
{'短评内容': '别再携程上订就对了', '短评打分': 1}
{'短评内容': '垃圾捡垃圾', '短评打分': 1}
{'短评内容': '酒店告诉我订的房间是110的，用了30的优惠券，可是我却付了140多，不理解为什么会这样？', '短评打分': 3}
{'短评内容': '酒店整体环境不错，离店的时候朋友把充电器丢在房间了，酒店给打了电话告知到前台领取，服务很好。值得推荐！', '短评打分': 5}
{'短评内容': '还可以，房间稍显陈旧！', '短评打分': 4}
{'短评内容': '交通便利', '短评打分': 5}
{'短评内容': '还可以吧！', '短评打分': 4}
{'短评内容': '赶上庄里停水   比较惨 全街停水', '短评打分': 5}
{'短评内容': '干什么都方便，交通发达，就是隔音不太好', '短评打分': 5}
{'短评内容': '快捷酒店感觉算可以的，价钱还不贵，就是有时候有的房间里，设计的挺不好。', '短评打分': 4}
{'短评内容': '环境不错，设置很合理！不错！', '短评打分': 5}
{'短评内容': '零压房感觉还不错，挺舒适', '短评打分': 5}
{'短评内容': '酒店一般，房间很小，不过价格还行', '短评打分': 4}
{'短评内容': '房间旁边在施工，晚上很吵，给酒店前台反应要求换房，开始前台推脱，说已满房不予理睬，但外面实在是太吵，就要求让前台找经理谈，一听这样前台又说能换房。总之，很不负责任。\n非常不推荐这家，周围施工到凌晨多，反应了这个问题，他们只会推脱，一说平时施工8点前就结束了，不知道会这么晚，但重点是后来告知他们施工影响睡眠，前台方面开始也无动于衷啊，没有服务意识。', '短评打分': 1}
{'短评内容': '一样的安静干净不错,下次再选', '短评打分': 3}
{'短评内容': '位置好，出差办事方便。酒店新装修，硬件环境不错。推荐！！', '短评打分': 5}
{'短评内容': '环境很好！', '短评打分': 3}
