{'短评内容': '周边很安静，性价比很高，每次出差都住这', '短评打分': 5}
{'短评内容': '已经很多次入住该酒店，干净卫生，主要是交通方便，紧挨着马路边有停车厂，朋友过来都基本安排在这里，价钱公道，比会员还便宜呢。哈哈哈哈', '短评打分': 5}
{'短评内容': '很不错的酒店，停车方便，吃饭方便，交通方便。每次都住这里，可以常包房了。推荐朋友们都来住吧。离火车站 公交也方便。', '短评打分': 5}
{'短评内容': '安全 干净 安静 环境不错 每次来都是首先入住的地方。停车方便，开车过来首先的地方。早餐外面也很方便的。 在新余这样的酒店不好找噢。', '短评打分': 5}
{'短评内容': '可以说性价比相当高，安静，干净。床软被蓬松，定了4间两晚，其中一间改了麻将房。美中不足没有吃饭的地方。', '短评打分': 5}
{'短评内容': '对于价格来说，还不错了。', '短评打分': 4}
{'短评内容': '空调不是很好，30度都能吹感冒了', '短评打分': 5}
{'短评内容': '位置比较偏，周围没啥好吃的，其他都还好', '短评打分': 4}
{'短评内容': '还好吧新装修干净也安静价格合理推荐', '短评打分': 3}
{'短评内容': '还好啊啊啊啊啊啊啊啊啊', '短评打分': 3}
{'短评内容': '环境很好，住的安心，', '短评打分': 3}
{'短评内容': '酒店锅炉 吵死人  晚上睡不着', '短评打分': 3}
