{'短评内容': '房间有些陈旧', '短评打分': 5}
{'短评内容': '服务很好，出行很方便', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '很好.很实惠', '短评打分': 5}
{'短评内容': '一股很重的煤气味', '短评打分': 5}
{'短评内容': '环境不错，服务周到，干净卫生，设施有点旧', '短评打分': 5}
{'短评内容': '位置方便快捷，服务周到，卫生可以，设施有点旧', '短评打分': 5}
{'短评内容': '服务还不错', '短评打分': 4}
{'短评内容': '订房忘记住了，也不打电话确认，就收钱了。差评', '短评打分': 4}
{'短评内容': '属于晋城比较老资格的宾馆，地理位置比较好，旁边就是小吃城，好吃的比较多，早餐一般，中规中矩，晋城也是全国优秀旅游城市，总体来说，还是不错，值得推荐和再次入住！    ', '短评打分': 5}
{'短评内容': '属于晋城比较老资格的宾馆，地理位置比较好，旁边就是小吃城，好吃的比较多，早餐一般，中规中矩，晋城也是全国优秀旅游城市，总体来说，还是不错，值得推荐和再次入住！    ', '短评打分': 5}
{'短评内容': '不错，酒店很安静', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 2}
{'短评内容': '相当好 性价比高 强烈推荐', '短评打分': 5}
{'短评内容': '很老的酒店，设施硬件都非常不给力，早饭也不行，但是服务很给力，手机充电器没带，员工还把她的iPhone充电器借给我用', '短评打分': 5}
{'短评内容': '晋城大洒店环境不错，设施齐全，服务周到，交通便利，但价格有点贵。', '短评打分': 3}
{'短评内容': '设施还挺全！就是房间有点小！在晋城来说应该算是不错的了！', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '还算可以吧，位置和环境都不错，早餐和晚餐也可以，唯一的遗憾就是我住的房间的宽带有点问题，不能上网，', '短评打分': 5}
{'短评内容': ' 早餐不是很丰盛。与四星不符', '短评打分': 3}
{'短评内容': '酒店装修已陈旧，双人标间只含单早，一份早餐要38元，价格与房间设施及服务水准有较大差距。总台服务员办事呆板，容易与客人产生矛盾。', '短评打分': 1}
{'短评内容': '酒店价格比较高 在进成这样的酒店368的价格有点高。服务态度不多，但是硬件不好，浴缸舒服，洗澡水忽冷忽热，很差劲。另外 房卡两次不能打开。', '短评打分': 1}
{'短评内容': '......................', '短评打分': 1}
{'短评内容': 'good but expensive, in down town, transport very good.', '短评打分': 5}
{'短评内容': '地理位置不错，早周围走走转转也很不错，旁边的小吃城很方便！', '短评打分': 5}
{'短评内容': '挺不错，市政府的接待酒店，很火爆,早餐很丰富！', '短评打分': 5}
{'短评内容': '交      通        非       常        方           便', '短评打分': 5}
{'短评内容': 'four stars, stayed nice.', '短评打分': 5}
{'短评内容': '总体设施不错，政府招待酒店，挺好 四星级', '短评打分': 5}
{'短评内容': '酒店位置很好，在市中心，交通方便，但装修有点过时。', '短评打分': 5}
{'短评内容': '不够4星标准 这次住的房间很不好，也就是2星，前台服务还不错，给安排了房间，但明显缺乏专业训练。房间洗澡间太差了！', '短评打分': 1}
{'短评内容': '酒店的网线都比较差，折腾了老半天，还是没有上去网，唉。而且最高层的房间的热凉水不好调，把肩膀都烫红了，郁闷。', '短评打分': 1}
{'短评内容': '各方面条件还不错，整体水平还是比较高的，并且性价比也是蛮高的.', '短评打分': 5}
{'短评内容': '酒店还不错卫生设施都还是挺好的，环境也不错，价格是挺合适的。', '短评打分': 5}
{'短评内容': '酒店还不错卫生设施都还是挺好的，环境也不错，价格是挺合适的。', '短评打分': 5}
{'短评内容': '位置很好，交通便利。设施挺新的，性价比高。早餐一般', '短评打分': 5}
{'短评内容': '这家酒店住的还不错，房间里设计挺人性化的，感觉挺舒适的，服务人员也挺热情的，酒店的位置也不错，下高速很快就到。价格方面也蛮合适的，整体感觉值得推荐。', '短评打分': 5}
{'短评内容': '推荐，值得一去的酒店', '短评打分': 3}
{'短评内容': '晋城很不错的酒店，同样是豪标，设施条件比金辇强多了，服务一般，前台经理不实在。', '短评打分': 5}
{'短评内容': '在晋城应该算是最好的酒店了吧，内部装修比外表看起来新些，只是房间不是方的，感觉有点奇怪。', '短评打分': 5}
{'短评内容': '卫生很好，很干净，设施完善，地理位置交通方便，服务热情周到，性价比不错的酒店', '短评打分': 3}
{'短评内容': '性价比还算不错的,值得推荐一下', '短评打分': 5}
{'短评内容': '地点不错，服务和价格还行，就是房间不是很大。', '短评打分': 5}
{'短评内容': '值的一去', '短评打分': 3}
